Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
203112,Mortality/Morbidity,TRUE,25,3/27/23,,United States,Massachusetts,"Bristol County, MA",Mute Swan; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
203088,Mortality/Morbidity,TRUE,1,3/15/23,3/15/23,United States,Kansas,"Marshall County, KS",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
203086,Mortality/Morbidity,TRUE,1,3/2/23,3/2/23,United States,Virginia,"Northampton County, VA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
203083,Mortality/Morbidity,TRUE,1,3/2/23,3/2/23,United States,Texas,"Carson County, TX",Unidentified Skunk,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
203058,Mortality/Morbidity,TRUE,1,1/3/23,1/3/23,United States,Virginia,"Chesterfield County, VA",Bald Eagle,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
203053,Mortality/Morbidity,TRUE,165,2/18/23,2/18/23,United States,Louisiana,"East Baton Rouge Parish, LA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
203041,Mortality/Morbidity,TRUE,1,2/19/23,2/19/23,United States,South Carolina,"Charleston County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
203040,Mortality/Morbidity,TRUE,1,2/16/23,2/16/23,United States,Kentucky,"Henderson County, KY",Red-tailed Hawk,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1); Schistosomiasis suspect
203039,Mortality/Morbidity,TRUE,1,12/22/22,12/22/22,United States,Kentucky,"Henderson County, KY",Red-shouldered Hawk,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
203038,Mortality/Morbidity,TRUE,2,12/16/22,12/19/22,United States,North Carolina,"Chatham County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
203031,Mortality/Morbidity,TRUE,1,1/5/23,1/5/23,United States,Virginia,"Accomack County, VA",Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
203023,Mortality/Morbidity,TRUE,1,2/8/23,2/8/23,United States,Louisiana,"Ascension Parish, LA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
203022,Mortality/Morbidity,TRUE,1,2/7/23,2/7/23,United States,Louisiana,"St Tammany Parish, LA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
203005,Mortality/Morbidity,TRUE,1,12/9/22,12/31/22,United States,Iowa,"Henry County, IA",Bald Eagle,Bacterial Infection (multisystemic); Highly Pathogenic Avian Influenza (AI virus H5N1); Nutritional Deficiency
202998,Mortality/Morbidity,TRUE,50,12/13/22,12/13/22,United States,Kansas,"Finney County, KS",Great-tailed Grackle,Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (not otherwise specified) suspect
202989,Mortality/Morbidity,TRUE,1,1/21/23,1/21/23,United States,North Carolina,"Wake County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202980,Mortality/Morbidity,TRUE,1,1/14/23,1/14/23,United States,North Carolina,"Brunswick County, NC",Brown Pelican,Cardiomyopathy; Highly Pathogenic Avian Influenza (AI virus H5N1); Nutritional Deficiency
202973,Mortality/Morbidity,TRUE,1,1/10/23,1/10/23,United States,South Carolina,"Berkeley County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202972,Mortality/Morbidity,TRUE,1,1/9/23,1/9/23,United States,South Carolina,"Colleton County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202970,Mortality/Morbidity,TRUE,1,1/18/23,1/18/23,United States,Oregon,"Lincoln County, OR",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202969,Mortality/Morbidity,TRUE,1,1/11/23,1/12/23,United States,Massachusetts,"Hampden County, MA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (predation or aggression) suspect
202967,Mortality/Morbidity,TRUE,1,1/6/23,1/6/23,United States,Florida,"Leon County, FL",Bald Eagle,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
202962,Mortality/Morbidity,TRUE,12,1/5/23,1/26/23,United States,Texas,"Carson County, TX",Cackling Goose; Red-tailed Hawk; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
