country,COUNT(DISTINCT combo)
"""GB""",63
"""JP""",51
"""IT""",48
"""US""",40
"""ZA""",40
"""SE""",39
"""DK""",33
"""CL""",33
"""NL""",31
"""NO""",29
"""FI""",29
"""BR""",26
"""AT""",26
"""CH""",24
"""BE""",24
"""IL""",23
"""RU""",22
"""FR""",22
"""DE""",21
"""IE""",21
"""CA""",21
"""PL""",20
"""KR""",19
"""ES""",19
"""BG""",17
"""MX""",17
"""EE""",16
"""CN""",14
"""LT""",14
"""DZ""",13
"""HU""",12
"""TW""",12
"""IN""",12
"""CZ""",12
"""KZ""",12
"""EC""",12
"""GR""",11
"""SK""",11
"""RO""",11
"""LV""",11
"""HR""",11
"""RS""",10
"""AU""",10
"""NA""",10
"""NP""",10
"""UY""",10
"""UA""",9
"""MK""",9
"""CO""",9
"""MN""",9
"""MY""",8
"""NG""",8
"""PT""",8
"""SI""",8
"""AR""",8
"""LY""",7
"""IS""",7
"""TH""",7
"""SN""",7
"""LU""",7
"""SG""",7
"""AL""",7
"""BT""",7
"""FO""",7
"""PA""",7
"""PH""",6
"""ID""",6
"""MR""",6
"""MG""",6
"""TN""",6
"""PE""",6
"""TR""",6
"""PS""",5
"""AM""",5
"""MA""",5
"""MM""",5
"""BY""",5
"""HK""",5
"""IQ""",5
"""ZM""",5
"""ZW""",5
"""HN""",5
"""NE""",5
"""ME""",5
"""AF""",5
"""CU""",5
"""JO""",5
"""PY""",5
"""MD""",4
"""SA""",4
"""AZ""",4
"""BD""",4
"""BA""",4
"""SL""",4
"""MZ""",4
"""KG""",4
"""MT""",4
"""IR""",4
"""LK""",4
"""MU""",4
"""BO""",4
"""EG""",4
"""CM""",4
"""ML""",4
"""CI""",4
"""UG""",4
"""KH""",4
"""GH""",4
"""KE""",4
"""DO""",4
"""PK""",4
"""GN""",4
"""VN""",3
"""SY""",3
"""KW""",3
"""TD""",3
"""SJ""",3
"""CY""",3
"""GA""",3
"""GG""",3
"""BH""",3
"""BZ""",3
"""BF""",3
"""CR""",3
"""SV""",3
"""FJ""",3
"""GF""",3
"""GE""",3
"""HT""",3
"""JM""",3
"""LB""",3
"""MQ""",3
"""NI""",3
"""OM""",3
"""QA""",3
"""SR""",3
"""UZ""",3
"""VE""",3
"""YE""",3
"""BB""",3
"""GP""",3
"""GT""",3
"""MV""",3
"""AE""",3
"""TG""",3
"""LC""",3
"""TL""",3
"""ET""",3
"""SS""",3
"""MW""",2
"""RW""",2
"""LA""",2
"""CD""",2
"""AX""",2
"""RE""",2
"""IM""",2
"""AW""",2
"""TJ""",2
"""KY""",2
"""NC""",2
"""TT""",2
"""TM""",2
"""SC""",2
"""BM""",2
"""GD""",2
"""PG""",1
"""NZ""",1
"""SZ""",1
"""LR""",1
"""BW""",1
"""TZ""",1
"""LS""",1
"""YT""",1
"""JE""",1
"""BI""",1
"""GM""",1
"""CV""",1
"""CF""",1
"""BS""",1
"""DM""",1
"""VG""",1
