iso3,species,flua,fluCases
"""ESP""","""Homo sapiens""","""Influenza A virus""",92802
"""SGP""","""Homo sapiens""","""Influenza A virus""",8061
"""MNG""","""Homo sapiens""","""Influenza A virus""",4604
"""MYS""","""Homo sapiens""","""Influenza A virus""",5233
"""JPN""","""Homo sapiens""","""Influenza A virus""",58373
"""CHN""","""Homo sapiens""","""Influenza A virus""",392690
"""AUS""","""Homo sapiens""","""Influenza A virus""",48956
"""THA""","""Homo sapiens""","""Influenza A virus""",6366
"""LKA""","""Homo sapiens""","""Influenza A virus""",4443
"""NPL""","""Homo sapiens""","""Influenza A virus""",4492
"""IND""","""Homo sapiens""","""Influenza A virus""",10334
"""BTN""","""Homo sapiens""","""Influenza A virus""",1272
"""UKR""","""Homo sapiens""","""Influenza A virus""",17636
"""TUR""","""Homo sapiens""","""Influenza A virus""",9107
"""TJK""","""Homo sapiens""","""Influenza A virus""",362
"""CHE""","""Homo sapiens""","""Influenza A virus""",96921
"""SWE""","""Homo sapiens""","""Influenza A virus""",102744
"""SVN""","""Homo sapiens""","""Influenza A virus""",22660
"""SVK""","""Homo sapiens""","""Influenza A virus""",1729
"""SRB""","""Homo sapiens""","""Influenza A virus""",3306
"""ROU""","""Homo sapiens""","""Influenza A virus""",7315
"""PRT""","""Homo sapiens""","""Influenza A virus""",44941
"""POL""","""Homo sapiens""","""Influenza A virus""",9015
"""NOR""","""Homo sapiens""","""Influenza A virus""",137532
"""USA""","""Homo sapiens""","""Influenza A virus""",193817
"""NLD""","""Homo sapiens""","""Influenza A virus""",44754
"""MNE""","""Homo sapiens""","""Influenza A virus""",1260
"""MLT""","""Homo sapiens""","""Influenza A virus""",2042
"""LUX""","""Homo sapiens""","""Influenza A virus""",2751
"""LTU""","""Homo sapiens""","""Influenza A virus""",6301
"""LVA""","""Homo sapiens""","""Influenza A virus""",15457
"""KGZ""","""Homo sapiens""","""Influenza A virus""",775
"""ITA""","""Homo sapiens""","""Influenza A virus""",25817
"""ISR""","""Homo sapiens""","""Influenza A virus""",7723
"""IRL""","""Homo sapiens""","""Influenza A virus""",12824
"""ISL""","""Homo sapiens""","""Influenza A virus""",3443
"""HUN""","""Homo sapiens""","""Influenza A virus""",4224
"""GRC""","""Homo sapiens""","""Influenza A virus""",3921
"""DEU""","""Homo sapiens""","""Influenza A virus""",11482
"""GEO""","""Homo sapiens""","""Influenza A virus""",947
"""FRA""","""Homo sapiens""","""Influenza A virus""",194029
"""FIN""","""Homo sapiens""","""Influenza A virus""",2049
"""EST""","""Homo sapiens""","""Influenza A virus""",9134
"""DNK""","""Homo sapiens""","""Influenza A virus""",72579
"""CZE""","""Homo sapiens""","""Influenza A virus""",7144
"""HRV""","""Homo sapiens""","""Influenza A virus""",16574
"""BGR""","""Homo sapiens""","""Influenza A virus""",1937
"""BEL""","""Homo sapiens""","""Influenza A virus""",4764
"""BLR""","""Homo sapiens""","""Influenza A virus""",2773
"""AUT""","""Homo sapiens""","""Influenza A virus""",22404
"""ARM""","""Homo sapiens""","""Influenza A virus""",467
"""ALB""","""Homo sapiens""","""Influenza A virus""",1623
"""ARE""","""Homo sapiens""","""Influenza A virus""",810
"""TUN""","""Homo sapiens""","""Influenza A virus""",1271
"""SAU""","""Homo sapiens""","""Influenza A virus""",2193
"""QAT""","""Homo sapiens""","""Influenza A virus""",23394
"""PAK""","""Homo sapiens""","""Influenza A virus""",2188
"""OMN""","""Homo sapiens""","""Influenza A virus""",4325
"""MAR""","""Homo sapiens""","""Influenza A virus""",1452
"""LBN""","""Homo sapiens""","""Influenza A virus""",641
"""JOR""","""Homo sapiens""","""Influenza A virus""",761
"""EGY""","""Homo sapiens""","""Influenza A virus""",8682
"""BHR""","""Homo sapiens""","""Influenza A virus""",3136
"""AFG""","""Homo sapiens""","""Influenza A virus""",807
"""URY""","""Homo sapiens""","""Influenza A virus""",1058
"""PER""","""Homo sapiens""","""Influenza A virus""",5454
"""PRY""","""Homo sapiens""","""Influenza A virus""",5487
"""PAN""","""Homo sapiens""","""Influenza A virus""",1493
"""MEX""","""Homo sapiens""","""Influenza A virus""",43066
"""ECU""","""Homo sapiens""","""Influenza A virus""",2624
"""COL""","""Homo sapiens""","""Influenza A virus""",4423
"""CHL""","""Homo sapiens""","""Influenza A virus""",43078
"""CAN""","""Homo sapiens""","""Influenza A virus""",356331
"""BRA""","""Homo sapiens""","""Influenza A virus""",15256
"""ZAF""","""Homo sapiens""","""Influenza A virus""",7975
"""NER""","""Homo sapiens""","""Influenza A virus""",421
"""MOZ""","""Homo sapiens""","""Influenza A virus""",317
"""MDG""","""Homo sapiens""","""Influenza A virus""",5256
"""ETH""","""Homo sapiens""","""Influenza A virus""",1028
"""DZA""","""Homo sapiens""","""Influenza A virus""",965
"""PHL""","""Homo sapiens""","""Influenza A virus""",4221
"""IDN""","""Homo sapiens""","""Influenza A virus""",3824
"""UZB""","""Homo sapiens""","""Influenza A virus""",172
"""TKM""","""Homo sapiens""","""Influenza A virus""",6
"""AZE""","""Homo sapiens""","""Influenza A virus""",489
"""IRQ""","""Homo sapiens""","""Influenza A virus""",793
"""HTI""","""Homo sapiens""","""Influenza A virus""",521
"""GTM""","""Homo sapiens""","""Influenza A virus""",1145
"""DOM""","""Homo sapiens""","""Influenza A virus""",530
"""ARG""","""Homo sapiens""","""Influenza A virus""",63146
"""GHA""","""Homo sapiens""","""Influenza A virus""",3774
"""KAZ""","""Homo sapiens""","""Influenza A virus""",2984
"""SLV""","""Homo sapiens""","""Influenza A virus""",1013
"""BLZ""","""Homo sapiens""","""Influenza A virus""",292
"""TGO""","""Homo sapiens""","""Influenza A virus""",1040
"""MUS""","""Homo sapiens""","""Influenza A virus""",832
"""NIC""","""Homo sapiens""","""Influenza A virus""",3820
"""HND""","""Homo sapiens""","""Influenza A virus""",1278
"""KHM""","""Homo sapiens""","""Influenza A virus""",2412
"""GIN""","""Homo sapiens""","""Influenza A virus""",165
"""CMR""","""Homo sapiens""","""Influenza A virus""",1807
"""SSD""","""Homo sapiens""","""Influenza A virus""",5
"""MDV""","""Homo sapiens""","""Influenza A virus""",1328
"""ZMB""","""Homo sapiens""","""Influenza A virus""",816
"""GAB""","""Homo sapiens""","""Influenza A virus""",38
"""CRI""","""Homo sapiens""","""Influenza A virus""",2657
"""UGA""","""Homo sapiens""","""Influenza A virus""",1940
"""SEN""","""Homo sapiens""","""Influenza A virus""",5300
"""BFA""","""Homo sapiens""","""Influenza A virus""",399
"""NGA""","""Homo sapiens""","""Influenza A virus""",547
