data,yearMonth,geo,species,flu,monthlyCases
"""FluNet""","""2004-12""","""Belgium""","""Homo sapiens""","""Influenza A virus""",152
"""FluNet""","""2004-12""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",25
"""FluNet""","""2004-12""","""Morocco""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2004-12""","""Japan""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2004-12""","""France""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2004-12""","""Ireland""","""Homo sapiens""","""Influenza A virus""",11
"""FluNet""","""2004-12""","""Portugal""","""Homo sapiens""","""Influenza A virus""",10
"""FluNet""","""2004-12""","""Iceland""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2004-12""","""Italy""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2004-12""","""Peru""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2004-12""","""Norway""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2004-12""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2004-12""","""Turkey""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2004-12""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2004-12""","""Germany""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2004-12""","""Egypt""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2004-12""","""Denmark""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2004-12""","""Spain""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2004-12""","""French Guiana""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-1""","""Japan""","""Homo sapiens""","""Influenza A virus""",700
"""FluNet""","""2005-1""","""France""","""Homo sapiens""","""Influenza A virus""",437
"""FluNet""","""2005-1""","""Italy""","""Homo sapiens""","""Influenza A virus""",391
"""FluNet""","""2005-1""","""Portugal""","""Homo sapiens""","""Influenza A virus""",299
"""FluNet""","""2005-1""","""Belgium""","""Homo sapiens""","""Influenza A virus""",274
"""FluNet""","""2005-1""","""Sweden""","""Homo sapiens""","""Influenza A virus""",272
"""FluNet""","""2005-1""","""Israel""","""Homo sapiens""","""Influenza A virus""",126
"""FluNet""","""2005-1""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",112
"""FluNet""","""2005-1""","""Norway""","""Homo sapiens""","""Influenza A virus""",110
"""FluNet""","""2005-1""","""Germany""","""Homo sapiens""","""Influenza A virus""",107
"""FluNet""","""2005-1""","""Iceland""","""Homo sapiens""","""Influenza A virus""",93
"""FluNet""","""2005-1""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",86
"""FluNet""","""2005-1""","""Peru""","""Homo sapiens""","""Influenza A virus""",81
"""FluNet""","""2005-1""","""Greece""","""Homo sapiens""","""Influenza A virus""",80
"""FluNet""","""2005-1""","""China""","""Homo sapiens""","""Influenza A virus""",78
"""FluNet""","""2005-1""","""Ireland""","""Homo sapiens""","""Influenza A virus""",66
"""FluNet""","""2005-1""","""Spain""","""Homo sapiens""","""Influenza A virus""",56
"""FluNet""","""2005-1""","""Finland""","""Homo sapiens""","""Influenza A virus""",47
"""FluNet""","""2005-1""","""Morocco""","""Homo sapiens""","""Influenza A virus""",47
"""FluNet""","""2005-1""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",44
"""FluNet""","""2005-1""","""Czechia""","""Homo sapiens""","""Influenza A virus""",27
"""FluNet""","""2005-1""","""Egypt""","""Homo sapiens""","""Influenza A virus""",24
"""FluNet""","""2005-1""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",23
