country,COUNT(DISTINCT combo)
"""US""",937
"""ZA""",376
"""ES""",238
"""CA""",224
"""BY""",213
"""BR""",155
"""NA""",135
"""ZW""",132
"""KE""",111
"""UG""",98
"""TZ""",79
"""PL""",62
"""JP""",60
"""IT""",57
"""PA""",55
"""NO""",53
"""GB""",47
"""CM""",45
"""IR""",43
"""AU""",43
"""ZM""",41
"""PE""",41
"""SE""",36
"""SZ""",35
"""SK""",35
"""FR""",34
"""BO""",30
"""DE""",30
"""GA""",29
"""AT""",27
"""CO""",25
"""SJ""",25
"""TH""",23
"""GR""",23
"""DK""",22
"""MG""",22
"""HU""",21
"""BW""",20
"""BG""",20
"""CD""",20
"""IE""",20
"""IS""",20
"""EE""",19
"""AR""",19
"""HR""",19
"""MX""",18
"""CZ""",18
"""RW""",18
"""ID""",18
"""PT""",18
"""CI""",18
"""NL""",17
"""GL""",17
"""GF""",16
"""NZ""",16
"""IN""",15
"""KZ""",13
"""MZ""",10
"""BJ""",10
"""RU""",10
"""SL""",10
"""CF""",10
"""CH""",9
"""TR""",9
"""GH""",8
"""SN""",8
"""NP""",7
"""OM""",7
"""CG""",7
"""CL""",7
"""CN""",7
"""GN""",6
"""MY""",6
"""PY""",6
"""LT""",5
"""TN""",5
"""PS""",5
"""SO""",5
"""VI""",5
"""NG""",5
"""FI""",5
"""TF""",5
"""GY""",4
"""SH""",4
"""ET""",4
"""TW""",4
"""LK""",4
"""CR""",3
"""MM""",3
"""SR""",3
"""MN""",3
"""GQ""",3
"""VN""",3
"""TT""",3
"""BE""",3
"""AQ""",2
"""RS""",2
"""LU""",2
"""SD""",2
"""UM""",2
"""VE""",2
"""JO""",2
"""LV""",2
"""BZ""",1
"""EC""",1
"""RO""",1
"""AO""",1
"""EH""",1
"""GM""",1
"""PK""",1
"""SI""",1
"""PG""",1
"""UA""",1
"""LY""",1
"""EG""",1
