uq
"""ZM-Acinonyx jubatus-Feline coronavirus"""
"""BW-Acinonyx jubatus-Bacillus anthracis"""
"""KE-Acinonyx jubatus-Bartonella henselae"""
"""TZ-Acinonyx jubatus-Bartonella henselae"""
"""ZA-Acinonyx jubatus-Cryptococcus gattii VGI"""
"""TZ-Acinonyx jubatus-Feline immunodeficiency virus"""
"""MZ-Acinonyx jubatus-Feline immunodeficiency virus"""
"""ZM-Acinonyx jubatus-Lyssavirus rabies"""
"""ZM-Acinonyx jubatus-Canine morbillivirus"""
"""ZA-Acinonyx jubatus-Mycobacterium tuberculosis variant bovis"""
"""KE-Acinonyx jubatus-Neospora caninum"""
"""ZM-Acinonyx jubatus-Feline parvovirus"""
"""TZ-Acinonyx jubatus-Trichinella nelsoni"""
"""ZM-Acinonyx jubatus-Felid alphaherpesvirus 1"""
"""ZM-Acinonyx jubatus-Feline calicivirus"""
"""SZ-Aepyceros melampus-Amblyomma hebraeum"""
"""ZA-Aepyceros melampus-Amblyomma hebraeum"""
"""ZA-Aepyceros melampus-Amblyomma marmoreum"""
"""ZA-Aepyceros melampus-Amblyomma tholloni"""
"""ZM-Aepyceros melampus-Amblyomma variegatum"""
"""ZA-Aepyceros melampus-Anaplasma platys"""
"""ZA-Aepyceros melampus-Foot-and-mouth disease virus"""
"""ZW-Aepyceros melampus melampus-Bacillus anthracis"""
"""ZA-Aepyceros melampus-Bacillus anthracis"""
"""UG-Aepyceros melampus-Brucella abortus"""
"""ZA-Aepyceros melampus-Cooperia fuelleborni"""
"""KE-Aepyceros melampus-Verrucosa"""
"""ZA-Aepyceros melampus-Marchantiophyta"""
"""SZ-Aepyceros melampus-Marchantiophyta"""
"""ZM-Aepyceros melampus-Marchantiophyta"""
"""ZA-Aepyceros melampus-Dictyocaulus viviparus"""
"""ZW-Aepyceros melampus-Ehrlichia ruminantium"""
"""ZW-Aepyceros melampus-Bovine ephemeral fever virus"""
"""TZ-Aepyceros melampus-Bovine ephemeral fever virus"""
"""ZA-Aepyceros melampus-Escherichia coli"""
"""SZ-Aepyceros melampus-Fasciola gigantica"""
"""UG-Aepyceros melampus-Fasciola hepatica"""
"""ZA-Aepyceros melampus-Pachyscelis"""
"""ZM-Aepyceros melampus-Pachyscelis"""
"""ZA-Aepyceros melampus-Haemaphysalis aciculifer"""
"""SZ-Aepyceros melampus-Haemaphysalis leachi"""
"""ZA-Aepyceros melampus-Haemonchus bedfordi"""
"""ZA-Aepyceros melampus-Haemonchus contortus"""
"""KE-Aepyceros melampus-Haemonchus contortus"""
"""ZM-Aepyceros melampus-Haemonchus contortus"""
"""ZA-Aepyceros melampus-Hyalomma rufipes"""
"""ZA-Aepyceros melampus-Hyalomma truncatum"""
"""KE-Aepyceros melampus-Leptospira interrogans serovar Autumnalis"""
"""ZM-Aepyceros melampus-Moniezia benedeni"""
"""ZA-Aepyceros melampus-Moniezia expansa"""
"""ZW-Aepyceros melampus-Crimean-Congo hemorrhagic fever orthonairovirus"""
"""ZA-Aepyceros melampus-Oesophagostomum columbianum"""
"""ZW-Aepyceros melampus-Bluetongue virus"""
"""TZ-Aepyceros melampus-Bluetongue virus"""
"""ZW-Aepyceros melampus-Bovine viral diarrhea virus 1"""
"""ZW-Aepyceros melampus-Rift Valley fever virus"""
"""SZ-Aepyceros melampus-Rhipicephalus appendiculatus"""
"""ZA-Aepyceros melampus-Rhipicephalus appendiculatus"""
"""ZW-Aepyceros melampus-Rhipicephalus appendiculatus"""
"""ZM-Aepyceros melampus-Rhipicephalus appendiculatus"""
"""SZ-Aepyceros melampus-Rhipicephalus decoloratus"""
"""ZW-Aepyceros melampus-Rhipicephalus decoloratus"""
"""ZA-Aepyceros melampus-Rhipicephalus decoloratus"""
"""ZM-Aepyceros melampus-Rhipicephalus decoloratus"""
"""SZ-Aepyceros melampus-Rhipicephalus evertsi evertsi"""
"""ZW-Aepyceros melampus-Rhipicephalus evertsi evertsi"""
"""ZA-Aepyceros melampus-Rhipicephalus evertsi evertsi"""
"""ZW-Aepyceros melampus-Rhipicephalus evertsi"""
"""ZM-Aepyceros melampus-Rhipicephalus evertsi evertsi"""
"""ZA-Aepyceros melampus-Rhipicephalus kochi"""
"""ZM-Aepyceros melampus-Rhipicephalus kochi"""
"""ZW-Aepyceros melampus-Rhipicephalus lunulatus"""
"""ZM-Aepyceros melampus-Rhipicephalus lunulatus"""
"""SZ-Aepyceros melampus-Rhipicephalus muehlensi"""
"""ZA-Aepyceros melampus-Rhipicephalus muehlensi"""
"""SZ-Aepyceros melampus-Rhipicephalus simus"""
"""ZA-Aepyceros melampus-Rhipicephalus simus"""
"""ZM-Aepyceros melampus-Rhipicephalus sulcatus"""
"""ZA-Aepyceros melampus-Rhipicephalus zambeziensis"""
"""ZW-Aepyceros melampus-Rhipicephalus zambeziensis"""
"""ZA-Aepyceros melampus-Hepatica"""
"""KE-Aepyceros melampus-Hepatica"""
"""SZ-Aepyceros melampus-Hepatica"""
"""UG-Aepyceros melampus-Hepatica"""
"""ZA-Aepyceros melampus-Strongyloides papillosus"""
"""KE-Aepyceros melampus-Thysaniezia ovilla"""
"""UG-Aepyceros melampus-Toxocara vitulorum"""
"""ZA-Aepyceros melampus-Trichostrongylus axei"""
"""ZA-Aepyceros melampus-Trichostrongylus colubriformis"""
"""ZA-Aepyceros melampus-Trichuris globulosa"""
"""ZW-Aepyceros melampus-Bovine alphaherpesvirus 1"""
"""BW-Alcelaphus buselaphus-Haemonchus bedfordi"""
"""ZA-Alcelaphus buselaphus-Haemonchus contortus"""
"""KE-Alcelaphus buselaphus cokii-Rinderpest morbillivirus"""
"""ZW-Alcelaphus buselaphus-Crimean-Congo hemorrhagic fever orthonairovirus"""
"""ZA-Alcelaphus buselaphus-Nematodirus spathiger"""
"""ZA-Alcelaphus buselaphus-Oesophagostomum columbianum"""
"""ZA-Alcelaphus caama-Rhipicephalus glabroscutatus"""
"""KE-Alcelaphus buselaphus-Rhipicephalus pulchellus"""
"""ZA-Alcelaphus buselaphus-Teladorsagia circumcincta"""
"""ZA-Alcelaphus buselaphus-Trichuris ovis"""
"""BJ-Alcelaphus buselaphus-Trypanosoma brucei"""
"""BJ-Alcelaphus buselaphus-Trypanosoma brucei gambiense"""
"""BJ-Alcelaphus buselaphus-Trypanosoma vivax"""
"""ZM-Alcelaphus lichtensteini-Haemonchus contortus"""
"""NO-Alces alces-Anaplasma phagocytophilum"""
"""RU-Alces alces-Bacillus anthracis"""
"""BY-Alces alces-Bunostomum trigonocephalum"""
"""NO-Alces alces-Cryptosporidium parvum"""
"""CA-Alces alces-Dermacentor albipictus"""
"""US-Alces alces-Dermacentor albipictus"""
"""SE-Alces alces-Dictyocaulus capreolus"""
"""SE-Alces alces-Dictyocaulus eckerti"""
"""BY-Alces alces-Dictyocaulus eckerti"""
"""SE-Alces alces-Dictyocaulus viviparus"""
"""CA-Alces alces-Dictyocaulus viviparus"""
"""CA-Alces alces-Echinococcus granulosus"""
"""EE-Alces alces-Echinococcus granulosus"""
"""BY-Alces alces-Echinococcus granulosus"""
"""SE-Alces alces-Elaphostrongylus alces"""
"""NO-Alces alces-Elaphostrongylus alces"""
"""NO-Alces alces-Elaphostrongylus cervi"""
"""NO-Alces alces-Elaphostrongylus rangiferi"""
"""CA-Alces alces-Elaphostrongylus rangiferi"""
"""CA-Alces alces-Erysipelothrix rhusiopathiae"""
"""NO-Alces alces-Escherichia coli"""
"""LT-Alces alces-Fasciola hepatica"""
"""BY-Alces alces-Fasciola hepatica"""
"""CA-Alces alces-Fascioloides magna"""
"""SE-Alces alces-Tick-borne encephalitis virus"""
"""SE-Alces alces-Nicrophorus"""
"""NO-Alces alces-Giardia intestinalis"""
"""NO-Alces alces-Ixodes ricinus"""
"""SE-Alces alces-Ixodes ricinus"""
"""SE-Alces alces-Klebsiella pneumoniae"""
"""US-Alces alces-Leptospira interrogans serovar Pomona"""
"""US-Alces alces-Leptospira interrogans serovar Hardjo"""
"""US-Alces alces-Leptospira interrogans serovar Grippotyphosa"""
"""US-Alces alces-Leptospira interrogans serovar Canicola"""
"""US-Alces alces-Leptospira interrogans serovar Icterohaemorrhagiae"""
"""SE-Alces alces-Alcelaphine gammaherpesvirus 1"""
"""NO-Alces alces-Caprine gammaherpesvirus 2"""
"""NO-Alces alces-Ovine gammaherpesvirus 2"""
"""BY-Alces alces-Moniezia benedeni"""
"""CA-Alces alces-Moniezia expansa"""
"""US-Alces alces-Moraxella ovis"""
"""SE-Alces alces-Mycobacterium avium"""
"""NO-Alces alces-Mycobacterium avium subsp. paratuberculosis"""
"""BY-Alces alces-Oesophagostomum venulosum"""
"""CA-Alces alces-Snowshoe hare virus"""
"""CA-Alces alces-Jamestown Canyon virus"""
"""CA-Alces alces-Trivittatus virus"""
"""US-Alces alces-Trivittatus virus"""
"""US-Alces alces-Jamestown Canyon virus"""
"""SE-Alces alces-Ostertagia leptospicularis"""
"""BY-Alces alces-Parafasciolopsis fasciolaemorpha"""
"""LT-Alces alces-Paramphistomum cervi"""
"""CA-Alces alces-Paramphistomum cervi"""
"""CA-Alces alces-Parelaphostrongylus tenuis"""
"""US-Alces alces-Parelaphostrongylus tenuis"""
"""SE-Alces alces-Pasteurella multocida"""
"""US-Alces alces-Bovine viral diarrhea virus 1"""
"""NO-Alces alces-Bovine viral diarrhea virus 1"""
"""SE-Alces alces-Bovine viral diarrhea virus 1"""
"""CA-Alces alces-Sarcocystis alceslatrans"""
"""SE-Alces alces-Alcis"""
"""CA-Alces alces-Taenia hydatigena"""
"""BY-Alces alces-Taenia hydatigena"""
"""US-Alces alces-Toxoplasma gondii"""
"""CA-Alces alces-Toxoplasma gondii"""
"""NO-Alces alces-Toxoplasma gondii"""
"""CA-Alces alces-Trichuris discolor"""
"""CA-Alces alces-Trichuris ovis"""
"""BY-Alces alces-Trichuris ovis"""
"""RU-Alces alces gigas-Trypanosoma cervi"""
"""NO-Alces alces-Varestrongylus alces"""
"""US-Alces alces-Bovine alphaherpesvirus 1"""
"""CA-Alces alces-Zygocotyle lunata"""
"""AR-Alouatta caraya-Bertiella mucronata"""
"""AR-Alouatta caraya-Pediculus mjobergi"""
"""AR-Alouatta caraya-Trypanoxyuris minutus"""
"""BR-Alouatta guariba-Plasmodium brasilianum"""
"""BR-Alouatta guariba-Plasmodium simium"""
"""PA-Alouatta palliata-Cuterebra baeri"""
"""GY-Alouatta palliata-Cuterebra baeri"""
"""CR-Alouatta palliata palliata-Ascaris lumbricoides"""
"""CR-Alouatta palliata palliata-Controrchis biliophilus"""
"""MX-Alouatta palliata mexicana-Controrchis biliophilus"""
"""MM-Alouatta palliata-Controrchis biliophilus"""
"""PA-Alouatta palliata-Dermatobia hominis"""
"""PA-Alouatta palliata-Yellow fever virus"""
"""PA-Alouatta palliata-Plasmodium brasilianum"""
"""PA-Alouatta palliata-Prosthenorchis elegans"""
"""CR-Alouatta palliata palliata-Trypanoxyuris minutus"""
"""PA-Alouatta palliata-Trypanoxyuris minutus"""
"""MM-Alouatta palliata-Trypanoxyuris minutus"""
"""PA-Villosa-Mayaro virus"""
"""MX-Alouatta pigra-Controrchis biliophilus"""
"""MX-Alouatta pigra-Entamoeba coli"""
"""PA-Villosa-Yellow fever virus"""
"""BZ-Alouatta pigra-Giardia intestinalis"""
"""MX-Alouatta pigra-Leishmania mexicana"""
"""PA-Villosa-Salmonella enterica subsp. enterica serovar Poona"""
"""PA-Villosa-Salmonella enterica subsp. enterica serovar Bredeney"""
"""PA-Villosa-Salmonella enterica subsp. enterica serovar Oranienburg"""
"""MX-Alouatta pigra-Trypanosoma cruzi"""
"""PA-Villosa-Trypanosoma minasense"""
"""MX-Alouatta pigra-Trypanoxyuris minutus"""
"""GY-Alouatta seniculus-Cuterebra baeri"""
"""GF-Alouatta seniculus-Mayaro virus"""
"""PE-Alouatta seniculus-Blastocystis hominis"""
"""PE-Alouatta seniculus-Chilomastix mesnili"""
"""GF-Alouatta seniculus-Cochliomyia hominivorax"""
"""GF-Alouatta seniculus-Dipetalonema gracile"""
"""GF-Alouatta seniculus-Plasmodium brasilianum"""
"""GF-Alouatta seniculus-Toxoplasma gondii"""
"""PE-Alouatta seniculus-Trichuris trichiura"""
"""GF-Alouatta seniculus-Trypanosoma minasense"""
"""CO-Alouatta seniculus-Trypanoxyuris minutus"""
"""GF-Alouatta seniculus-Trypanoxyuris minutus"""
"""SR-Alouatta seniculus-Trypanoxyuris minutus"""
"""ES-Ammotragus lervia-Chlamydia abortus"""
