yearMonth,species,taxonomicClass,monthlyCases
"""2020-10""","""Mareca penelope""","""Aves""",6192
"""2020-10""","""Anser anser""","""Aves""",1548
"""2020-11""","""Anas crecca""","""Aves""",1548
"""2020-11""","""Cygnus olor""","""Aves""",1376
"""2020-11""","""Mareca penelope""","""Aves""",688
"""2020-12""","""Cygnus olor""","""Aves""",12728
"""2020-12""","""Branta canadensis""","""Aves""",4300
"""2020-12""","""Mareca penelope""","""Aves""",2064
"""2020-12""","""Anas crecca""","""Aves""",860
"""2020-12""","""Anser anser""","""Aves""",344
"""2020-2""","""Tyto longimembris""","""Aves""",1376
"""2020-2""","""Corvus splendens""","""Aves""",860
"""2020-3""","""Corvus splendens""","""Aves""",67768
"""2020-3""","""Harpactes erythrocephalus""","""Aves""",2408
"""2021-1""","""Cygnus olor""","""Aves""",15308
"""2021-1""","""Anser indicus""","""Aves""",172
"""2021-10""","""Phalacrocorax capensis""","""Aves""",38507532
"""2021-10""","""Spheniscus demersus""","""Aves""",890100
"""2021-10""","""Morus capensis""","""Aves""",51600
"""2021-10""","""Phalacrocorax lucidus""","""Aves""",8084
"""2021-10""","""Alopochen aegyptiaca""","""Aves""",4300
"""2021-10""","""Phasianus colchicus""","""Aves""",3440
"""2021-10""","""Accipiter gentilis""","""Aves""",3096
"""2021-10""","""Haliaeetus albicilla""","""Aves""",2924
"""2021-10""","""Strix uralensis""","""Aves""",1032
"""2021-11""","""Phalacrocorax capensis""","""Aves""",6681684
"""2021-11""","""Sterna hirundo""","""Aves""",3784
"""2021-11""","""Accipiter gentilis""","""Aves""",1032
"""2021-11""","""Anser albifrons""","""Aves""",860
"""2021-11""","""Cygnus olor""","""Aves""",860
"""2021-11""","""Larus marinus""","""Aves""",860
"""2021-11""","""Larus argentatus""","""Aves""",688
"""2021-12""","""Phalacrocorax capensis""","""Aves""",113348
"""2021-12""","""Sterna hirundo""","""Aves""",6880
"""2021-12""","""Phalacrocorax lucidus""","""Aves""",3268
"""2021-12""","""Accipiter gentilis""","""Aves""",516
"""2021-2""","""Branta leucopsis""","""Aves""",860
"""2021-3""","""Milvus milvus""","""Aves""",3612
"""2021-3""","""Branta leucopsis""","""Aves""",3096
"""2021-3""","""Anser sp.""","""Aves""",1892
"""2021-3""","""Larus fuscus graellsii""","""Aves""",860
"""2021-3""","""Uria aalge""","""Aves""",688
"""2021-4""","""Corvus frugilegus""","""Aves""",10320
"""2021-4""","""Branta leucopsis""","""Aves""",5676
"""2021-4""","""Haliaeetus albicilla""","""Aves""",516
"""2021-4""","""Ciconia ciconia""","""Aves""",172
"""2021-5""","""Phalacrocorax capensis""","""Aves""",816312
"""2021-5""","""Spheniscus demersus""","""Aves""",648784
"""2021-5""","""Laridae""","""Aves""",77744
"""2021-5""","""Threskiornis aethiopicus""","""Aves""",76024
"""2021-5""","""Branta leucopsis""","""Aves""",55212
"""2021-5""","""Alopochen aegyptiaca""","""Aves""",30272
"""2021-5""","""Haliaeetus albicilla""","""Aves""",18748
"""2021-5""","""Larus dominicanus""","""Aves""",13072
"""2021-5""","""Ara ararauna""","""Aves""",7224
"""2021-5""","""Tyto alba""","""Aves""",7224
"""2021-5""","""Plectropterus gambensis""","""Aves""",7224
"""2021-5""","""Pterodroma macroptera""","""Aves""",6536
"""2021-5""","""Haematopus bachmani""","""Aves""",6536
"""2021-5""","""Chroicocephalus cirrocephalus""","""Aves""",6536
"""2021-5""","""Sterna hirundo""","""Aves""",1032
"""2021-5""","""Circus aeruginosus""","""Aves""",516
"""2021-5""","""Larus argentatus""","""Aves""",172
"""2021-6""","""Larus dominicanus""","""Aves""",112144
"""2021-6""","""Phalacrocorax capensis""","""Aves""",78260
"""2021-6""","""Pelecanus crispus""","""Aves""",53664
"""2021-6""","""Cygnus atratus""","""Aves""",42312
"""2021-6""","""Laridae""","""Aves""",36120
"""2021-6""","""Threskiornis aethiopicus""","""Aves""",26144
"""2021-6""","""Larus argentatus""","""Aves""",6880
"""2021-6""","""Anas platyrhynchos""","""Aves""",6364
"""2021-6""","""Grus paradisea""","""Aves""",6192
"""2021-6""","""Thalasseus sandvicensis""","""Aves""",6192
"""2021-6""","""Stercorarius lonnbergi""","""Aves""",6020
"""2021-6""","""Phalacrocorax carbo""","""Aves""",4644
"""2021-6""","""Branta leucopsis""","""Aves""",4300
"""2021-6""","""Haliaeetus albicilla""","""Aves""",4128
"""2021-6""","""Cygnus olor""","""Aves""",172
"""2021-7""","""Larus argentatus""","""Aves""",6708
"""2021-7""","""Stercorarius skua""","""Aves""",2924
"""2021-7""","""Pelecanus crispus""","""Aves""",1204
"""2021-8""","""Cygnus olor""","""Aves""",8944
"""2021-8""","""Bostrychia hagedash""","""Aves""",5504
"""2021-8""","""Mergus merganser""","""Aves""",3096
"""2021-8""","""Accipiter gentilis""","""Aves""",3096
"""2021-8""","""Larus canus""","""Aves""",2924
"""2021-8""","""Bubo bubo""","""Aves""",2752
"""2021-8""","""Larus argentatus""","""Aves""",2580
"""2021-8""","""Phalacrocorax carbo""","""Aves""",1032
"""2021-9""","""Phalacrocorax capensis""","""Aves""",13216652
"""2021-9""","""Phasianus colchicus""","""Aves""",45924
"""2021-9""","""Phalacrocorax lucidus""","""Aves""",16512
"""2021-9""","""Spheniscus demersus""","""Aves""",8256
"""2021-9""","""Branta leucopsis""","""Aves""",6364
"""2021-9""","""Sterna hirundo""","""Aves""",4472
"""2022-1""","""Grus monacha""","""Aves""",2236
"""2022-1""","""Anas platyrhynchos""","""Aves""",2064
"""2022-10""","""Chroicocephalus ridibundus""","""Aves""",267632
"""2022-10""","""Branta canadensis""","""Aves""",211216
"""2022-10""","""Cygnus olor""","""Aves""",150500
"""2022-10""","""Anas platyrhynchos""","""Aves""",147920
"""2022-10""","""Anser anser""","""Aves""",144480
"""2022-10""","""Phasianus colchicus""","""Aves""",124872
"""2022-10""","""Anas crecca""","""Aves""",120400
"""2022-10""","""Sterna hirundo""","""Aves""",53320
"""2022-10""","""Anser brachyrhynchus""","""Aves""",49536
"""2022-10""","""Morus bassanus""","""Aves""",39560
"""2022-10""","""Larus argentatus""","""Aves""",19436
"""2022-10""","""Anser sp.""","""Aves""",14792
"""2022-10""","""Egretta garzetta""","""Aves""",13416
"""2022-10""","""Accipiter nisus""","""Aves""",12728
"""2022-10""","""Mareca penelope""","""Aves""",9804
"""2022-10""","""Columba livia""","""Aves""",9288
"""2022-10""","""Mephitis mephitis""","""Mammalia""",8944
"""2022-10""","""Branta leucopsis""","""Aves""",7912
"""2022-10""","""Alectoris rufa""","""Aves""",6708
