yearMonth,country,species,class,monthlyCases
"""2019-12""","""AE""","""Homo sapiens""","""Mammalia""",22
"""2020-1""","""AE""","""Homo sapiens""","""Mammalia""",152
"""2020-2""","""AE""","""Homo sapiens""","""Mammalia""",126
"""2020-3""","""AE""","""Homo sapiens""","""Mammalia""",6
"""2021-1""","""AE""","""Homo sapiens""","""Mammalia""",4
"""2021-10""","""AE""","""Homo sapiens""","""Mammalia""",8
"""2021-11""","""AE""","""Homo sapiens""","""Mammalia""",66
"""2021-12""","""AE""","""Homo sapiens""","""Mammalia""",52
"""2021-2""","""AE""","""Homo sapiens""","""Mammalia""",4
"""2021-3""","""AE""","""Homo sapiens""","""Mammalia""",2
"""2021-5""","""AE""","""Homo sapiens""","""Mammalia""",2
"""2022-1""","""AE""","""Homo sapiens""","""Mammalia""",12
"""2022-10""","""AE""","""Homo sapiens""","""Mammalia""",768
"""2022-11""","""AE""","""Homo sapiens""","""Mammalia""",1202
"""2022-12""","""AE""","""Homo sapiens""","""Mammalia""",198
"""2022-3""","""AE""","""Homo sapiens""","""Mammalia""",2
"""2022-4""","""AE""","""Homo sapiens""","""Mammalia""",6
"""2022-5""","""AE""","""Homo sapiens""","""Mammalia""",38
"""2022-6""","""AE""","""Homo sapiens""","""Mammalia""",78
"""2022-7""","""AE""","""Homo sapiens""","""Mammalia""",96
"""2022-8""","""AE""","""Homo sapiens""","""Mammalia""",90
"""2022-9""","""AE""","""Homo sapiens""","""Mammalia""",168
"""2009-10""","""AF""","""Homo sapiens""","""Mammalia""",486
"""2009-11""","""AF""","""Homo sapiens""","""Mammalia""",279
"""2009-12""","""AF""","""Homo sapiens""","""Mammalia""",81
"""2010-1""","""AF""","""Homo sapiens""","""Mammalia""",66
"""2010-2""","""AF""","""Homo sapiens""","""Mammalia""",6
"""2010-3""","""AF""","""Homo sapiens""","""Mammalia""",3
"""2011-1""","""AF""","""Homo sapiens""","""Mammalia""",9
"""2015-1""","""AF""","""Homo sapiens""","""Mammalia""",18
"""2015-12""","""AF""","""Homo sapiens""","""Mammalia""",15
"""2015-4""","""AF""","""Homo sapiens""","""Mammalia""",6
"""2016-1""","""AF""","""Homo sapiens""","""Mammalia""",132
"""2016-10""","""AF""","""Homo sapiens""","""Mammalia""",3
"""2016-11""","""AF""","""Homo sapiens""","""Mammalia""",15
"""2016-12""","""AF""","""Homo sapiens""","""Mammalia""",3
"""2016-2""","""AF""","""Homo sapiens""","""Mammalia""",450
"""2016-3""","""AF""","""Homo sapiens""","""Mammalia""",66
"""2016-4""","""AF""","""Homo sapiens""","""Mammalia""",21
"""2016-5""","""AF""","""Homo sapiens""","""Mammalia""",87
"""2016-6""","""AF""","""Homo sapiens""","""Mammalia""",93
"""2016-7""","""AF""","""Homo sapiens""","""Mammalia""",3
"""2016-9""","""AF""","""Homo sapiens""","""Mammalia""",6
"""2017-10""","""AF""","""Homo sapiens""","""Mammalia""",18
"""2017-11""","""AF""","""Homo sapiens""","""Mammalia""",72
"""2017-12""","""AF""","""Homo sapiens""","""Mammalia""",207
"""2017-2""","""AF""","""Homo sapiens""","""Mammalia""",15
"""2017-3""","""AF""","""Homo sapiens""","""Mammalia""",3
"""2018-1""","""AF""","""Homo sapiens""","""Mammalia""",252
"""2018-11""","""AF""","""Homo sapiens""","""Mammalia""",45
"""2018-12""","""AF""","""Homo sapiens""","""Mammalia""",84
"""2018-2""","""AF""","""Homo sapiens""","""Mammalia""",78
"""2019-1""","""AF""","""Homo sapiens""","""Mammalia""",243
"""2019-11""","""AF""","""Homo sapiens""","""Mammalia""",66
"""2019-12""","""AF""","""Homo sapiens""","""Mammalia""",306
"""2019-2""","""AF""","""Homo sapiens""","""Mammalia""",147
