iso2,name,iso3,commonName,species,monthlyCases,region
JP,Japan,JPN,Red fox,Vulpes vulpes,3,WPR
FR,France,FRA,Red fox,Vulpes vulpes,1,EUR
US,United States,USA,Red fox,Vulpes vulpes,87,AMR
CA,Canada,CAN,Red fox,Vulpes vulpes,55,AMR
US,United States,USA,Brown bear,Ursus arctos,3,AMR
JP,Japan,JPN,Wild boar,Sus scrofa,174,WPR
AU,Australia,AUS,Wild boar,Sus scrofa,100,WPR
CN,China,CHN,Wild boar,Sus scrofa,4,WPR
DK,Denmark,DNK,Wild boar,Sus scrofa,1670,EUR
IT,Italy,ITA,Wild boar,Sus scrofa,384,EUR
NO,Norway,NOR,Wild boar,Sus scrofa,279,EUR
AR,Argentina,ARG,Wild boar,Sus scrofa,2455,AMR
CA,Canada,CAN,Wild boar,Sus scrofa,450,AMR
MX,Mexico,MEX,Wild boar,Sus scrofa,2,AMR
US,United States,USA,Wild boar,Sus scrofa,0,AMR
US,United States,USA,Cougar,Puma,19,AMR
US,United States,USA,Harbor seal,Phoca vitulina,16,AMR
CA,Canada,CAN,Harbor seal,Phoca vitulina,11,AMR
US,United States,USA,Fisher cat,Pekania pennanti,3,AMR
US,United States,USA,Amur leopard,Panthera pardus orientalis,1,AMR
JP,Japan,JPN,Raccoon,Nyctereutes procyonoides,1,WPR
DK,Denmark,DNK,American mink,Neogale vison,60437,EUR
CA,Canada,CAN,American mink,Neogale vison,1,AMR
CA,Canada,CAN,Striped skunk,Mephitis mephitis,80,AMR
US,United States,USA,Striped skunk,Mephitis mephitis,34,AMR
US,United States,USA,American marten,Martes americana,1,AMR
US,United States,USA,Bobcat,Lynx rufus,6,AMR
US,United States,USA,North American river ottter ,Lontra canadensis,1,AMR
CN,China,CHN,Human,Homo sapiens,7822956,WPR
PH,Philippines,PHL,Human,Homo sapiens,623178,WPR
JP,Japan,JPN,Human,Homo sapiens,580752,WPR
AU,Australia,AUS,Human,Homo sapiens,433178,WPR
FR,France,FRA,Human,Homo sapiens,2415543,EUR
SE,Sweden,SWE,Human,Homo sapiens,1116810,EUR
CH,Switzerland,CHE,Human,Homo sapiens,864657,EUR
ES,Spain,ESP,Human,Homo sapiens,853128,EUR
IT,Italy,ITA,Human,Homo sapiens,677110,EUR
NO,Norway,NOR,Human,Homo sapiens,578741,EUR
DK,Denmark,DNK,Human,Homo sapiens,477868,EUR
PT,Portugal,PRT,Human,Homo sapiens,382899,EUR
AT,Austria,AUT,Human,Homo sapiens,283764,EUR
QA,Qatar,QAT,Human,Homo sapiens,552800,EMR
CA,Canada,CAN,Human,Homo sapiens,3398062,AMR
MX,Mexico,MEX,Human,Homo sapiens,906746,AMR
US,United States,USA,Human,Homo sapiens,784189,AMR
AR,Argentina,ARG,Human,Homo sapiens,470402,AMR
ZA,South Africa,ZAF,Human,Homo sapiens,1156255,AFR
ZW,Zimbabwe,ZWE,Human,Homo sapiens,805267,AFR
US,United States,USA,Grey seal,Halichoerus grypus,1,AMR
US,United States,USA,Cat,Felis catus,6,AMR
CN,China,CHN,Horse,Equidae,11851,WPR
JP,Japan,JPN,Horse,Equidae,4995,WPR
AU,Australia,AUS,Horse,Equidae,1454,WPR
IT,Italy,ITA,Horse,Equidae,35,EUR
US,United States,USA,Virginia opossum,Didelphis virginiana,3,AMR
CN,China,CHN,Dog,Canis lupus familiaris,2,WPR
IT,Italy,ITA,Dog,Canis lupus familiaris,5,EUR
US,United States,USA,Coyote,Canis latrans,1,AMR
US,United States,USA,Cow,Bos taurus,1,AMR
