uq
"""BE-Homo sapiens-Influenza A virus"""
"""DK-Homo sapiens-Influenza A virus"""
"""ZA-Homo sapiens-Influenza A virus"""
"""EG-Homo sapiens-Influenza A virus"""
"""US-Homo sapiens-Influenza A virus"""
"""FR-Homo sapiens-Influenza B virus"""
"""ZA-Homo sapiens-Influenza B virus"""
"""ZW-Homo sapiens-Influenza B virus"""
"""FR-Homo sapiens-Influenza A virus"""
"""ZW-Homo sapiens-Influenza A virus"""
"""GF-Homo sapiens-Influenza A virus"""
"""DE-Homo sapiens-Influenza B virus"""
"""DE-Homo sapiens-Influenza A virus"""
"""IS-Homo sapiens-Influenza A virus"""
"""ID-Homo sapiens-Influenza B virus"""
"""ID-Homo sapiens-Influenza A virus"""
"""IE-Homo sapiens-Influenza A virus"""
"""IT-Homo sapiens-Influenza B virus"""
"""BD-Homo sapiens-Influenza B virus"""
"""IT-Homo sapiens-Influenza A virus"""
"""BD-Homo sapiens-Influenza A virus"""
"""JP-Homo sapiens-Influenza B virus"""
"""JP-Homo sapiens-Influenza A virus"""
"""MG-Homo sapiens-Influenza A virus"""
"""MY-Homo sapiens-Influenza B virus"""
"""MA-Homo sapiens-Influenza B virus"""
"""MA-Homo sapiens-Influenza A virus"""
"""US-Homo sapiens-Influenza B virus"""
"""NO-Homo sapiens-Influenza B virus"""
"""NO-Homo sapiens-Influenza A virus"""
"""PE-Homo sapiens-Influenza A virus"""
"""PT-Homo sapiens-Influenza B virus"""
"""PT-Homo sapiens-Influenza A virus"""
"""ES-Homo sapiens-Influenza A virus"""
"""CH-Homo sapiens-Influenza B virus"""
"""CH-Homo sapiens-Influenza A virus"""
"""TR-Homo sapiens-Influenza B virus"""
"""TR-Homo sapiens-Influenza A virus"""
"""RU-Sus scrofa-Classical swine fever virus"""
"""CU-Equidae-West Nile virus"""
"""IL-Capra hircus-Peste des petits ruminants virus"""
"""CY-Aves-Influenza A virus"""
"""GR-Aves-Influenza A virus"""
"""GB-Equidae-Equine arteritis virus"""
"""CA-Bos taurus-prion"""
"""ML-Ovis aries-Peste des petits ruminants virus"""
"""FR-Capra hircus-prion"""
"""VN-Capra hircus-Goatpox virus"""
"""VN-Capra hircus-Capripoxvirus"""
"""AU-Homo sapiens-Influenza A virus"""
"""BR-Homo sapiens-Influenza B virus"""
"""BR-Homo sapiens-Influenza A virus"""
"""CN-Homo sapiens-Influenza B virus"""
"""CN-Homo sapiens-Influenza A virus"""
"""CO-Homo sapiens-Influenza A virus"""
"""CZ-Homo sapiens-Influenza B virus"""
"""EG-Homo sapiens-Influenza B virus"""
"""FI-Homo sapiens-Influenza A virus"""
"""GR-Homo sapiens-Influenza A virus"""
"""IE-Homo sapiens-Influenza B virus"""
"""IL-Homo sapiens-Influenza B virus"""
"""IL-Homo sapiens-Influenza A virus"""
"""LV-Homo sapiens-Influenza B virus"""
"""LV-Homo sapiens-Influenza A virus"""
"""MX-Homo sapiens-Influenza B virus"""
"""PH-Homo sapiens-Influenza B virus"""
"""MN-Homo sapiens-Influenza A virus"""
"""NC-Homo sapiens-Influenza B virus"""
"""SI-Homo sapiens-Influenza A virus"""
"""SE-Homo sapiens-Influenza B virus"""
"""SE-Homo sapiens-Influenza A virus"""
"""TH-Homo sapiens-Influenza B virus"""
"""TN-Homo sapiens-Influenza A virus"""
"""UA-Homo sapiens-Influenza A virus"""
"""CL-Apoidea-Paenibacillus larvae"""
"""BE-Homo sapiens-Influenza B virus"""
"""BG-Homo sapiens-Influenza A virus"""
"""CZ-Homo sapiens-Influenza A virus"""
"""GR-Homo sapiens-Influenza B virus"""
"""MX-Homo sapiens-Influenza A virus"""
"""PH-Homo sapiens-Influenza A virus"""
"""PY-Homo sapiens-Influenza B virus"""
"""PE-Homo sapiens-Influenza B virus"""
"""RO-Homo sapiens-Influenza A virus"""
"""TH-Homo sapiens-Influenza A virus"""
"""RO-Aves-Rabbit hemorrhagic disease virus"""
"""BO-Bos taurus-Vesicular stomatitis virus"""
"""BO-Equidae-Vesicular stomatitis virus"""
"""SI-Homo sapiens-Influenza B virus"""
"""ES-Homo sapiens-Influenza B virus"""
"""BA-Capra hircus-Caprine arthritis encephalitis virus"""
"""PL-Homo sapiens-Influenza A virus"""
"""VE-Homo sapiens-Influenza A virus"""
"""UA-Homo sapiens-Influenza B virus"""
"""IL-Aves-Rabbit hemorrhagic disease virus"""
"""BZ-Equidae-Vesicular stomatitis virus"""
"""BZ-Bos taurus-Vesicular stomatitis virus"""
"""DK-Homo sapiens-Influenza B virus"""
"""MG-Homo sapiens-Influenza B virus"""
"""PL-Homo sapiens-Influenza B virus"""
"""AR-Homo sapiens-Influenza A virus"""
"""CL-Homo sapiens-Influenza A virus"""
"""BZ-Sus scrofa-Vesicular stomatitis virus"""
"""PY-Homo sapiens-Influenza A virus"""
"""RO-Homo sapiens-Influenza B virus"""
"""KP-Aves-unidentified influenza virus"""
"""BY-Homo sapiens-Influenza B virus"""
"""FI-Homo sapiens-Influenza B virus"""
"""CO-Homo sapiens-Influenza B virus"""
"""SI-Ovis aries-prion"""
"""HK-Sus scrofa-Foot-and-mouth disease virus"""
"""CH-Bos taurus-Bovine alphaherpesvirus 1"""
"""BY-Homo sapiens-Influenza A virus"""
"""GF-Homo sapiens-Influenza B virus"""
"""IS-Homo sapiens-Influenza B virus"""
"""TN-Homo sapiens-Influenza B virus"""
"""GB-Equidae-Taylorella equigenitalis"""
"""FR-Equidae-Equine infectious anemia virus"""
"""JP-Ovis aries-prion"""
"""SI-Capra hircus-prion"""
"""SN-Homo sapiens-Influenza B virus"""
"""US-Equidae-Vesicular stomatitis virus"""
"""NZ-Homo sapiens-Influenza B virus"""
"""UY-Homo sapiens-Influenza A virus"""
"""JP-Aves-prion"""
"""BO-Sus scrofa-Suid alphaherpesvirus 1"""
"""US-Bos taurus-Vesicular stomatitis virus"""
"""CN-Bos taurus-Foot-and-mouth disease virus"""
"""CL-Homo sapiens-Influenza B virus"""
"""UY-Homo sapiens-Influenza B virus"""
"""IL-Aves-Foot-and-mouth disease virus"""
"""US-Capra hircus-Vesicular stomatitis virus"""
"""DO-Homo sapiens-Influenza B virus"""
"""HR-Ovis aries-Brucella melitensis"""
"""US-Perca flavescens-Viral hemorrhagic septicemia virus"""
"""US-Dorosoma cepedianum-Viral hemorrhagic septicemia virus"""
"""AR-Homo sapiens-Influenza B virus"""
"""AU-Homo sapiens-Influenza B virus"""
"""US-Oryctolagus cuniculus-Rabbit hemorrhagic disease virus"""
"""TN-Equidae-Influenza A virus"""
"""DO-Homo sapiens-Influenza A virus"""
"""RU-Sus scrofa-Foot-and-mouth disease virus"""
"""AT-Bos taurus-prion"""
"""NZ-Homo sapiens-Influenza A virus"""
"""CN-Sus scrofa-Streptococcus suis"""
"""ZA-Sus scrofa-Classical swine fever virus"""
"""US-Ovis aries-Vesicular stomatitis virus"""
"""GB-Aves-Foot-and-mouth disease virus"""
"""CN-Ovis aries-Foot-and-mouth disease virus"""
"""RU-Aves-unidentified influenza virus"""
"""RU-Aves-H5N1 subtype"""
"""ES-Bos taurus-Orbivirus"""
"""FR-Aves-Equine infectious anemia virus"""
"""KZ-Aves-H5N1 subtype"""
"""KZ-Aves-unidentified influenza virus"""
"""MM-Bos taurus-Foot-and-mouth disease virus"""
"""ES-Oncorhynchus mykiss-Infectious hematopoietic necrosis virus"""
"""CR-Homo sapiens-Influenza A virus"""
"""MN-Ovis aries-Foot-and-mouth disease virus"""
"""BG-Aves-Orbivirus"""
"""RU-Bos taurus-Foot-and-mouth disease virus"""
"""KZ-Bos taurus-Bacillus anthracis"""
"""ES-Capra hircus-Orbivirus"""
"""US-Sus scrofa-Vesicular stomatitis virus"""
"""RU-Ovis aries-Foot-and-mouth disease virus"""
"""NC-Homo sapiens-Influenza A virus"""
"""SN-Homo sapiens-Influenza A virus"""
"""FR-Aves-Peste des petits ruminants virus"""
"""SG-Cyprinus carpio-Cyprinid herpesvirus 3"""
"""BR-Sus scrofa-Foot-and-mouth disease virus"""
"""ES-Ovis aries-Orbivirus"""
"""BR-Bos taurus-Foot-and-mouth disease virus"""
"""TR-Aves-H5N1 subtype"""
"""RO-Aves-unidentified influenza virus"""
"""RO-Aves-H5N1 subtype"""
"""DK-Aves-Lumpy skin disease virus"""
"""MK-Aves-African horse sickness virus"""
"""TR-Aves-Bovine alphaherpesvirus 1"""
"""BR-Ovis aries-Foot-and-mouth disease virus"""
"""GR-Aves-Rabbit hemorrhagic disease virus"""
"""AR-Capra hircus-Coxiella burnetii"""
"""SE-Aves-African horse sickness virus"""
"""UA-Aves-unidentified influenza virus"""
"""UA-Aves-H5N1 subtype"""
"""ZW-Aves-unidentified influenza virus"""
"""MX-Aves-Foot-and-mouth disease virus"""
"""IL-Bos taurus-Foot-and-mouth disease virus"""
"""SZ-Equidae-African horse sickness virus"""
"""NO-Aves-Infectious bronchitis virus"""
"""EG-Bos taurus-Lumpy skin disease virus"""
"""MY-Homo sapiens-Influenza A virus"""
"""AZ-Aves-Vesicular stomatitis virus"""
"""TR-Aves-Bacillus anthracis"""
"""NG-Aves-H5N1 subtype"""
"""HK-Aves-H5N1 subtype"""
"""ZM-Sus scrofa-African swine fever virus"""
"""TR-Ovis aries-Foot-and-mouth disease virus"""
"""TR-Bos taurus-Foot-and-mouth disease virus"""
"""BG-Aves-Bluetongue virus"""
"""RO-Oncorhynchus mykiss-Viral hemorrhagic septicemia virus"""
"""LU-Homo sapiens-Influenza A virus"""
"""TR-Capra hircus-Foot-and-mouth disease virus"""
"""UA-Aves-Peste des petits ruminants virus"""
"""KE-Homo sapiens-Influenza B virus"""
"""EG-Bos taurus-Foot-and-mouth disease virus"""
"""IN-Aves-H5N1 subtype"""
"""VE-Homo sapiens-Influenza B virus"""
"""IT-Aves-H5N1 subtype"""
"""BG-Sus scrofa-Classical swine fever virus"""
"""PS-Bos taurus-Foot-and-mouth disease virus"""
"""AR-Equidae-West Nile virus"""
"""AR-Sus scrofa-Foot-and-mouth disease virus"""
"""MY-Aves-H5N1 subtype"""
"""PS-Ovis aries-Foot-and-mouth disease virus"""
"""LU-Homo sapiens-Influenza B virus"""
"""NE-Aves-H5N1 subtype"""
"""AR-Bos taurus-Foot-and-mouth disease virus"""
"""AL-Aves-H5N1 subtype"""
"""EG-Aves-H5N1 subtype"""
"""SD-Aves-H5N1 subtype"""
"""CM-Aves-H5N1 subtype"""
"""BR-Sus scrofa-Classical swine fever virus"""
"""DE-Sus scrofa-Classical swine fever virus"""
"""BF-Aves-H5N1 subtype"""
"""AF-Aves-H5N1 subtype"""
"""JP-Aves-Taylorella equigenitalis"""
"""LK-Homo sapiens-Influenza A virus"""
"""MM-Aves-H5N1 subtype"""
"""RS-Aves-H5N1 subtype"""
"""SE-Aves-H5N1 subtype"""
"""LK-Homo sapiens-Influenza B virus"""
"""IL-Aves-H5N1 subtype"""
"""KH-Aves-H5N1 subtype"""
"""HR-Homo sapiens-Influenza A virus"""
"""PS-Aves-H5N1 subtype"""
"""ZA-Equidae-African horse sickness virus"""
"""GB-Oncorhynchus mykiss-Viral hemorrhagic septicemia virus"""
"""CI-Aves-H5N1 subtype"""
"""GB-Ostrea edulis-Bonamia ostreae"""
"""SD-Aves-unidentified influenza virus"""
"""IE-Haliotis tuberculata-Candidatus Xenohaliotis californiensis"""
"""KE-Homo sapiens-Influenza A virus"""
"""DE-Aves-H5N1 subtype"""
"""DJ-Aves-H5N1 subtype"""
"""LS-Ovis aries-Bacillus anthracis"""
"""BW-Bos taurus-Foot-and-mouth disease virus"""
"""CG-Capra hircus-Peste des petits ruminants virus"""
"""SS-Aves-H5N1 subtype"""
"""GB-Bos taurus-Bacillus anthracis"""
"""GT-Sus scrofa-Classical swine fever virus"""
"""IE-Ostrea edulis-Bonamia ostreae"""
"""CD-Bos taurus-Foot-and-mouth disease virus"""
"""BR-Aves-African horse sickness virus"""
"""VN-Bos taurus-Foot-and-mouth disease virus"""
"""BO-Sus scrofa-Alcelaphine gammaherpesvirus 1"""
"""US-Micropterus dolomieu-Viral hemorrhagic septicemia virus"""
"""HU-Ovis aries-prion"""
"""EC-Bos taurus-Foot-and-mouth disease virus"""
"""US-Morone chrysops-Viral hemorrhagic septicemia virus"""
"""US-Neogobius melanostomus-Viral hemorrhagic septicemia virus"""
"""JP-Capra hircus-Mycoplasma mycoides subsp. capri"""
"""IE-Equidae-Equine infectious anemia virus"""
"""IE-Equidae-Bacillus anthracis"""
"""CA-Apoidea-Aethina tumida"""
"""GB-Cyprinus carpio-Cyprinid herpesvirus 3"""
"""CR-Aves-Gallid alphaherpesvirus 1"""
"""DK-Aves-unidentified influenza virus"""
"""HU-Aves-unidentified influenza virus"""
"""HU-Aves-H5N1 subtype"""
"""BG-Capra hircus-Brucella melitensis"""
"""NZ-Apoidea-Bacillus anthracis"""
"""ZA-Aves-unidentified influenza virus"""
"""EC-Bos taurus-Vesicular stomatitis virus"""
"""IL-Bos taurus-Lumpy skin disease virus"""
"""CR-Homo sapiens-Influenza B virus"""
"""CA-Cyprinus carpio-Sprivivirus cyprinus"""
"""PE-Bos taurus-Bacillus anthracis"""
"""ID-Aves-H5N1 subtype"""
"""DZ-Ovis aries-Bluetongue virus"""
"""RO-Apoidea-Paenibacillus larvae"""
"""TH-Aves-H5N1 subtype"""
"""HR-Sus scrofa-Classical swine fever virus"""
"""SV-Homo sapiens-Influenza B virus"""
"""DZ-Bos taurus-Orbivirus"""
"""MA-Bos taurus-Orbivirus"""
"""ZA-Bos taurus-Foot-and-mouth disease virus"""
"""IT-Aves-Bluetongue virus"""
"""KE-Ovis aries-Peste des petits ruminants virus"""
"""KE-Capra hircus-Peste des petits ruminants virus"""
"""TR-Aves-Bluetongue virus"""
"""DE-Ovis aries-Bluetongue virus"""
"""BE-Ovis aries-Bluetongue virus"""
"""BE-Bos taurus-Bluetongue virus"""
"""NL-Ovis aries-Bluetongue virus"""
"""NL-Bos taurus-Bluetongue virus"""
"""KH-Homo sapiens-Influenza A virus"""
"""SV-Homo sapiens-Influenza A virus"""
"""DE-Bos taurus-Bluetongue virus"""
"""IL-Bos taurus-Epizootic hemorrhagic disease virus"""
"""GB-Equidae-Bluetongue virus"""
"""FR-Bos taurus-Orbivirus"""
"""FR-Bos taurus-Bluetongue virus"""
"""TN-Bos taurus-Epizootic hemorrhagic disease virus"""
"""PS-Bos taurus-Epizootic hemorrhagic disease virus"""
"""CA-Homo sapiens-Influenza A virus"""
"""LB-Aves-Epizootic hemorrhagic disease virus"""
"""AZ-Bos taurus-Bacillus anthracis"""
"""SY-Bos taurus-Epizootic hemorrhagic disease virus"""
"""FR-Aves-Taylorella equigenitalis"""
"""DE-Equidae-Bacillus anthracis"""
"""LU-Apoidea-Paenibacillus larvae"""
"""BO-Sus scrofa-Classical swine fever virus"""
"""FR-Equidae-West Nile virus"""
"""CA-Homo sapiens-Influenza B virus"""
"""US-Equidae-Taylorella equigenitalis"""
"""BG-Bos taurus-Bluetongue virus"""
"""BG-Bos taurus-Orbivirus"""
"""BG-Capra hircus-Bluetongue virus"""
"""BG-Capra hircus-Orbivirus"""
"""KE-Sus scrofa-African swine fever virus"""
"""GN-Bos taurus-Foot-and-mouth disease virus"""
"""JO-Bos taurus-Foot-and-mouth disease virus"""
"""EC-Sus scrofa-Classical swine fever virus"""
"""TN-Ovis aries-Bluetongue virus"""
"""BR-Apoidea-Paenibacillus larvae"""
"""PT-Ovis aries-Bluetongue virus"""
"""IT-Ovis aries-Bluetongue virus"""
"""RO-Ovis aries-Brucella ovis"""
"""IT-Capra hircus-Bluetongue virus"""
"""IL-Ovis aries-Bluetongue virus"""
"""KR-Aves-unidentified influenza virus"""
"""KR-Aves-H5N1 subtype"""
"""LU-Bos taurus-Orbivirus"""
"""LU-Bos taurus-Bluetongue virus"""
"""JO-Ovis aries-Foot-and-mouth disease virus"""
"""RS-Aves-Paenibacillus larvae"""
"""TN-Oryctolagus cuniculus-Myxoma virus"""
"""KE-Bos taurus-Rift Valley fever virus"""
"""KE-Camelidae-Rift Valley fever virus"""
"""VN-Aves-H5N1 subtype"""
"""VN-Aves-unidentified influenza virus"""
"""NI-Sus scrofa-Classical swine fever virus"""
"""IL-Capra hircus-Foot-and-mouth disease virus"""
"""MN-Ovis aries-Capripoxvirus"""
"""IL-Ovis aries-prion"""
"""SG-Homo sapiens-Influenza B virus"""
"""SG-Homo sapiens-Influenza A virus"""
"""GR-Ovis aries-Goatpox virus"""
"""BO-Bos taurus-Foot-and-mouth disease virus"""
"""PA-Homo sapiens-Influenza B virus"""
"""RS-Homo sapiens-Influenza A virus"""
"""SI-Oncorhynchus mykiss-Infectious hematopoietic necrosis virus"""
"""SI-Oncorhynchus mykiss-H5N1 subtype"""
"""KP-Sus scrofa-Foot-and-mouth disease virus"""
"""JP-Aves-H5N1 subtype"""
"""JP-Aves-unidentified influenza virus"""
"""BO-Sus scrofa-Foot-and-mouth disease virus"""
"""CZ-Aves-Foot-and-mouth disease virus"""
"""TZ-Bos taurus-Rift Valley fever virus"""
"""RO-Ovis aries-prion"""
"""SK-Aves-H5N1 subtype"""
"""LA-Aves-H5N1 subtype"""
