lat,long,location,country,species,totalCases
null,null,null,null,null,0
40.48523,-78.00813,"point({srid:4326, x:-78.00813, y:40.48523})","""US""","""Vulpes vulpes""",6
43.4744,-70.71464,"point({srid:4326, x:-70.71464, y:43.4744})","""US""","""Vulpes vulpes""",2
45.06833,-83.44056,"point({srid:4326, x:-83.44056, y:45.06833})","""US""","""Vulpes vulpes""",1
42.88389,-78.87667,"point({srid:4326, x:-78.87667, y:42.88389})","""US""","""Vulpes vulpes""",1
43.06279,-76.99304,"point({srid:4326, x:-76.99304, y:43.06279})","""US""","""Vulpes vulpes""",2
42.44167,-76.49861,"point({srid:4326, x:-76.49861, y:42.44167})","""US""","""Vulpes vulpes""",3
43.15345,-77.61249,"point({srid:4326, x:-77.61249, y:43.15345})","""US""","""Vulpes vulpes""",1
41.4488,-71.4736,"point({srid:4326, x:-71.4736, y:41.4488})","""US""","""Vulpes vulpes""",2
42.93,-76.56889,"point({srid:4326, x:-76.56889, y:42.93})","""US""","""Vulpes vulpes""",1
45.43709,-117.29267,"point({srid:4326, x:-117.29267, y:45.43709})","""US""","""Vulpes vulpes""",1
40.58125,-75.38988,"point({srid:4326, x:-75.38988, y:40.58125})","""US""","""Vulpes vulpes""",1
43.07166,-89.38345,"point({srid:4326, x:-89.38345, y:43.07166})","""US""","""Vulpes vulpes""",1
42.08778,-78.45028,"point({srid:4326, x:-78.45028, y:42.08778})","""US""","""Vulpes vulpes""",1
40.01415,-105.28944,"point({srid:4326, x:-105.28944, y:40.01415})","""US""","""Vulpes vulpes""",2
61.6023,-149.10969,"point({srid:4326, x:-149.10969, y:61.6023})","""US""","""Vulpes vulpes""",1
43.8257,-111.77096,"point({srid:4326, x:-111.77096, y:43.8257})","""US""","""Vulpes vulpes""",1
38.27555,-104.61061,"point({srid:4326, x:-104.61061, y:38.27555})","""US""","""Vulpes vulpes""",1
37.45529,-105.87605,"point({srid:4326, x:-105.87605, y:37.45529})","""US""","""Vulpes vulpes""",1
43.647,-108.20937,"point({srid:4326, x:-108.20937, y:43.647})","""US""","""Vulpes vulpes""",1
43.0722,-89.38268,"point({srid:4326, x:-89.38268, y:43.0722})","""US""","""Vulpes vulpes""",1
45.29329,-111.94428,"point({srid:4326, x:-111.94428, y:45.29329})","""US""","""Vulpes vulpes""",1
44.87505,-98.5144,"point({srid:4326, x:-98.5144, y:44.87505})","""US""","""Vulpes vulpes""",1
42.45442,-76.49989,"point({srid:4326, x:-76.49989, y:42.45442})","""US""","""Vulpes vulpes""",1
64.5374,-165.41262,"point({srid:4326, x:-165.41262, y:64.5374})","""US""","""Vulpes vulpes""",0
42.90312,-76.54077,"point({srid:4326, x:-76.54077, y:42.90312})","""US""","""Vulpes vulpes""",4
64.5374,-165.41262,"point({srid:4326, x:-165.41262, y:64.5374})","""US""","""Vulpes vulpes""",1
43.59863,-83.86081,"point({srid:4326, x:-83.86081, y:43.59863})","""US""","""Vulpes vulpes""",0
43.59863,-83.86081,"point({srid:4326, x:-83.86081, y:43.59863})","""US""","""Vulpes vulpes""",1
43.98139,-84.49861,"point({srid:4326, x:-84.49861, y:43.98139})","""US""","""Vulpes vulpes""",1
43.59778,-83.89806,"point({srid:4326, x:-83.89806, y:43.59778})","""US""","""Vulpes vulpes""",0
43.59778,-83.89806,"point({srid:4326, x:-83.89806, y:43.59778})","""US""","""Vulpes vulpes""",1
40.78479,-111.94909,"point({srid:4326, x:-111.94909, y:40.78479})","""US""","""Vulpes vulpes""",1
44.74057,-92.84075,"point({srid:4326, x:-92.84075, y:44.74057})","""US""","""Vulpes vulpes""",1
44.92092,-93.23605,"point({srid:4326, x:-93.23605, y:44.92092})","""US""","""Vulpes vulpes""",1
43.26111,-86.24167,"point({srid:4326, x:-86.24167, y:43.26111})","""US""","""Vulpes vulpes""",1
46.46417,-84.37944,"point({srid:4326, x:-84.37944, y:46.46417})","""US""","""Vulpes vulpes""",1
64.21667,-149.26667,"point({srid:4326, x:-149.26667, y:64.21667})","""US""","""Vulpes vulpes""",1
42.72612,-88.99289,"point({srid:4326, x:-88.99289, y:42.72612})","""US""","""Vulpes vulpes""",1
43.01167,-88.81816,"point({srid:4326, x:-88.81816, y:43.01167})","""US""","""Vulpes vulpes""",1
43.1394,-89.2995,"point({srid:4326, x:-89.2995, y:43.1394})","""US""","""Vulpes vulpes""",1
45.5308,-94.16527,"point({srid:4326, x:-94.16527, y:45.5308})","""US""","""Vulpes vulpes""",1
47.20972,-93.49056,"point({srid:4326, x:-93.49056, y:47.20972})","""US""","""Vulpes vulpes""",1
46.00137,-98.52859,"point({srid:4326, x:-98.52859, y:46.00137})","""US""","""Vulpes vulpes""",1
44.7986,-93.431,"point({srid:4326, x:-93.431, y:44.7986})","""US""","""Vulpes vulpes""",1
46.77667,-100.79694,"point({srid:4326, x:-100.79694, y:46.77667})","""US""","""Vulpes vulpes""",1
43.61306,-84.24806,"point({srid:4326, x:-84.24806, y:43.61306})","""US""","""Vulpes vulpes""",2
43.87917,-85.50417,"point({srid:4326, x:-85.50417, y:43.87917})","""US""","""Vulpes vulpes""",1
44.99612,-84.67781,"point({srid:4326, x:-84.67781, y:44.99612})","""US""","""Vulpes vulpes""",1
43.87556,-85.49056,"point({srid:4326, x:-85.49056, y:43.87556})","""US""","""Vulpes vulpes""",1
44.95999,-93.32146,"point({srid:4326, x:-93.32146, y:44.95999})","""US""","""Vulpes vulpes""",1
45.06196,-92.82785,"point({srid:4326, x:-92.82785, y:45.06196})","""US""","""Vulpes vulpes""",1
42.84405,-90.70886,"point({srid:4326, x:-90.70886, y:42.84405})","""US""","""Vulpes vulpes""",2
43.97469,-89.81624,"point({srid:4326, x:-89.81624, y:43.97469})","""US""","""Vulpes vulpes""",2
42.88145,-78.87699,"point({srid:4326, x:-78.87699, y:42.88145})","""US""","""Vulpes vulpes""",2
42.4431,-76.51727,"point({srid:4326, x:-76.51727, y:42.4431})","""US""","""Vulpes vulpes""",1
44.595,-75.17111,"point({srid:4326, x:-75.17111, y:44.595})","""US""","""Vulpes vulpes""",2
43.16985,-78.69562,"point({srid:4326, x:-78.69562, y:43.16985})","""US""","""Vulpes vulpes""",1
41.77096,-91.13947,"point({srid:4326, x:-91.13947, y:41.77096})","""US""","""Vulpes vulpes""",1
53.46444,-166.92972,"point({srid:4326, x:-166.92972, y:53.46444})","""US""","""Vulpes vulpes""",0
53.46444,-166.92972,"point({srid:4326, x:-166.92972, y:53.46444})","""US""","""Vulpes vulpes""",1
42.87227,-78.82002,"point({srid:4326, x:-78.82002, y:42.87227})","""US""","""Vulpes vulpes""",1
43.03695,-88.7901,"point({srid:4326, x:-88.7901, y:43.03695})","""US""","""Vulpes vulpes""",2
43.03667,-83.325,"point({srid:4326, x:-83.325, y:43.03667})","""US""","""Vulpes vulpes""",1
42.58976,-82.86353,"point({srid:4326, x:-82.86353, y:42.58976})","""US""","""Vulpes vulpes""",2
42.99944,-82.84889,"point({srid:4326, x:-82.84889, y:42.99944})","""US""","""Vulpes vulpes""",1
43.08913,-93.59743,"point({srid:4326, x:-93.59743, y:43.08913})","""US""","""Vulpes vulpes""",1
45.20969,-93.37606,"point({srid:4326, x:-93.37606, y:45.20969})","""US""","""Vulpes vulpes""",1
43.10551,-89.28853,"point({srid:4326, x:-89.28853, y:43.10551})","""US""","""Vulpes vulpes""",1
42.7432,-88.96019,"point({srid:4326, x:-88.96019, y:42.7432})","""US""","""Vulpes vulpes""",1
42.7432,-88.96019,"point({srid:4326, x:-88.96019, y:42.7432})","""US""","""Vulpes vulpes""",0
44.07806,-89.29187,"point({srid:4326, x:-89.29187, y:44.07806})","""US""","""Vulpes vulpes""",1
