species,disease,ParasiteGMPD,close,nonclose,vector,intermediate
Canis adustus,Leptospirosis,Leptospira icterohaemorrhagiae,1,1,0,0
Canis adustus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Canis aureus,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Canis aureus,Echinococcosis - unilocular,Echinococcus granulosus,0,1,0,1
Canis aureus,Bartonellosis - other systemic,Bartonella rochalimae,0,0,1,0
Canis aureus,Brucellosis,Brucella canis,NA,NA,NA,NA
Canis aureus,Dipylidiasis,Dipylidium caninum,0,0,0,1
Canis aureus,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Canis aureus,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Canis aureus,Giardiasis,Giardia duodenalis,1,1,0,0
Canis aureus,Leishmaniasis - cutaneous,Leishmania tropica,NA,NA,NA,NA
Canis aureus,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Canis aureus,Metagonimiasis,Metagonimus yokogawai,0,0,0,1
Canis aureus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Canis aureus,Small intestinal trematodes,Haplorchis taichui,NA,NA,NA,NA
Canis aureus,Spotted fevers - Old World,Rickettsia raoultii,NA,NA,NA,NA
Canis aureus,Toxocariasis,Toxocara canis,1,0,0,0
Canis aureus,Trichinosis,"Trichinella spiralis, Trichinella britovi",0,1,0,0
Canis aureus,Ehrlichiosis - human monocytic,"Ehrlichia canis, Ehrlichia chaffeensis",0,0,1,0
Canis latrans,Toxocariasis,Toxocara canis,1,0,0,0
Canis latrans,Trypanosomiasis - American,Trypanosoma cruzi,0,0,1,0
Canis latrans,Tularemia,Francisella tularensis,1,1,1,0
Canis latrans,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Canis latrans,Bartonellosis - other systemic,Bartonella vinsonii,0,1,1,0
Canis latrans,California encephalitis group,Orthobunyavirus California encephalitis orthobunyavirus,0,0,1,0
Canis latrans,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Canis latrans,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Canis latrans,Eastern equine encephalitis,Alphavirus Eastern equine encephalitis virus,0,0,1,0
Canis latrans,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Canis latrans,Echinococcosis - unilocular,Echinococcus granulosus,0,1,0,1
Canis latrans,Ehrlichiosis - human monocytic,"Ehrlichia canis, Ehrlichia chaffeensis",0,0,1,0
Canis latrans,Giardiasis,Giardia duodenalis,1,1,0,0
Canis latrans,Leptospirosis,Leptospira interrogans,1,1,0,0
Canis latrans,Lyme disease,Borrelia burgdorferi,0,0,1,0
Canis latrans,Paragonimiasis,Paragonimus kellicotti,0,0,0,1
Canis latrans,Plague,Yersinia pestis,1,0,1,0
Canis latrans,Powassan,Flavivirus sp.,NA,NA,NA,NA
Canis latrans,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Canis latrans,Spotted fevers - New World,Rickettsia rickettsii,0,1,1,0
Canis latrans,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Canis lupus,Coenurosis,"Taenia crassiceps, Taenia hydatigena, Taenia krabbei, Taenia multiceps, Taenia pisiformis, Taenia polyacantha",0,1,0,1
Canis lupus,Cysticercosis,Taenia crassiceps,0,1,0,1
Canis lupus,Diphyllobothriasis,Diphyllobothrium latum,0,0,0,1
Canis lupus,Dipylidiasis,Dipylidium caninum,0,0,0,1
Canis lupus,Dirofilariasis,"Dirofilaria immitis, Dirofilaria repens",0,0,1,0
Canis lupus,Eastern equine encephalitis,Alphavirus Eastern equine encephalitis virus,0,0,1,0
Canis lupus,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Canis lupus,Echinococcosis - unilocular,Echinococcus granulosus,0,1,0,1
Canis lupus,Giardiasis,Giardia duodenalis,1,1,0,0
Canis lupus,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Canis lupus,Leishmaniasis - cutaneous,Leishmania mexicana,NA,NA,NA,NA
Canis lupus,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Canis lupus,Leptospirosis,Leptospira interrogans,1,1,0,0
Canis lupus,Lyme disease,Borrelia burgdorferi,0,0,1,0
Canis lupus,Opisthorchiasis,Opisthorchis felineus,0,0,0,1
Canis lupus,Paragonimiasis,Alaria alata,0,1,0,1
Canis lupus,Sarcocystosis,Sarcocystis sp.,NA,NA,NA,NA
Canis lupus,Taeniasis,Taenia crassiceps,0,1,0,1
Canis lupus,Thelaziasis,Thelazia callipaeda,0,0,1,0
Canis lupus,Toxocariasis,Toxocara canis,1,0,0,0
Canis lupus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Canis lupus,Trichinosis,Trichinella britovi,0,1,0,0
Canis lupus,Trypanosomiasis - American,Trypanosoma cruzi,0,0,1,0
Canis lupus,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Canis lupus,Yersiniosis,Yersinia enterocolitica,1,1,0,0
Canis lupus,Acanthocephalan infections,Moniliformis moniliformis,0,0,0,1
Canis lupus,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Canis lupus,Anthrax,Bacillus anthracis,0,1,0,0
Canis lupus,Babesiosis,Babesia spp.,0,0,1,0
Canis lupus,Bartonellosis - cat borne,Bartonella rochalimae,0,0,1,0
Canis lupus,Bartonellosis - other systemic,Bartonella rochalimae,0,0,1,0
Canis lupus,Capillariasis - extraintestinal,Capillaria aerophila,0,1,0,1
Canis mesomelas,Anthrax,Bacillus anthracis,0,1,0,0
