orig,ncbi,,,,,
Feline corona virus,Feline coronavirus,,,,,
Equine infectious anaemia virus,Equine infectious anemia virus,,,,,
Eastern equine encephalomyelitis and Western equine encephalomyelitis viruses ,Alphavirus,,,,,
Paramyxovirus type 1 (PMV-1),Pigeon paramyxovirus 1,,,,,
Feline panleukopenia virus/canine parvovirus,Feline panleukopenia virus,,,,,
Protoparvovirus Carnivore protoparvovirus 1,Protoparvovirus carnivoran1,,,,,
Lentivirus feline immunodeficiency virus,Feline immunodeficiency virus,,,,,
Canine distemper virus,Morbillivirus canis,,,,,
Mycobacterium bovis,Mycobacterium tuberculosis variant bovis,,,,,
Feline herpes virus 1,Felid alphaherpesvirus 1,,,,,
Varicellovirus Felid alphaherpesvirus 1,Felid alphaherpesvirus 1,,,,,
Longistrongylus curvispiculum,Trichostrongyloidea,,,,,
Agriostomum gorgonis,Ancylostomatidae,,,,,
Agriostomum,Ancylostomatidae,,,,,
Aphthovirus Foot-and-mouth disease virus serotype SAT 1,Foot-and-mouth disease virus SAT 1,,,,,
Aphthovirus Foot-and-mouth disease virus serotype SAT 2,Foot-and-mouth disease virus SAT 2,,,,,
Aphthovirus Foot-and-mouth disease virus serotype SAT 3,Foot-and-mouth disease virus SAT 3,,,,,
Aphthovirus Foot-and-mouth disease virus,Foot-and-mouth disease virus,,,,,
Cooperia conochaeti,unclassified Cooperia (in: nematodes),,,,,
Cooperia hungi,unclassified Cooperia (in: nematodes),,,,,
Cooperia neitzi,unclassified Cooperia (in: nematodes),,,,,
Cooperia rotundispiculum,unclassified Cooperia (in: nematodes),,,,,
Cooperia verrucosa,unclassified Cooperia (in: nematodes),,,,,
Cooperia yoshidai,unclassified Cooperia (in: nematodes),,,,,
H5N8,H5N8 subtype,,,,,
Common pheasant,Phasianus colchicus ,,,,,
