yearMonth,country,species,class,monthlyCases
"""2004-12""","""BE""","""Homo sapiens""","""Mammalia""",684
"""2004-12""","""ID""","""Homo sapiens""","""Mammalia""",180
"""2004-12""","""FR""","""Homo sapiens""","""Mammalia""",84
"""2004-12""","""JP""","""Homo sapiens""","""Mammalia""",72
"""2004-12""","""IT""","""Homo sapiens""","""Mammalia""",66
"""2004-12""","""IE""","""Homo sapiens""","""Mammalia""",66
"""2004-12""","""MA""","""Homo sapiens""","""Mammalia""",36
"""2004-12""","""IS""","""Homo sapiens""","""Mammalia""",36
"""2004-12""","""PT""","""Homo sapiens""","""Mammalia""",33
"""2004-12""","""CH""","""Homo sapiens""","""Mammalia""",30
"""2004-12""","""ZA""","""Homo sapiens""","""Mammalia""",29
"""2004-12""","""ZW""","""Homo sapiens""","""Mammalia""",28
"""2004-12""","""BD""","""Homo sapiens""","""Mammalia""",22
"""2004-12""","""DE""","""Homo sapiens""","""Mammalia""",20
"""2004-12""","""PE""","""Homo sapiens""","""Mammalia""",16
"""2004-12""","""TR""","""Homo sapiens""","""Mammalia""",8
"""2004-12""","""US""","""Homo sapiens""","""Mammalia""",7
"""2004-12""","""NO""","""Homo sapiens""","""Mammalia""",6
"""2004-12""","""MG""","""Homo sapiens""","""Mammalia""",6
"""2004-12""","""GF""","""Homo sapiens""","""Mammalia""",3
"""2004-12""","""ES""","""Homo sapiens""","""Mammalia""",2
"""2004-12""","""EG""","""Homo sapiens""","""Mammalia""",2
"""2004-12""","""DK""","""Homo sapiens""","""Mammalia""",2
"""2005-1""","""JP""","""Homo sapiens""","""Mammalia""",6796
"""2005-1""","""IT""","""Homo sapiens""","""Mammalia""",3867
"""2005-1""","""FR""","""Homo sapiens""","""Mammalia""",3603
"""2005-1""","""BE""","""Homo sapiens""","""Mammalia""",2379
"""2005-1""","""PT""","""Homo sapiens""","""Mammalia""",1635
"""2005-1""","""BD""","""Homo sapiens""","""Mammalia""",1289
"""2005-1""","""ZA""","""Homo sapiens""","""Mammalia""",1233
"""2005-1""","""IL""","""Homo sapiens""","""Mammalia""",1224
"""2005-1""","""ZW""","""Homo sapiens""","""Mammalia""",1201
"""2005-1""","""CH""","""Homo sapiens""","""Mammalia""",969
"""2005-1""","""SE""","""Homo sapiens""","""Mammalia""",849
"""2005-1""","""ID""","""Homo sapiens""","""Mammalia""",678
"""2005-1""","""GR""","""Homo sapiens""","""Mammalia""",669
"""2005-1""","""CN""","""Homo sapiens""","""Mammalia""",663
"""2005-1""","""DE""","""Homo sapiens""","""Mammalia""",616
"""2005-1""","""PE""","""Homo sapiens""","""Mammalia""",398
"""2005-1""","""IS""","""Homo sapiens""","""Mammalia""",372
"""2005-1""","""IE""","""Homo sapiens""","""Mammalia""",332
"""2005-1""","""ES""","""Homo sapiens""","""Mammalia""",228
"""2005-1""","""SI""","""Homo sapiens""","""Mammalia""",208
"""2005-1""","""US""","""Homo sapiens""","""Mammalia""",199
"""2005-1""","""NO""","""Homo sapiens""","""Mammalia""",186
"""2005-1""","""CZ""","""Homo sapiens""","""Mammalia""",186
"""2005-1""","""TH""","""Homo sapiens""","""Mammalia""",183
"""2005-1""","""LV""","""Homo sapiens""","""Mammalia""",138
"""2005-1""","""FI""","""Homo sapiens""","""Mammalia""",132
"""2005-1""","""MA""","""Homo sapiens""","""Mammalia""",114
"""2005-1""","""MN""","""Homo sapiens""","""Mammalia""",69
"""2005-1""","""MG""","""Homo sapiens""","""Mammalia""",66
"""2005-1""","""DK""","""Homo sapiens""","""Mammalia""",64
"""2005-1""","""TN""","""Homo sapiens""","""Mammalia""",54
"""2005-1""","""PL""","""Homo sapiens""","""Mammalia""",48
"""2005-1""","""MX""","""Homo sapiens""","""Mammalia""",46
"""2005-1""","""EG""","""Homo sapiens""","""Mammalia""",26
"""2005-1""","""BG""","""Homo sapiens""","""Mammalia""",24
"""2005-1""","""PH""","""Homo sapiens""","""Mammalia""",23
"""2005-1""","""UA""","""Homo sapiens""","""Mammalia""",14
"""2005-1""","""RO""","""Homo sapiens""","""Mammalia""",9
"""2005-1""","""GF""","""Homo sapiens""","""Mammalia""",9
"""2005-1""","""TR""","""Homo sapiens""","""Mammalia""",8
"""2005-1""","""CO""","""Homo sapiens""","""Mammalia""",6
"""2005-1""","""BR""","""Homo sapiens""","""Mammalia""",6
"""2005-1""","""VE""","""Homo sapiens""","""Mammalia""",2
"""2005-1""","""AU""","""Homo sapiens""","""Mammalia""",2
"""2020-12""","""IT""","""Anas crecca""","""Aves""",0
"""2022-10""","""IT""","""Anas platyrhynchos""","""Aves""",0
"""2005-1""","""CY""","""Aves""","""Aves""",1
"""2005-10""","""CN""","""Homo sapiens""","""Mammalia""",4194
"""2005-1""","""GR""","""Aves""","""Aves""",0
"""2005-10""","""MX""","""Homo sapiens""","""Mammalia""",318
"""2005-10""","""TH""","""Homo sapiens""","""Mammalia""",288
"""2005-10""","""PH""","""Homo sapiens""","""Mammalia""",159
"""2005-10""","""RU""","""Aves""","""Aves""",13802
"""2005-10""","""CO""","""Homo sapiens""","""Mammalia""",34
"""2005-10""","""JP""","""Homo sapiens""","""Mammalia""",24
"""2005-10""","""PE""","""Homo sapiens""","""Mammalia""",22
"""2005-10""","""NC""","""Homo sapiens""","""Mammalia""",18
"""2005-10""","""EG""","""Homo sapiens""","""Mammalia""",16
"""2005-10""","""AU""","""Homo sapiens""","""Mammalia""",16
"""2005-10""","""CZ""","""Homo sapiens""","""Mammalia""",15
"""2005-10""","""US""","""Homo sapiens""","""Mammalia""",8
"""2005-10""","""BR""","""Homo sapiens""","""Mammalia""",6
"""2005-10""","""IL""","""Homo sapiens""","""Mammalia""",3
"""2005-10""","""CH""","""Homo sapiens""","""Mammalia""",3
"""2005-10""","""MG""","""Homo sapiens""","""Mammalia""",3
"""2005-11""","""CN""","""Homo sapiens""","""Mammalia""",6528
"""2005-10""","""TR""","""Aves""","""Aves""",1700
"""2005-11""","""MX""","""Homo sapiens""","""Mammalia""",776
"""2005-11""","""JP""","""Homo sapiens""","""Mammalia""",448
"""2005-11""","""PH""","""Homo sapiens""","""Mammalia""",388
"""2005-10""","""RO""","""Aves""","""Aves""",54
"""2005-11""","""UA""","""Aves""","""Aves""",2272
"""2005-11""","""TH""","""Homo sapiens""","""Mammalia""",222
"""2005-11""","""BR""","""Homo sapiens""","""Mammalia""",96
"""2005-11""","""MG""","""Homo sapiens""","""Mammalia""",78
"""2005-11""","""EG""","""Homo sapiens""","""Mammalia""",62
"""2005-11""","""TN""","""Homo sapiens""","""Mammalia""",51
"""2005-11""","""MN""","""Homo sapiens""","""Mammalia""",45
"""2005-11""","""CO""","""Homo sapiens""","""Mammalia""",32
"""2005-11""","""US""","""Homo sapiens""","""Mammalia""",31
"""2005-11""","""PT""","""Homo sapiens""","""Mammalia""",12
