yearMonth,species,class,monthlyCases
"""2004-12""","""Homo sapiens""","""Mammalia""",1225
"""2005-1""","""Homo sapiens""","""Mammalia""",21287
"""2005-1""","""Aves""",null,1
"""2005-10""","""Aves""",null,15556
"""2005-10""","""Homo sapiens""","""Mammalia""",3456
"""2005-11""","""Homo sapiens""","""Mammalia""",6030
"""2005-11""","""Aves""",null,2878
"""2005-12""","""Aves""",null,149204
"""2005-12""","""Homo sapiens""","""Mammalia""",8370
"""2005-2""","""Homo sapiens""","""Mammalia""",29924
"""2005-3""","""Homo sapiens""","""Mammalia""",19008
"""2005-3""","""Aves""",null,0
"""2005-4""","""Homo sapiens""","""Mammalia""",8663
"""2005-4""","""Aves""",null,0
"""2005-5""","""Homo sapiens""","""Mammalia""",15067
"""2005-5""","""Equidae""","""Mammalia""",4
"""2005-6""","""Homo sapiens""","""Mammalia""",15841
"""2005-7""","""Homo sapiens""","""Mammalia""",6673
"""2005-7""","""Aves""",null,3628
"""2005-8""","""Aves""",null,29513
"""2005-8""","""Homo sapiens""","""Mammalia""",2661
"""2005-9""","""Homo sapiens""","""Mammalia""",1162
"""2005-9""","""Aves""",null,44
"""2006-1""","""Aves""",null,141743
"""2006-1""","""Homo sapiens""","""Mammalia""",19201
"""2006-10""","""Homo sapiens""","""Mammalia""",2432
"""2006-10""","""Aves""",null,0
"""2006-11""","""Aves""",null,6652
"""2006-11""","""Homo sapiens""","""Mammalia""",1518
"""2006-12""","""Aves""",null,295884
"""2006-12""","""Homo sapiens""","""Mammalia""",6766
"""2006-2""","""Aves""",null,2416568
"""2006-2""","""Homo sapiens""","""Mammalia""",20869
"""2006-3""","""Aves""",null,13876790
"""2006-3""","""Homo sapiens""","""Mammalia""",20620
"""2006-4""","""Aves""",null,100864
"""2006-4""","""Homo sapiens""","""Mammalia""",6131
"""2006-5""","""Aves""",null,145748
"""2006-5""","""Homo sapiens""","""Mammalia""",4172
"""2006-6""","""Homo sapiens""","""Mammalia""",7468
"""2006-6""","""Aves""",null,1940
"""2006-7""","""Aves""",null,21295
"""2006-7""","""Homo sapiens""","""Mammalia""",9909
"""2006-8""","""Homo sapiens""","""Mammalia""",4470
"""2006-8""","""Aves""",null,2358
"""2006-9""","""Homo sapiens""","""Mammalia""",3583
"""2006-9""","""Aves""",null,0
"""2007-1""","""Aves""",null,398856
"""2007-1""","""Homo sapiens""","""Mammalia""",28776
"""2007-1""","""Oncorhynchus mykiss""","""Actinopteri""",3000
"""2007-10""","""Equidae""","""Mammalia""",30320
"""2007-10""","""Aves""",null,11535
"""2007-10""","""Homo sapiens""","""Mammalia""",3343
"""2007-11""","""Aves""",null,41518
"""2007-11""","""Homo sapiens""","""Mammalia""",5470
"""2007-11""","""Equidae""","""Mammalia""",36
"""2007-12""","""Aves""",null,101494
"""2007-12""","""Homo sapiens""","""Mammalia""",13171
"""2007-12""","""Equidae""","""Mammalia""",38
"""2007-2""","""Aves""",null,497899
"""2007-2""","""Homo sapiens""","""Mammalia""",39452
"""2007-3""","""Aves""",null,216839
"""2007-3""","""Homo sapiens""","""Mammalia""",28816
"""2007-4""","""Aves""",null,306110
"""2007-4""","""Homo sapiens""","""Mammalia""",8557
"""2007-5""","""Aves""",null,34068
"""2007-5""","""Homo sapiens""","""Mammalia""",5716
"""2007-6""","""Aves""",null,21362
"""2007-6""","""Homo sapiens""","""Mammalia""",8778
"""2007-6""","""Bos taurus""","""Mammalia""",102
"""2007-6""","""Aves""",null,0
"""2007-7""","""Aves""",null,136091
"""2007-7""","""Homo sapiens""","""Mammalia""",18715
"""2007-8""","""Homo sapiens""","""Mammalia""",7085
"""2007-8""","""Aves""",null,5541
"""2007-8""","""Equidae""","""Mammalia""",4218
"""2007-9""","""Aves""",null,11439
"""2007-9""","""Homo sapiens""","""Mammalia""",5221
"""2007-9""","""Equidae""","""Mammalia""",1562
"""2007-9""","""Aves""",null,540
"""2008-1""","""Aves""",null,266729
"""2008-1""","""Homo sapiens""","""Mammalia""",32240
"""2008-1""","""Equidae""","""Mammalia""",821
"""2008-1""","""Bos taurus""","""Mammalia""",1
"""2008-10""","""Homo sapiens""","""Mammalia""",4370
"""2008-10""","""Aves""",null,1417
"""2008-10""","""Equidae""","""Mammalia""",722
"""2008-11""","""Homo sapiens""","""Mammalia""",7138
"""2008-11""","""Aves""",null,1148
"""2008-11""","""Equidae""","""Mammalia""",503
"""2008-12""","""Homo sapiens""","""Mammalia""",25364
"""2008-12""","""Aves""",null,2626
"""2008-12""","""Equidae""","""Mammalia""",32
"""2008-2""","""Aves""",null,150625
"""2008-2""","""Homo sapiens""","""Mammalia""",38888
"""2008-2""","""Equidae""","""Mammalia""",18
"""2008-3""","""Aves""",null,92661
"""2008-3""","""Homo sapiens""","""Mammalia""",46306
"""2008-3""","""Equidae""","""Mammalia""",46
"""2008-4""","""Aves""",null,23061
"""2008-4""","""Homo sapiens""","""Mammalia""",19718
"""2008-4""","""Aves""",null,2380
"""2008-4""","""Equidae""","""Mammalia""",88
"""2008-5""","""Aves""",null,36587
"""2008-5""","""Homo sapiens""","""Mammalia""",6376
"""2008-5""","""Equidae""","""Mammalia""",12
"""2008-6""","""Aves""",null,16503
"""2008-6""","""Homo sapiens""","""Mammalia""",6520
"""2008-6""","""Equidae""","""Mammalia""",5613
"""2008-7""","""Equidae""","""Mammalia""",12663
"""2008-7""","""Homo sapiens""","""Mammalia""",9576
"""2008-7""","""Aves""",null,2856
"""2008-8""","""Homo sapiens""","""Mammalia""",9976
"""2008-8""","""Aves""",null,2557
"""2008-8""","""Equidae""","""Mammalia""",555
"""2008-9""","""Homo sapiens""","""Mammalia""",8004
"""2008-9""","""Aves""",null,5778
"""2008-9""","""Equidae""","""Mammalia""",49
"""2009-1""","""Homo sapiens""","""Mammalia""",58938
"""2009-1""","""Aves""",null,1883
"""2009-10""","""Homo sapiens""","""Mammalia""",267318
"""2009-10""","""Homo sapiens""","""Mammalia""",144844
"""2009-10""","""Neogale vison""","""Mammalia""",51987
"""2009-10""","""Sus scrofa""","""Mammalia""",429
"""2009-10""","""Aves""",null,42
"""2009-10""","""Sus scrofa""",null,0
"""2009-10""","""Neogale vison""",null,0
"""2009-11""","""Homo sapiens""","""Mammalia""",427192
"""2009-11""","""Homo sapiens""","""Mammalia""",270024
"""2009-11""","""Sus scrofa""","""Mammalia""",1265
"""2009-11""","""Aves""",null,635
"""2009-11""","""Canis lupus familiaris""","""Mammalia""",2
"""2009-11""","""Aves""",null,0
"""2009-11""","""Sus scrofa""",null,0
"""2009-12""","""Homo sapiens""","""Mammalia""",128724
"""2009-12""","""Homo sapiens""","""Mammalia""",81800
"""2009-12""","""Sus scrofa""","""Mammalia""",1559
"""2009-12""","""Aves""",null,641
"""2009-2""","""Homo sapiens""","""Mammalia""",52698
"""2009-2""","""Aves""",null,8551
"""2009-2""","""Homo sapiens""","""Mammalia""",466
"""2009-2""","""Aves""",null,6
"""2009-3""","""Homo sapiens""","""Mammalia""",45348
"""2009-3""","""Aves""",null,1550
"""2009-3""","""Homo sapiens""","""Mammalia""",978
"""2009-3""","""Equidae""","""Mammalia""",84
"""2009-3""","""Aves""",null,0
"""2009-4""","""Homo sapiens""","""Mammalia""",47568
"""2009-4""","""Homo sapiens""","""Mammalia""",11568
"""2009-4""","""Aves""",null,1760
"""2009-4""","""Sus scrofa""","""Mammalia""",452
"""2009-5""","""Homo sapiens""","""Mammalia""",65036
"""2009-5""","""Homo sapiens""","""Mammalia""",20876
"""2009-5""","""Aves""",null,373
"""2009-5""","""Equidae""","""Mammalia""",166
"""2009-6""","""Homo sapiens""","""Mammalia""",221080
"""2009-6""","""Homo sapiens""","""Mammalia""",89804
"""2009-6""","""Sus scrofa""","""Mammalia""",2455
"""2009-6""","""Aves""",null,650
"""2009-7""","""Homo sapiens""","""Mammalia""",185518
"""2009-7""","""Homo sapiens""","""Mammalia""",85444
"""2009-7""","""Aves""",null,36585
"""2009-7""","""Sus scrofa""","""Mammalia""",100
"""2009-7""","""Aves""",null,0
"""2009-8""","""Homo sapiens""","""Mammalia""",220712
"""2009-8""","""Homo sapiens""","""Mammalia""",100936
"""2009-8""","""Sus scrofa""","""Mammalia""",1950
"""2009-8""","""Sus scrofa""",null,0
"""2009-9""","""Homo sapiens""","""Mammalia""",275926
"""2009-9""","""Homo sapiens""","""Mammalia""",118822
"""2009-9""","""Neogale vison""","""Mammalia""",8450
"""2009-9""","""Sus scrofa""","""Mammalia""",4609
"""2009-9""","""Neogale vison""",null,0
"""2010-1""","""Homo sapiens""","""Mammalia""",66486
"""2010-1""","""Aves""",null,41327
"""2010-1""","""Homo sapiens""","""Mammalia""",40646
"""2010-1""","""Aves""",null,7000
"""2010-1""","""Sus scrofa""","""Mammalia""",1855
"""2010-1""","""Sus scrofa""",null,0
"""2010-10""","""Homo sapiens""","""Mammalia""",28290
"""2010-10""","""Homo sapiens""","""Mammalia""",10850
"""2010-10""","""Aves""",null,66
"""2010-11""","""Homo sapiens""","""Mammalia""",25450
"""2010-11""","""Homo sapiens""","""Mammalia""",9774
"""2010-11""","""Aves""",null,301
"""2010-12""","""Homo sapiens""","""Mammalia""",53705
"""2010-12""","""Homo sapiens""","""Mammalia""",30783
"""2010-12""","""Aves""",null,33
"""2010-12""","""Bos taurus""",null,0
"""2010-2""","""Homo sapiens""","""Mammalia""",38812
"""2010-2""","""Homo sapiens""","""Mammalia""",22770
"""2010-2""","""Aves""",null,11420
"""2010-3""","""Homo sapiens""","""Mammalia""",53142
"""2010-3""","""Homo sapiens""","""Mammalia""",23826
"""2010-3""","""Aves""",null,5923
"""2010-4""","""Homo sapiens""","""Mammalia""",22586
"""2010-4""","""Homo sapiens""","""Mammalia""",10404
"""2010-4""","""Aves""",null,2350
"""2010-4""","""Sus scrofa""","""Mammalia""",36
"""2010-5""","""Homo sapiens""","""Mammalia""",18886
"""2010-5""","""Homo sapiens""","""Mammalia""",9100
"""2010-5""","""Aves""",null,261
"""2010-6""","""Homo sapiens""","""Mammalia""",9520
"""2010-6""","""Homo sapiens""","""Mammalia""",6124
"""2010-6""","""Aves""",null,5933
"""2010-7""","""Homo sapiens""","""Mammalia""",16908
"""2010-7""","""Homo sapiens""","""Mammalia""",10272
"""2010-7""","""Aves""",null,760
"""2010-8""","""Homo sapiens""","""Mammalia""",42166
"""2010-8""","""Homo sapiens""","""Mammalia""",22998
"""2010-8""","""Sus scrofa""","""Mammalia""",150
"""2010-9""","""Homo sapiens""","""Mammalia""",39548
"""2010-9""","""Homo sapiens""","""Mammalia""",18944
"""2010-9""","""Sus scrofa""","""Mammalia""",4
"""2011-1""","""Homo sapiens""","""Mammalia""",176539
"""2011-1""","""Homo sapiens""","""Mammalia""",110222
"""2011-1""","""Aves""",null,93116
"""2011-10""","""Homo sapiens""","""Mammalia""",12492
"""2011-10""","""Homo sapiens""","""Mammalia""",7950
"""2011-10""","""Aves""",null,1250
"""2011-11""","""Homo sapiens""","""Mammalia""",9118
"""2011-11""","""Aves""",null,5138
"""2011-11""","""Homo sapiens""","""Mammalia""",4052
"""2011-12""","""Homo sapiens""","""Mammalia""",19499
"""2011-12""","""Homo sapiens""","""Mammalia""",6440
"""2011-12""","""Aves""",null,516
"""2011-12""","""Equidae""","""Mammalia""",4
"""2011-2""","""Homo sapiens""","""Mammalia""",93177
"""2011-2""","""Homo sapiens""","""Mammalia""",64909
"""2011-2""","""Aves""",null,26814
"""2011-3""","""Aves""",null,44624
"""2011-3""","""Homo sapiens""","""Mammalia""",37906
"""2011-3""","""Homo sapiens""","""Mammalia""",26918
"""2011-3""","""Bos taurus""","""Mammalia""",2
"""2011-4""","""Homo sapiens""","""Mammalia""",13908
"""2011-4""","""Homo sapiens""","""Mammalia""",9144
"""2011-4""","""Aves""",null,8370
"""2011-5""","""Homo sapiens""","""Mammalia""",7227
"""2011-5""","""Homo sapiens""","""Mammalia""",4071
"""2011-5""","""Aves""",null,2258
"""2011-6""","""Homo sapiens""","""Mammalia""",5933
"""2011-6""","""Homo sapiens""","""Mammalia""",4469
"""2011-6""","""Aves""",null,0
"""2011-7""","""Equidae""","""Mammalia""",75208
"""2011-7""","""Homo sapiens""","""Mammalia""",10469
"""2011-7""","""Homo sapiens""","""Mammalia""",7132
"""2011-7""","""Aves""",null,5298
"""2011-8""","""Homo sapiens""","""Mammalia""",13703
"""2011-8""","""Homo sapiens""","""Mammalia""",8058
"""2011-8""","""Aves""",null,4642
"""2011-9""","""Homo sapiens""","""Mammalia""",11504
"""2011-9""","""Homo sapiens""","""Mammalia""",5997
"""2011-9""","""Aves""",null,2820
"""2012-1""","""Homo sapiens""","""Mammalia""",75875
"""2012-1""","""Homo sapiens""","""Mammalia""",32110
"""2012-1""","""Aves""",null,14613
"""2012-1""","""Equidae""","""Mammalia""",190
"""2012-10""","""Homo sapiens""","""Mammalia""",14468
"""2012-10""","""Homo sapiens""","""Mammalia""",7864
"""2012-10""","""Aves""",null,4725
"""2012-11""","""Homo sapiens""","""Mammalia""",14953
"""2012-11""","""Homo sapiens""","""Mammalia""",6962
"""2012-12""","""Homo sapiens""","""Mammalia""",77848
"""2012-12""","""Homo sapiens""","""Mammalia""",39409
"""2012-12""","""Aves""",null,6097
"""2012-12""","""Bos taurus""","""Mammalia""",1
"""2012-2""","""Homo sapiens""","""Mammalia""",124476
