yearMonth,country,species,monthlyCases
"""2004-12""","""BE""","""Homo sapiens""",684
"""2004-12""","""ID""","""Homo sapiens""",180
"""2004-12""","""FR""","""Homo sapiens""",84
"""2004-12""","""JP""","""Homo sapiens""",72
"""2004-12""","""IT""","""Homo sapiens""",66
"""2004-12""","""IE""","""Homo sapiens""",66
"""2004-12""","""MA""","""Homo sapiens""",36
"""2004-12""","""IS""","""Homo sapiens""",36
"""2004-12""","""PT""","""Homo sapiens""",33
"""2004-12""","""CH""","""Homo sapiens""",30
"""2004-12""","""ZA""","""Homo sapiens""",29
"""2004-12""","""ZW""","""Homo sapiens""",28
"""2004-12""","""BD""","""Homo sapiens""",22
"""2004-12""","""DE""","""Homo sapiens""",20
"""2004-12""","""PE""","""Homo sapiens""",16
"""2004-12""","""TR""","""Homo sapiens""",8
"""2004-12""","""US""","""Homo sapiens""",7
"""2004-12""","""NO""","""Homo sapiens""",6
"""2004-12""","""MG""","""Homo sapiens""",6
"""2004-12""","""GF""","""Homo sapiens""",3
"""2004-12""","""ES""","""Homo sapiens""",2
"""2004-12""","""EG""","""Homo sapiens""",2
"""2004-12""","""DK""","""Homo sapiens""",2
"""2005-1""","""JP""","""Homo sapiens""",6796
"""2005-1""","""IT""","""Homo sapiens""",3867
"""2005-1""","""FR""","""Homo sapiens""",3603
"""2005-1""","""BE""","""Homo sapiens""",2379
"""2005-1""","""PT""","""Homo sapiens""",1635
"""2005-1""","""BD""","""Homo sapiens""",1289
"""2005-1""","""ZA""","""Homo sapiens""",1233
"""2005-1""","""IL""","""Homo sapiens""",1224
"""2005-1""","""ZW""","""Homo sapiens""",1201
"""2005-1""","""CH""","""Homo sapiens""",969
"""2005-1""","""SE""","""Homo sapiens""",849
"""2005-1""","""ID""","""Homo sapiens""",678
"""2005-1""","""GR""","""Homo sapiens""",669
"""2005-1""","""CN""","""Homo sapiens""",663
"""2005-1""","""DE""","""Homo sapiens""",616
"""2005-1""","""PE""","""Homo sapiens""",398
