yearMonth,species,monthlyCases
"""2004-12""","""Homo sapiens""",1225
"""2005-1""","""Homo sapiens""",21287
"""2005-1""","""Aves""",1
"""2005-10""","""Aves""",15556
"""2005-10""","""Homo sapiens""",3456
"""2005-11""","""Homo sapiens""",6030
"""2005-11""","""Aves""",2878
"""2005-12""","""Aves""",149204
"""2005-12""","""Homo sapiens""",8370
"""2005-2""","""Homo sapiens""",29924
"""2005-3""","""Homo sapiens""",19008
"""2005-4""","""Homo sapiens""",8663
"""2005-5""","""Homo sapiens""",15067
"""2005-5""","""Equidae""",4
"""2005-6""","""Homo sapiens""",15841
"""2005-7""","""Homo sapiens""",6673
"""2005-7""","""Aves""",3628
"""2005-8""","""Aves""",29513
"""2005-8""","""Homo sapiens""",2661
"""2005-9""","""Homo sapiens""",1162
"""2005-9""","""Aves""",44
"""2006-1""","""Aves""",141743
"""2006-1""","""Homo sapiens""",19201
"""2006-10""","""Homo sapiens""",2432
"""2006-11""","""Aves""",6652
"""2006-11""","""Homo sapiens""",1518
"""2006-12""","""Aves""",295884
"""2006-12""","""Homo sapiens""",6766
"""2006-2""","""Aves""",2416568
"""2006-2""","""Homo sapiens""",20869
"""2006-3""","""Aves""",13876790
"""2006-3""","""Homo sapiens""",20620
"""2006-4""","""Aves""",100864
"""2006-4""","""Homo sapiens""",6131
"""2006-5""","""Aves""",145748
"""2006-5""","""Homo sapiens""",4172
"""2006-6""","""Homo sapiens""",7468
"""2006-6""","""Aves""",1940
"""2006-7""","""Aves""",21295
"""2006-7""","""Homo sapiens""",9909
"""2006-8""","""Homo sapiens""",4470
"""2006-8""","""Aves""",2358
"""2006-9""","""Homo sapiens""",3583
"""2007-1""","""Aves""",398856
"""2007-1""","""Homo sapiens""",28776
"""2007-1""","""Oncorhynchus mykiss""",3000
"""2007-10""","""Equidae""",30320
"""2007-10""","""Aves""",11535
"""2007-10""","""Homo sapiens""",3343
"""2007-11""","""Aves""",41518
"""2007-11""","""Homo sapiens""",5470
"""2007-11""","""Equidae""",36
"""2007-12""","""Aves""",101494
"""2007-12""","""Homo sapiens""",13171
"""2007-12""","""Equidae""",38
"""2007-2""","""Aves""",497899
"""2007-2""","""Homo sapiens""",39452
"""2007-3""","""Aves""",216839
"""2007-3""","""Homo sapiens""",28816
"""2007-4""","""Aves""",306110
"""2007-4""","""Homo sapiens""",8557
"""2007-5""","""Aves""",34068
"""2007-5""","""Homo sapiens""",5716
"""2007-6""","""Aves""",21362
"""2007-6""","""Homo sapiens""",8778
"""2007-6""","""Bos taurus""",102
"""2007-7""","""Aves""",136091
"""2007-7""","""Homo sapiens""",18715
"""2007-8""","""Homo sapiens""",7085
"""2007-8""","""Aves""",5541
"""2007-8""","""Equidae""",4218
"""2007-9""","""Aves""",11439
"""2007-9""","""Homo sapiens""",5221
"""2007-9""","""Equidae""",1562
"""2007-9""","""Aves""",540
"""2008-1""","""Aves""",266729
"""2008-1""","""Homo sapiens""",32240
"""2008-1""","""Equidae""",821
"""2008-1""","""Bos taurus""",1
"""2008-10""","""Homo sapiens""",4370
"""2008-10""","""Aves""",1417
"""2008-10""","""Equidae""",722
"""2008-11""","""Homo sapiens""",7138
"""2008-11""","""Aves""",1148
"""2008-11""","""Equidae""",503
"""2008-12""","""Homo sapiens""",25364
"""2008-12""","""Aves""",2626
"""2008-12""","""Equidae""",32
"""2008-2""","""Aves""",150625
"""2008-2""","""Homo sapiens""",38888
"""2008-2""","""Equidae""",18
"""2008-3""","""Aves""",92661
"""2008-3""","""Homo sapiens""",46306
"""2008-3""","""Equidae""",46
"""2008-4""","""Aves""",23061
"""2008-4""","""Homo sapiens""",19718
"""2008-4""","""Aves""",2380
"""2008-4""","""Equidae""",88
"""2008-5""","""Aves""",36587
"""2008-5""","""Homo sapiens""",6376
"""2008-5""","""Equidae""",12
"""2008-6""","""Aves""",16503
"""2008-6""","""Homo sapiens""",6520
"""2008-6""","""Equidae""",5613
"""2008-7""","""Equidae""",12663
"""2008-7""","""Homo sapiens""",9576
"""2008-7""","""Aves""",2856
"""2008-8""","""Homo sapiens""",9976
"""2008-8""","""Aves""",2557
"""2008-8""","""Equidae""",555
"""2008-9""","""Homo sapiens""",8004
"""2008-9""","""Aves""",5778
"""2008-9""","""Equidae""",49
"""2009-1""","""Homo sapiens""",58938
"""2009-1""","""Aves""",1883
"""2009-10""","""Homo sapiens""",267318
"""2009-10""","""Homo sapiens""",144844
"""2009-10""","""Neogale vison""",51987
"""2009-10""","""Sus scrofa""",429
"""2009-10""","""Aves""",42
"""2009-11""","""Homo sapiens""",427192
"""2009-11""","""Homo sapiens""",270024
"""2009-11""","""Sus scrofa""",1265
"""2009-11""","""Aves""",635
"""2009-11""","""Canis lupus familiaris""",2
"""2009-12""","""Homo sapiens""",128724
"""2009-12""","""Homo sapiens""",81800
"""2009-12""","""Sus scrofa""",1559
"""2009-12""","""Aves""",641
"""2009-2""","""Homo sapiens""",52698
"""2009-2""","""Aves""",8551
"""2009-2""","""Homo sapiens""",466
"""2009-2""","""Aves""",6
"""2009-3""","""Homo sapiens""",45348
"""2009-3""","""Aves""",1550
"""2009-3""","""Homo sapiens""",978
"""2009-3""","""Equidae""",84
"""2009-4""","""Homo sapiens""",47568
"""2009-4""","""Homo sapiens""",11568
"""2009-4""","""Aves""",1760
"""2009-4""","""Sus scrofa""",452
"""2009-5""","""Homo sapiens""",65036
"""2009-5""","""Homo sapiens""",20876
"""2009-5""","""Aves""",373
"""2009-5""","""Equidae""",166
"""2009-6""","""Homo sapiens""",221080
"""2009-6""","""Homo sapiens""",89804
"""2009-6""","""Sus scrofa""",2455
"""2009-6""","""Aves""",650
"""2009-7""","""Homo sapiens""",185518
"""2009-7""","""Homo sapiens""",85444
"""2009-7""","""Aves""",36585
"""2009-7""","""Sus scrofa""",100
"""2009-8""","""Homo sapiens""",220712
"""2009-8""","""Homo sapiens""",100936
"""2009-8""","""Sus scrofa""",1950
"""2009-9""","""Homo sapiens""",275926
"""2009-9""","""Homo sapiens""",118822
"""2009-9""","""Neogale vison""",8450
"""2009-9""","""Sus scrofa""",4609
"""2010-1""","""Homo sapiens""",66486
"""2010-1""","""Aves""",41327
"""2010-1""","""Homo sapiens""",40646
"""2010-1""","""Aves""",7000
"""2010-1""","""Sus scrofa""",1855
"""2010-10""","""Homo sapiens""",28290
"""2010-10""","""Homo sapiens""",10850
"""2010-10""","""Aves""",66
"""2010-11""","""Homo sapiens""",25450
"""2010-11""","""Homo sapiens""",9774
"""2010-11""","""Aves""",301
"""2010-12""","""Homo sapiens""",53705
"""2010-12""","""Homo sapiens""",30783
"""2010-12""","""Aves""",33
"""2010-2""","""Homo sapiens""",38812
"""2010-2""","""Homo sapiens""",22770
"""2010-2""","""Aves""",11420
"""2010-3""","""Homo sapiens""",53142
"""2010-3""","""Homo sapiens""",23826
"""2010-3""","""Aves""",5923
"""2010-4""","""Homo sapiens""",22586
"""2010-4""","""Homo sapiens""",10404
"""2010-4""","""Aves""",2350
"""2010-4""","""Sus scrofa""",36
"""2010-5""","""Homo sapiens""",18886
"""2010-5""","""Homo sapiens""",9100
"""2010-5""","""Aves""",261
"""2010-6""","""Homo sapiens""",9520
"""2010-6""","""Homo sapiens""",6124
"""2010-6""","""Aves""",5933
"""2010-7""","""Homo sapiens""",16908
"""2010-7""","""Homo sapiens""",10272
"""2010-7""","""Aves""",760
"""2010-8""","""Homo sapiens""",42166
"""2010-8""","""Homo sapiens""",22998
"""2010-8""","""Sus scrofa""",150
"""2010-9""","""Homo sapiens""",39548
"""2010-9""","""Homo sapiens""",18944
"""2010-9""","""Sus scrofa""",4
