geo,yearMonth,fluCases
"""Asia""","""2022-12""",266
"""Europe""","""2022-12""",871
"""Africa""","""2022-12""",23
"""South America""","""2022-12""",11
"""Asia""","""2022-11""",730
"""Europe""","""2022-11""",46
"""South America""","""2022-11""",29
"""Africa""","""2022-11""",55
"""Oceania""","""2022-11""",1
"""Asia""","""2022-10""",1025
"""Oceania""","""2022-10""",15
"""South America""","""2022-10""",9
"""Africa""","""2022-10""",24
"""Europe""","""2022-10""",20
"""Asia""","""2022-9""",106
"""Africa""","""2022-9""",4
"""South America""","""2022-9""",1
"""Asia""","""2022-8""",22
"""Africa""","""2022-8""",4
"""Asia""","""2022-7""",8
"""Asia""","""2022-6""",26
"""Asia""","""2022-5""",23
"""Asia""","""2022-4""",10
"""Asia""","""2022-3""",4
"""Africa""","""2022-3""",3
"""Asia""","""2022-2""",2
"""Africa""","""2022-2""",3
"""Africa""","""2022-1""",4
"""Asia""","""2022-1""",1
"""Africa""","""2021-12""",10
"""Europe""","""2021-12""",9
"""Asia""","""2021-12""",1
"""Africa""","""2021-11""",5
"""Asia""","""2021-11""",3
"""Asia""","""2021-10""",6
"""Asia""","""2021-9""",1
"""Africa""","""2021-9""",1
"""Asia""","""2021-8""",5
"""Africa""","""2021-8""",2
"""Africa""","""2021-5""",3
"""Africa""","""2021-3""",1
"""Africa""","""2021-2""",13
"""Africa""","""2021-1""",16
"""Africa""","""2020-12""",6
"""Africa""","""2020-11""",16
"""Asia""","""2020-11""",1
"""Africa""","""2020-10""",21
"""Africa""","""2020-9""",2
"""Oceania""","""2020-8""",6
"""Oceania""","""2020-7""",6
"""Africa""","""2020-4""",8
"""Asia""","""2020-3""",162
"""Africa""","""2020-3""",33
"""Europe""","""2020-3""",6
"""Asia""","""2020-2""",669
"""Europe""","""2020-2""",178
"""Oceania""","""2020-2""",1
"""Africa""","""2020-2""",2
"""Asia""","""2020-1""",824
"""Europe""","""2020-1""",270
"""Africa""","""2020-1""",1
"""South America""","""2020-1""",4
"""Asia""","""2019-12""",365
"""Europe""","""2019-12""",16
"""Asia""","""2019-11""",137
"""South America""","""2019-11""",10
"""Europe""","""2019-11""",7
"""Asia""","""2019-10""",67
"""South America""","""2019-10""",40
"""Asia""","""2019-9""",50
"""South America""","""2019-9""",41
"""Asia""","""2019-8""",37
"""South America""","""2019-8""",64
"""Asia""","""2019-7""",22
"""South America""","""2019-7""",217
"""Asia""","""2019-6""",13
"""South America""","""2019-6""",492
"""Europe""","""2019-6""",1
"""Oceania""","""2019-6""",1
"""Asia""","""2019-5""",61
"""South America""","""2019-5""",251
"""Africa""","""2019-5""",2
"""Oceania""","""2019-5""",4
"""Oceania""","""2019-4""",43
"""Asia""","""2019-4""",113
"""South America""","""2019-4""",44
"""Africa""","""2019-4""",2
"""Europe""","""2019-4""",6
"""Oceania""","""2019-3""",39
"""Asia""","""2019-3""",114
"""South America""","""2019-3""",11
"""Europe""","""2019-3""",88
"""Oceania""","""2019-2""",23
"""Asia""","""2019-2""",66
"""South America""","""2019-2""",6
"""Europe""","""2019-2""",395
"""Asia""","""2019-1""",54
"""South America""","""2019-1""",20
"""Europe""","""2019-1""",507
"""Oceania""","""2019-1""",7
"""Asia""","""2018-12""",147
"""Europe""","""2018-12""",109
"""South America""","""2018-12""",1
"""Asia""","""2018-11""",1066
"""South America""","""2018-11""",5
"""Europe""","""2018-11""",5
"""Africa""","""2018-11""",1
"""Asia""","""2018-10""",1725
"""South America""","""2018-10""",9
"""Africa""","""2018-10""",2
"""Asia""","""2018-9""",308
"""South America""","""2018-9""",15
"""Oceania""","""2018-9""",1
"""Africa""","""2018-9""",2
"""Asia""","""2018-8""",107
"""South America""","""2018-8""",11
"""Asia""","""2018-7""",319
"""South America""","""2018-7""",23
"""Asia""","""2018-6""",358
"""South America""","""2018-6""",9
"""Oceania""","""2018-6""",2
"""Asia""","""2018-5""",183
"""South America""","""2018-5""",2
"""Europe""","""2018-5""",2
"""Africa""","""2018-5""",2
"""Asia""","""2018-4""",490
"""Africa""","""2018-4""",6
"""Europe""","""2018-4""",64
"""Oceania""","""2018-4""",5
"""South America""","""2018-4""",2
"""Oceania""","""2018-3""",10
"""Asia""","""2018-3""",241
"""Africa""","""2018-3""",20
"""Europe""","""2018-3""",137
"""Oceania""","""2018-2""",17
"""Asia""","""2018-2""",240
"""Africa""","""2018-2""",27
"""Europe""","""2018-2""",67
"""Africa""","""2018-1""",10
"""Asia""","""2018-1""",537
"""Europe""","""2018-1""",42
"""Oceania""","""2018-1""",4
"""Asia""","""2017-12""",1280
"""Africa""","""2017-12""",9
"""Europe""","""2017-12""",5
"""Asia""","""2017-11""",1026
"""Africa""","""2017-11""",21
"""Asia""","""2017-10""",252
"""Africa""","""2017-10""",8
"""Europe""","""2017-10""",2
"""Asia""","""2017-9""",173
"""Africa""","""2017-9""",2
"""Asia""","""2017-8""",146
"""Africa""","""2017-8""",6
"""Asia""","""2017-7""",113
"""Africa""","""2017-7""",4
"""Asia""","""2017-6""",90
"""Africa""","""2017-6""",2
"""Asia""","""2017-5""",234
"""Africa""","""2017-5""",2
"""Europe""","""2017-5""",2
"""Asia""","""2017-4""",189
"""Asia""","""2017-3""",277
"""Africa""","""2017-3""",1
"""Asia""","""2017-2""",64
"""Asia""","""2017-1""",47
"""Europe""","""2017-1""",1
"""Asia""","""2016-12""",44
"""Asia""","""2016-11""",40
"""Africa""","""2016-11""",2
"""Asia""","""2016-10""",18
"""South America""","""2016-10""",1
"""Asia""","""2016-9""",4
"""South America""","""2016-9""",4
"""Africa""","""2016-9""",1
"""South America""","""2016-8""",21
"""Africa""","""2016-8""",4
"""Asia""","""2016-8""",7
"""Asia""","""2016-7""",11
"""South America""","""2016-7""",144
"""South America""","""2016-6""",436
"""Asia""","""2016-6""",11
"""Africa""","""2016-6""",4
"""Africa""","""2016-5""",14
"""Asia""","""2016-5""",16
"""South America""","""2016-5""",133
"""Asia""","""2016-4""",17
"""South America""","""2016-4""",8
"""Europe""","""2016-4""",56
"""Africa""","""2016-4""",8
"""Oceania""","""2016-4""",6
"""Asia""","""2016-3""",41
"""Oceania""","""2016-3""",85
"""Africa""","""2016-3""",16
"""Europe""","""2016-3""",306
"""South America""","""2016-3""",2
"""Asia""","""2016-2""",122
"""South America""","""2016-2""",2
"""Oceania""","""2016-2""",15
"""Africa""","""2016-2""",36
"""Europe""","""2016-2""",1165
"""Asia""","""2016-1""",279
"""Africa""","""2016-1""",8
"""Europe""","""2016-1""",312
"""Europe""","""2015-12""",29
"""Asia""","""2015-12""",434
"""Asia""","""2015-11""",1557
"""Europe""","""2015-11""",1
"""Asia""","""2015-10""",414
"""Asia""","""2015-9""",60
"""South America""","""2015-9""",1
"""Asia""","""2015-8""",27
"""South America""","""2015-8""",20
"""Africa""","""2015-8""",10
"""Asia""","""2015-7""",70
"""South America""","""2015-7""",64
"""Africa""","""2015-7""",3
"""Asia""","""2015-6""",82
"""South America""","""2015-6""",178
"""Africa""","""2015-6""",5
"""Africa""","""2015-5""",2
"""Asia""","""2015-5""",55
"""South America""","""2015-5""",16
"""Asia""","""2015-4""",52
"""South America""","""2015-4""",1
"""Africa""","""2015-4""",1
"""Europe""","""2015-4""",1
"""Asia""","""2015-3""",124
"""Africa""","""2015-3""",16
"""South America""","""2015-3""",1
"""Europe""","""2015-3""",1
"""Asia""","""2015-2""",162
"""Europe""","""2015-2""",9
"""Africa""","""2015-2""",2
"""Asia""","""2015-1""",136
"""Africa""","""2015-1""",2
"""Europe""","""2015-1""",2
"""Oceania""","""2015-1""",1
"""South America""","""2015-1""",1
"""Asia""","""2014-12""",147
"""Asia""","""2014-11""",36
"""South America""","""2014-11""",1
"""Asia""","""2014-10""",19
"""Africa""","""2014-10""",2
"""South America""","""2014-9""",4
"""Asia""","""2014-9""",5
"""Asia""","""2014-8""",6
"""South America""","""2014-8""",2
"""Asia""","""2014-7""",30
"""South America""","""2014-7""",10
"""Africa""","""2014-7""",1
"""Asia""","""2014-6""",117
"""South America""","""2014-6""",7
"""Africa""","""2014-6""",1
"""Africa""","""2014-5""",9
"""Asia""","""2014-5""",159
"""Asia""","""2014-4""",323
"""Africa""","""2014-4""",4
"""South America""","""2014-4""",1
"""Europe""","""2014-4""",23
"""Asia""","""2014-3""",336
"""South America""","""2014-3""",1
"""Europe""","""2014-3""",29
"""Africa""","""2014-3""",2
"""Asia""","""2014-2""",263
"""Africa""","""2014-2""",9
"""Europe""","""2014-2""",24
"""Asia""","""2014-1""",124
"""Africa""","""2014-1""",9
"""Europe""","""2014-1""",12
"""Asia""","""2013-12""",28
"""Europe""","""2013-12""",1
"""Asia""","""2013-11""",19
"""South America""","""2013-11""",1
"""Asia""","""2013-10""",27
"""Asia""","""2013-9""",82
"""South America""","""2013-9""",4
"""Asia""","""2013-8""",37
"""South America""","""2013-8""",10
"""Asia""","""2013-7""",51
"""South America""","""2013-7""",61
"""Asia""","""2013-6""",48
"""South America""","""2013-6""",28
"""Asia""","""2013-5""",190
