country,totalCases
"""CN""",2607652
"""CA""",1699031
"""FR""",805181
"""US""",788843
"""NO""",578741
"""MX""",453373
"""ES""",426564
"""SE""",372270
"""JP""",290376
"""CH""",288219
"""DK""",238935
"""AR""",235201
"""AU""",216589
"""IT""",147303
"""QA""",138200
"""CL""",133705
"""NL""",130212
"""PT""",127633
"""AT""",94588
"""IN""",87689
"""SI""",87560
"""BR""",82543
"""IE""",75734
"""EG""",66742
"""TR""",62450
"""UA""",61286
"""SG""",57907
"""IL""",56678
"""NZ""",54483
"""HR""",49746
"""PL""",48261
"""LV""",47425
"""DE""",46015
"""RO""",43730
"""PH""",42448
"""GR""",40067
"""ZA""",37380
"""EE""",29297
"""TH""",27377
"""OM""",26860
"""NP""",24417
"""LT""",24181
"""CO""",23889
"""CZ""",22013
"""KE""",21826
"""CU""",21780
"""BE""",21738
"""MY""",21584
"""KW""",21317
"""MG""",21274
"""PY""",20307
"""HU""",20125
"""ID""",19359
"""RS""",18820
"""PE""",18698
"""LK""",18339
"""EC""",14260
"""LU""",14150
"""MN""",13978
"""BD""",13968
"""NI""",13935
"""SA""",13869
"""BY""",13500
"""SN""",13372
"""BH""",12912
"""GH""",12805
"""KZ""",12725
"""PK""",11496
"""KH""",10701
"""SK""",9987
"""BG""",8711
"""CR""",8663
"""MA""",8467
"""TN""",8316
"""IS""",8058
"""IQ""",7952
"""MT""",7786
"""MQ""",7624
"""CM""",6871
"""UG""",6598
"""FI""",6406
"""GE""",5734
"""DZ""",5549
"""HN""",5474
"""SV""",4898
"""AL""",4871
"""GT""",4775
"""BT""",4727
"""PA""",4680
"""JO""",4644
"""NC""",4334
"""MV""",4152
"""UY""",3772
"""CY""",3618
"""GF""",3446
"""MU""",3434
"""KG""",3269
"""ZM""",3243
"""AM""",3231
"""AE""",3101
"""DO""",3048
"""MM""",2918
"""ET""",2915
"""MK""",2831
"""ME""",2822
"""AF""",2814
"""TG""",2809
"""LB""",2327
"""FJ""",2020
"""NG""",1845
"""GP""",1740
"""BA""",1489
"""MZ""",1378
"""AZ""",1361
"""ML""",1279
"""NE""",1220
"""HT""",1181
"""RW""",1043
"""BF""",1028
"""TL""",967
"""CF""",868
"""YE""",645
"""TT""",603
"""AW""",549
"""UZ""",544
"""SR""",459
"""TJ""",455
"""PG""",415
"""BZ""",351
"""MR""",305
"""GN""",259
"""BB""",212
"""SL""",173
"""SD""",137
"""GA""",76
"""DM""",46
"""AO""",44
"""ZW""",43
"""TD""",42
"""NA""",36
"""LC""",36
"""BM""",30
"""KY""",28
"""SC""",20
"""SS""",12
"""TM""",9
"""BS""",6
"""GD""",5
"""AI""",3
"""VG""",2
null,0
