country,COUNT(DISTINCT combo)
"""RO""",16
"""IL""",16
"""DE""",14
"""US""",12
"""BG""",11
"""FR""",10
"""GB""",10
"""CN""",10
"""JP""",10
"""ZA""",9
"""IT""",8
"""EC""",8
"""SE""",8
"""LU""",8
"""TR""",8
"""PT""",7
"""BR""",7
"""KE""",7
"""GR""",7
"""SI""",7
"""UY""",7
"""CA""",7
"""FI""",7
"""NL""",6
"""BE""",6
"""VN""",6
"""EG""",6
"""HR""",6
"""AR""",6
"""CL""",6
"""AU""",6
"""ES""",6
"""CH""",6
"""RS""",5
"""TN""",5
"""MN""",5
"""PS""",5
"""CZ""",5
"""NO""",5
"""PE""",5
"""UA""",5
"""CR""",5
"""DK""",5
"""MA""",5
"""HU""",4
"""NG""",4
"""TH""",4
"""IN""",4
"""BO""",4
"""RU""",4
"""BZ""",4
"""IE""",4
"""KZ""",4
"""KG""",4
"""EE""",4
"""MG""",4
"""DO""",4
"""AZ""",3
"""KH""",3
"""SD""",3
"""NA""",3
"""KR""",3
"""MY""",3
"""SK""",3
"""CM""",3
"""BW""",3
"""BD""",3
"""NZ""",3
"""GH""",3
"""HN""",3
"""SN""",3
"""MX""",3
"""SV""",3
"""NC""",3
"""YT""",3
"""CO""",3
"""PK""",3
"""MM""",2
"""DZ""",2
"""LB""",2
"""JO""",2
"""ID""",2
"""TZ""",2
"""LA""",2
"""ZM""",2
"""GE""",2
"""MU""",2
"""IR""",2
"""TW""",2
"""GP""",2
"""ZW""",2
"""IS""",2
"""LV""",2
"""PH""",2
"""PL""",2
"""VE""",2
"""LK""",2
"""SG""",2
"""PA""",2
"""BY""",2
"""UG""",2
"""MQ""",2
"""GF""",2
"""JM""",2
"""OM""",2
"""PY""",2
"""GN""",1
"""AF""",1
"""AL""",1
"""CI""",1
"""GT""",1
"""SS""",1
"""SY""",1
"""NI""",1
"""BF""",1
"""KW""",1
"""DJ""",1
"""KP""",1
"""LS""",1
"""SA""",1
"""CG""",1
"""CD""",1
"""TG""",1
"""AM""",1
"""CF""",1
"""MR""",1
"""CY""",1
"""HT""",1
"""AE""",1
"""SZ""",1
"""BT""",1
"""ET""",1
"""MW""",1
"""AT""",1
"""HK""",1
"""ML""",1
"""IQ""",1
"""NE""",1
