iso3,date,species,flua,fluCases
"""SGP""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""MNG""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",19
"""MYS""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",5
"""FJI""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",13
"""AUS""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",5
"""THA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",2
"""LKA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",7
"""NPL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""IND""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""UZB""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""UKR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",18
"""TUR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",14
"""CHE""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",59
"""SWE""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",178
"""ESP""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",84
"""SVN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",282
"""SVK""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""SRB""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",22
"""ROU""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",66
"""PRT""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",57
"""POL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",17
"""NOR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",222
"""USA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",440
"""NLD""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",129
"""MNE""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",7
"""MLT""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",16
"""LUX""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""LTU""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",53
"""LVA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",16
"""KGZ""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",9
"""KAZ""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",133
"""ITA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",99
"""ISR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",90
"""IRL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",157
"""ISL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",122
"""HUN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",12
"""GRC""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""DEU""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",3
"""GEO""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""FRA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",222
"""FIN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",2
"""EST""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",13
"""DNK""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",88
"""CZE""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",62
"""HRV""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",246
"""BGR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",9
"""BEL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""BLR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",266
"""ARM""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",41
"""ARE""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",9
"""TUN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",49
"""SAU""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""QAT""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",20
"""PAK""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",98
"""MAR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",22
"""LBN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",11
"""JOR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",10
"""IRQ""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",2
"""EGY""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",60
"""BHR""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",16
"""AFG""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",3
"""PER""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""MEX""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",4
"""COL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",6
"""CHL""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""CAN""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",85
"""BRA""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",5
"""ZMB""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",1
"""MOZ""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",5
"""MUS""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",2
"""MDG""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",34
"""ETH""","""2022-12-26""","""Homo sapiens""","""Influenza A virus""",9
"""SGP""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",2
"""MNG""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",8
"""MYS""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",7
"""FJI""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",3
"""AUS""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",15
"""THA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""LKA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""NPL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",2
"""IDN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""IND""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",4
"""UZB""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",10
"""UKR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",53
"""TUR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",10
"""CHE""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",75
"""SWE""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",145
"""ESP""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",57
"""SVN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",228
"""SRB""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",10
"""ROU""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",45
"""PRT""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",59
"""POL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",19
"""NOR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",282
"""USA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",541
"""NLD""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",118
"""MLT""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",14
"""LUX""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",3
"""LTU""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",129
"""LVA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",80
"""KGZ""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",30
"""KAZ""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",100
"""ITA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",72
"""ISR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",68
"""IRL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",160
"""ISL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",150
"""HUN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""DEU""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",8
"""GEO""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",3
"""FRA""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",370
"""FIN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",6
"""EST""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",29
"""DNK""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",263
"""CZE""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",41
"""HRV""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",204
"""BGR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",12
"""BEL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""BLR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",243
"""ARM""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",14
"""ARE""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",5
"""TUN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",54
"""SAU""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",8
"""QAT""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",43
"""PAK""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",104
"""MAR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",5
"""LBN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",3
"""JOR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",4
"""IRQ""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",11
"""EGY""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",129
"""BHR""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",14
"""AFG""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",14
"""URY""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",2
"""PER""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""PAN""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""MEX""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",10
"""ECU""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
"""DOM""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",3
"""COL""","""2022-12-19""","""Homo sapiens""","""Influenza A virus""",1
