iso3,species,flua,fluCases
"""SGP""","""Homo sapiens""","""Influenza A virus""",816
"""MNG""","""Homo sapiens""","""Influenza A virus""",287
"""MYS""","""Homo sapiens""","""Influenza A virus""",3311
"""JPN""","""Homo sapiens""","""Influenza A virus""",210
"""CHN""","""Homo sapiens""","""Influenza A virus""",28557
"""AUS""","""Homo sapiens""","""Influenza A virus""",11651
"""THA""","""Homo sapiens""","""Influenza A virus""",509
"""LKA""","""Homo sapiens""","""Influenza A virus""",147
"""NPL""","""Homo sapiens""","""Influenza A virus""",368
"""IND""","""Homo sapiens""","""Influenza A virus""",235
"""BTN""","""Homo sapiens""","""Influenza A virus""",388
"""UKR""","""Homo sapiens""","""Influenza A virus""",10089
"""TUR""","""Homo sapiens""","""Influenza A virus""",571
"""TJK""","""Homo sapiens""","""Influenza A virus""",285
"""CHE""","""Homo sapiens""","""Influenza A virus""",43976
"""SWE""","""Homo sapiens""","""Influenza A virus""",25314
"""ESP""","""Homo sapiens""","""Influenza A virus""",28450
"""SVN""","""Homo sapiens""","""Influenza A virus""",4047
"""SVK""","""Homo sapiens""","""Influenza A virus""",529
"""SRB""","""Homo sapiens""","""Influenza A virus""",822
"""ROU""","""Homo sapiens""","""Influenza A virus""",2521
"""PRT""","""Homo sapiens""","""Influenza A virus""",29635
"""POL""","""Homo sapiens""","""Influenza A virus""",2458
"""NOR""","""Homo sapiens""","""Influenza A virus""",41271
"""USA""","""Homo sapiens""","""Influenza A virus""",69207
"""NLD""","""Homo sapiens""","""Influenza A virus""",25189
"""MNE""","""Homo sapiens""","""Influenza A virus""",279
"""MLT""","""Homo sapiens""","""Influenza A virus""",613
"""LUX""","""Homo sapiens""","""Influenza A virus""",780
"""LTU""","""Homo sapiens""","""Influenza A virus""",3184
"""LVA""","""Homo sapiens""","""Influenza A virus""",844
"""KGZ""","""Homo sapiens""","""Influenza A virus""",13
"""ITA""","""Homo sapiens""","""Influenza A virus""",10040
"""ISR""","""Homo sapiens""","""Influenza A virus""",686
"""IRL""","""Homo sapiens""","""Influenza A virus""",2246
"""ISL""","""Homo sapiens""","""Influenza A virus""",1544
"""HUN""","""Homo sapiens""","""Influenza A virus""",1310
"""GRC""","""Homo sapiens""","""Influenza A virus""",254
"""DEU""","""Homo sapiens""","""Influenza A virus""",2232
"""GEO""","""Homo sapiens""","""Influenza A virus""",452
"""FRA""","""Homo sapiens""","""Influenza A virus""",67819
"""FIN""","""Homo sapiens""","""Influenza A virus""",397
"""EST""","""Homo sapiens""","""Influenza A virus""",1229
"""DNK""","""Homo sapiens""","""Influenza A virus""",36799
"""CZE""","""Homo sapiens""","""Influenza A virus""",4621
"""HRV""","""Homo sapiens""","""Influenza A virus""",4990
"""BGR""","""Homo sapiens""","""Influenza A virus""",174
"""BEL""","""Homo sapiens""","""Influenza A virus""",559
"""BLR""","""Homo sapiens""","""Influenza A virus""",293
"""AUT""","""Homo sapiens""","""Influenza A virus""",5102
"""ARM""","""Homo sapiens""","""Influenza A virus""",71
"""ALB""","""Homo sapiens""","""Influenza A virus""",356
"""ARE""","""Homo sapiens""","""Influenza A virus""",728
"""TUN""","""Homo sapiens""","""Influenza A virus""",208
"""SAU""","""Homo sapiens""","""Influenza A virus""",342
"""QAT""","""Homo sapiens""","""Influenza A virus""",2936
"""PAK""","""Homo sapiens""","""Influenza A virus""",213
"""OMN""","""Homo sapiens""","""Influenza A virus""",554
"""MAR""","""Homo sapiens""","""Influenza A virus""",43
"""LBN""","""Homo sapiens""","""Influenza A virus""",90
"""JOR""","""Homo sapiens""","""Influenza A virus""",78
"""EGY""","""Homo sapiens""","""Influenza A virus""",2057
"""BHR""","""Homo sapiens""","""Influenza A virus""",2890
"""AFG""","""Homo sapiens""","""Influenza A virus""",10
"""URY""","""Homo sapiens""","""Influenza A virus""",172
"""PER""","""Homo sapiens""","""Influenza A virus""",1689
"""PRY""","""Homo sapiens""","""Influenza A virus""",1101
"""PAN""","""Homo sapiens""","""Influenza A virus""",572
"""MEX""","""Homo sapiens""","""Influenza A virus""",9830
"""ECU""","""Homo sapiens""","""Influenza A virus""",462
"""COL""","""Homo sapiens""","""Influenza A virus""",687
"""CHL""","""Homo sapiens""","""Influenza A virus""",23667
"""CAN""","""Homo sapiens""","""Influenza A virus""",69805
"""BRA""","""Homo sapiens""","""Influenza A virus""",2547
"""ZAF""","""Homo sapiens""","""Influenza A virus""",388
"""NER""","""Homo sapiens""","""Influenza A virus""",63
"""MOZ""","""Homo sapiens""","""Influenza A virus""",171
"""MDG""","""Homo sapiens""","""Influenza A virus""",318
"""ETH""","""Homo sapiens""","""Influenza A virus""",329
"""DZA""","""Homo sapiens""","""Influenza A virus""",42
"""PHL""","""Homo sapiens""","""Influenza A virus""",172
"""IDN""","""Homo sapiens""","""Influenza A virus""",128
"""UZB""","""Homo sapiens""","""Influenza A virus""",1
"""TKM""","""Homo sapiens""","""Influenza A virus""",6
"""AZE""","""Homo sapiens""","""Influenza A virus""",1
"""IRQ""","""Homo sapiens""","""Influenza A virus""",21
"""HTI""","""Homo sapiens""","""Influenza A virus""",95
"""GTM""","""Homo sapiens""","""Influenza A virus""",214
"""DOM""","""Homo sapiens""","""Influenza A virus""",117
"""ARG""","""Homo sapiens""","""Influenza A virus""",34487
"""GHA""","""Homo sapiens""","""Influenza A virus""",1139
"""KAZ""","""Homo sapiens""","""Influenza A virus""",15
"""SLV""","""Homo sapiens""","""Influenza A virus""",121
"""BLZ""","""Homo sapiens""","""Influenza A virus""",253
"""TGO""","""Homo sapiens""","""Influenza A virus""",231
"""MUS""","""Homo sapiens""","""Influenza A virus""",181
"""NIC""","""Homo sapiens""","""Influenza A virus""",894
"""HND""","""Homo sapiens""","""Influenza A virus""",105
"""KHM""","""Homo sapiens""","""Influenza A virus""",206
"""GIN""","""Homo sapiens""","""Influenza A virus""",28
"""CMR""","""Homo sapiens""","""Influenza A virus""",96
"""SSD""","""Homo sapiens""","""Influenza A virus""",2
"""MDV""","""Homo sapiens""","""Influenza A virus""",141
"""ZMB""","""Homo sapiens""","""Influenza A virus""",62
"""GAB""","""Homo sapiens""","""Influenza A virus""",38
"""CRI""","""Homo sapiens""","""Influenza A virus""",429
"""UGA""","""Homo sapiens""","""Influenza A virus""",118
"""SEN""","""Homo sapiens""","""Influenza A virus""",353
"""BFA""","""Homo sapiens""","""Influenza A virus""",35
"""NGA""","""Homo sapiens""","""Influenza A virus""",15
"""MRT""","""Homo sapiens""","""Influenza A virus""",17
"""MLI""","""Homo sapiens""","""Influenza A virus""",17
"""BGD""","""Homo sapiens""","""Influenza A virus""",434
"""CAF""","""Homo sapiens""","""Influenza A virus""",37
"""TLS""","""Homo sapiens""","""Influenza A virus""",239
"""ZWE""","""Homo sapiens""","""Influenza A virus""",10
"""FJI""","""Homo sapiens""","""Influenza A virus""",210
"""NAM""","""Homo sapiens""","""Influenza A virus""",16
"""SUR""","""Homo sapiens""","""Influenza A virus""",3
"""KEN""","""Homo sapiens""","""Influenza A virus""",18
