taxonName,subtype,geographyName,geographyIso2,eventDescription,eventStartDate,hostName,taxonRank,caseCount,deathCount
"""H5N1 subtype""","""H5N1""","""Interchange 51I""","""US""","""Wild Virginia opossum (Didelphis virginiana).""","""2022-10-04""","""Didelphis virginiana""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Gatesville Post Office (historical)""","""US""","""--Captive wild Virginia Opossums (Didelphis virginiana) at a rehabilitation facility.""","""2022-05-20""","""Didelphis virginiana""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Gatesville Post Office (historical)""","""US""","""--Captive wild Virginia Opossums (Didelphis virginiana) at a rehabilitation facility.""","""2022-05-20""","""Didelphis virginiana""","""Mammalia""",2,1
"""H5N1 subtype""","""H5N1""","""Interchange 8""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-02""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Jackson Cemetery""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-02""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Interchange 7""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-01""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Blueberry Hill""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-28""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Interchange 5""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-29""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Shaker Pond""","""US""","""--Wild Harbor Seal (Phoca vitulina).""","""2022-07-13""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Whiskeag Creek Dam""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-05""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Avery Cemetery""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-10""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Shaker Pond""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-09""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Western Cemetery""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-09""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""WMGX-FM (Portland)""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-08""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Hampton Inn Portland Downtown - Waterfront""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-07-07""","""Phoca vitulina""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Park Avenue Church of God""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-24""","""Phoca vitulina""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Sagadahoc County Sheriff's Office""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-26""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Gardiner Pond""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-27""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Shaker Pond""","""US""","""--Wild Harbor seal (Phoca vitulina).""","""2022-06-22""","""Phoca vitulina""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Sainte-Flavie""","""CA""","""- 4 seals: Fully Eurasian lineage;

- 5 seals: Reassortment EU&NA; Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-06-07""","""Phoca vitulina""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Sainte-Flavie""","""CA""","""- 4 seals: Fully Eurasian lineage;

- 5 seals: Reassortment EU&NA; Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-06-07""","""Phoca vitulina""","""Mammalia""",11,11
"""H5N1 subtype""","""H5N1""","""Bath Shopping Center""","""US""","""--Wild Grey seal (Halichoerus grypus).""","""2022-07-01""","""Halichoerus grypus""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Rugenort""","""DE""","""seal sanctuary""","""2023-03-01""","""Halichoerus grypus""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Royal Park""","""CA""","""Neurologic wild skunks.""","""2022-04-22""","""Mephitis mephitis""","""Mammalia""",2,"""NA"""
"""H5N1 subtype""","""H5N1""","""06N40E23ABAB01 Well""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included lethargic behavior and subsequent death. ""","""2023-04-13""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Sunburst Condominiums""","""US""","""Wild striped skunk (Mephitis mephitis). ""","""2023-05-02""","""Mephitis mephitis""","""Mammalia""",1,1
