yearMonth,country,species,class,monthlyCases
"""2006-3""","""AF""","""Aves""","""Aves""",18
"""2007-2""","""AF""","""Aves""","""Aves""",73
"""2006-2""","""AL""","""Aves""","""Aves""",123
"""2006-3""","""AL""","""Aves""","""Aves""",141
"""2022-3""","""AL""","""Pelecanus crispus""","""Aves""",3
"""2022-11""","""AT""","""Aves""","""Aves""",40
"""2022-12""","""AT""","""Cygnus olor""","""Aves""",5
"""2023-1""","""AT""","""Cygnus olor""","""Aves""",50
"""2023-1""","""AT""","""Aves""","""Aves""",40
"""2023-1""","""AT""","""Chroicocephalus ridibundus""","""Aves""",8
"""2023-1""","""AT""","""Anas platyrhynchos""","""Aves""",6
"""2023-1""","""AT""","""Larus argentatus""","""Aves""",4
"""2023-1""","""AT""","""Accipiter nisus""","""Aves""",2
"""2023-1""","""AT""","""Anser anser""","""Aves""",1
"""2023-1""","""AT""","""Ardea cinerea""","""Aves""",1
"""2023-1""","""AT""","""Ardea alba""","""Aves""",1
"""2023-2""","""AT""","""Cygnus olor""","""Aves""",13
"""2023-2""","""AT""","""Chroicocephalus ridibundus""","""Aves""",5
"""2023-2""","""AT""","""Ardea cinerea""","""Aves""",3
"""2023-2""","""AT""","""Ardea alba""","""Aves""",1
"""2023-2""","""AT""","""Fringilla coelebs""","""Aves""",1
"""2023-3""","""AT""","""Chroicocephalus ridibundus""","""Aves""",11
"""2023-3""","""AT""","""Cygnus olor""","""Aves""",4
"""2023-3""","""AT""","""Phalacrocorax carbo""","""Aves""",1
"""2023-3""","""AT""","""Accipiter nisus""","""Aves""",1
"""2023-4""","""AT""","""Chroicocephalus ridibundus""","""Aves""",7
"""2023-4""","""AT""","""Accipiter gentilis""","""Aves""",1
"""2023-5""","""AT""","""Chroicocephalus ridibundus""","""Aves""",22
"""2023-5""","""AT""","""Sterna hirundo""","""Aves""",3
"""2023-5""","""AT""","""Anas platyrhynchos""","""Aves""",2
"""2023-5""","""AT""","""Podiceps cristatus""","""Aves""",1
"""2023-5""","""AT""","""Gallinula chloropus""","""Aves""",1
"""2023-6""","""AT""","""Sterna hirundo""","""Aves""",2
"""2023-6""","""AX""","""Somateria mollissima""","""Aves""",2
"""2007-10""","""BD""","""Aves""","""Aves""",243
"""2007-11""","""BD""","""Aves""","""Aves""",1194
"""2007-12""","""BD""","""Aves""","""Aves""",2504
"""2007-2""","""BD""","""Aves""","""Aves""",12023
"""2007-3""","""BD""","""Aves""","""Aves""",4965
"""2007-4""","""BD""","""Aves""","""Aves""",7378
"""2007-5""","""BD""","""Aves""","""Aves""",1497
"""2007-6""","""BD""","""Aves""","""Aves""",11280
"""2007-7""","""BD""","""Aves""","""Aves""",7
"""2007-9""","""BD""","""Aves""","""Aves""",1322
"""2008-1""","""BD""","""Aves""","""Aves""",35073
"""2008-11""","""BD""","""Aves""","""Aves""",14
"""2008-12""","""BD""","""Aves""","""Aves""",105
"""2008-2""","""BD""","""Aves""","""Aves""",113103
"""2008-3""","""BD""","""Aves""","""Aves""",87036
"""2008-4""","""BD""","""Aves""","""Aves""",4978
"""2008-5""","""BD""","""Aves""","""Aves""",3642
"""2008-9""","""BD""","""Aves""","""Aves""",760
"""2009-1""","""BD""","""Aves""","""Aves""",293
"""2009-2""","""BD""","""Aves""","""Aves""",1136
"""2009-3""","""BD""","""Aves""","""Aves""",112
"""2010-2""","""BD""","""Aves""","""Aves""",1342
"""2010-3""","""BD""","""Aves""","""Aves""",1528
"""2011-2""","""BD""","""Aves""","""Aves""",14745
"""2011-3""","""BD""","""Aves""","""Aves""",30595
"""2012-1""","""BD""","""Aves""","""Aves""",4229
"""2012-3""","""BD""","""Aves""","""Aves""",2000
"""2012-4""","""BD""","""Aves""","""Aves""",3168
"""2022-10""","""BE""","""Aves""","""Aves""",1013
"""2022-11""","""BE""","""Aves""","""Aves""",50
"""2022-12""","""BE""","""Aves""","""Aves""",195
"""2022-3""","""BE""","""Aves""","""Aves""",193
"""2022-9""","""BE""","""Aves""","""Aves""",57795
"""2023-1""","""BE""","""Aves""","""Aves""",537
"""2023-2""","""BE""","""Aves""","""Aves""",622
"""2023-1""","""BG""","""Aves""","""Aves""",2500
"""2023-3""","""BG""","""Aves""","""Aves""",24
"""2023-1""","""BO""","""Aves""","""Aves""",68582
"""2023-2""","""BO""","""Aves""","""Aves""",183455
"""2023-3""","""BO""","""Aves""","""Aves""",44821
"""2023-1""","""BR""","""Bos taurus""","""Mammalia""",1
"""2023-5""","""BR""","""Cygnus melancoryphus""","""Aves""",101
"""2023-5""","""BR""","""Thalasseus maximus""","""Aves""",1
"""2023-5""","""BR""","""Sterna hirundo""","""Aves""",1
"""2023-5""","""BR""","""Megascops choliba""","""Aves""",1
"""2023-5""","""BR""","""Phalacrocorax brasilianus""","""Aves""",1
"""2023-5""","""BR""","""Chroicocephalus cirrocephalus""","""Aves""",1
"""2023-5""","""BR""","""Sula leucogaster""","""Aves""",1
"""2023-6""","""BR""","""Thalasseus maximus""","""Aves""",21
"""2023-6""","""BR""","""Aves""","""Aves""",8
