species,country,yearMonth,monthlyCases
"""Phoca vitulina""","""United Kingdom""","""2020-11""",4
"""Halichoerus grypus""","""United Kingdom""","""2020-11""",1
"""Vulpes vulpes""","""United Kingdom""","""2020-11""",1
"""Phoca vitulina""","""Denmark""","""2021-09""",2
"""Vulpes vulpes""","""Estonia""","""2021-11""",1
"""Vulpes vulpes""","""Ireland""","""2022-02""",2
"""Sciurus aberti""","""United States""","""2022-03""",1
"""Ursus arctos""","""United States""","""2022-03""",1
"""Phoca vitulina""","""United States""","""2022-03""",2
"""Mephitis mephitis""","""United States""","""2022-03""",3
"""Procyon lotor""","""United States""","""2022-03""",1
"""Lontra canadensis""","""United States""","""2022-03""",1
"""Pekania pennanti""","""United States""","""2022-03""",2
"""Martes americana""","""United States""","""2022-03""",1
"""Nyctereutes procyonoides""","""Japan""","""2022-03""",1
"""Vulpes vulpes""","""United States""","""2022-03""",2
"""Vulpes vulpes""","""Japan""","""2022-03""",2
"""Panthera pardus orientalis""","""United States""","""2022-03""",1
"""Panthera tigris""","""United States""","""2022-03""",1
"""Lynx rufus""","""United States""","""2022-03""",1
"""Puma""","""United States""","""2022-03""",1
"""Felis catus""","""United States""","""2022-03""",1
"""Sciurus aberti""","""United States""","""2022-04""",16
"""Ursus arctos""","""United States""","""2022-04""",16
"""Phoca vitulina""","""United States""","""2022-04""",32
"""Phoca vitulina""","""Canada""","""2022-04""",18
"""Halichoerus grypus""","""Germany""","""2022-04""",2
"""Halichoerus grypus""","""United States""","""2022-04""",14
"""Mephitis mephitis""","""United States""","""2022-04""",48
"""Mephitis mephitis""","""Canada""","""2022-04""",27
"""Nasua nasua""","""Germany""","""2022-04""",32
"""Procyon lotor""","""United States""","""2022-04""",16
"""Procyon lotor""","""Canada""","""2022-04""",9
"""Lontra canadensis""","""United States""","""2022-04""",16
"""Pekania pennanti""","""United States""","""2022-04""",32
"""Martes americana""","""United States""","""2022-04""",16
"""Martes martes""","""Germany""","""2022-04""",2
"""Neogale vison""","""Canada""","""2022-04""",9
"""Nyctereutes procyonoides""","""Japan""","""2022-04""",1
"""Vulpes vulpes""","""Germany""","""2022-04""",2
