yearMonth,species,class,monthlyCases
"""2005-10""","""Aves""",null,15556
"""2005-11""","""Aves""",null,2878
"""2005-12""","""Aves""",null,149204
"""2005-7""","""Aves""",null,3628
"""2005-8""","""Aves""",null,29513
"""2005-9""","""Aves""",null,44
"""2006-1""","""Aves""",null,141743
"""2006-11""","""Aves""",null,6652
"""2006-12""","""Aves""",null,295884
"""2006-2""","""Aves""",null,2416568
"""2006-3""","""Aves""",null,13876790
"""2006-4""","""Aves""",null,100864
"""2006-5""","""Aves""",null,145748
"""2006-6""","""Aves""",null,1940
"""2006-7""","""Aves""",null,21295
"""2006-8""","""Aves""",null,2358
"""2007-1""","""Aves""",null,398856
"""2007-1""","""Oncorhynchus mykiss""","""Actinopteri""",3000
"""2007-10""","""Aves""",null,11535
"""2007-11""","""Aves""",null,41518
"""2007-12""","""Aves""",null,101494
"""2007-2""","""Aves""",null,497899
"""2007-3""","""Aves""",null,216839
"""2007-4""","""Aves""",null,306110
"""2007-5""","""Aves""",null,34068
"""2007-6""","""Aves""",null,21362
"""2007-7""","""Aves""",null,136091
"""2007-8""","""Aves""",null,5541
"""2007-9""","""Aves""",null,11439
"""2008-1""","""Aves""",null,266729
"""2008-1""","""Bos taurus""","""Mammalia""",1
"""2008-10""","""Aves""",null,1417
"""2008-11""","""Aves""",null,1148
"""2008-12""","""Aves""",null,2626
"""2008-2""","""Aves""",null,150625
"""2008-3""","""Aves""",null,92661
"""2008-4""","""Aves""",null,23061
"""2008-5""","""Aves""",null,36587
"""2008-6""","""Aves""",null,16503
"""2008-7""","""Aves""",null,2856
"""2008-8""","""Aves""",null,2557
"""2008-9""","""Aves""",null,5778
"""2009-1""","""Aves""",null,1883
"""2009-11""","""Aves""",null,635
"""2009-12""","""Aves""",null,641
"""2009-2""","""Aves""",null,8551
"""2009-3""","""Aves""",null,1550
"""2009-4""","""Aves""",null,1760
"""2009-5""","""Aves""",null,373
"""2009-6""","""Aves""",null,650
"""2010-1""","""Aves""",null,41327
"""2010-10""","""Aves""",null,66
"""2010-11""","""Aves""",null,301
"""2010-12""","""Aves""",null,33
"""2010-2""","""Aves""",null,11420
"""2010-3""","""Aves""",null,5923
"""2010-4""","""Aves""",null,2350
"""2010-5""","""Aves""",null,261
"""2010-6""","""Aves""",null,5933
"""2010-7""","""Aves""",null,760
"""2011-1""","""Aves""",null,93116
"""2011-10""","""Aves""",null,1250
"""2011-11""","""Aves""",null,5138
"""2011-12""","""Aves""",null,516
