yearMonth,species,taxonomicOrder,monthlyCases
"""2007-1""","""Oncorhynchus mykiss""","""Salmoniformes""",1014000
"""2008-1""","""Bos taurus""","""Artiodactyla""",338
"""2011-3""","""Bos taurus""","""Artiodactyla""",2366
"""2012-12""","""Bos taurus""","""Artiodactyla""",507
"""2012-4""","""Bos taurus""","""Artiodactyla""",1521
"""2012-8""","""Bos taurus""","""Artiodactyla""",3042
"""2013-1""","""Chroicocephalus ridibundus""","""Charadriiformes""",169
"""2013-10""","""Bos taurus""","""Artiodactyla""",338
"""2013-2""","""Bos taurus""","""Artiodactyla""",507
"""2013-4""","""Corvus splendens""","""Passeriformes""",1183
"""2013-7""","""Corvus splendens""","""Passeriformes""",845
"""2020-10""","""Mareca penelope""","""Anseriformes""",6084
"""2020-10""","""Anser anser""","""Anseriformes""",1521
"""2020-11""","""Anas crecca""","""Anseriformes""",1521
"""2020-11""","""Cygnus olor""","""Anseriformes""",1352
"""2020-11""","""Mareca penelope""","""Anseriformes""",676
"""2020-12""","""Cygnus olor""","""Anseriformes""",12506
"""2020-12""","""Branta canadensis""","""Anseriformes""",4225
"""2020-12""","""Mareca penelope""","""Anseriformes""",2028
"""2020-12""","""Anas crecca""","""Anseriformes""",845
"""2020-12""","""Anser anser""","""Anseriformes""",338
"""2020-2""","""Tyto longimembris""","""Strigiformes""",1352
"""2020-2""","""Corvus splendens""","""Passeriformes""",845
"""2020-3""","""Corvus splendens""","""Passeriformes""",66586
"""2020-3""","""Harpactes erythrocephalus""","""Trogoniformes""",2366
"""2021-1""","""Cygnus olor""","""Anseriformes""",15041
"""2021-1""","""Anser indicus""","""Anseriformes""",169
"""2021-10""","""Phalacrocorax capensis""","""Pelecaniformes""",37835889
"""2021-10""","""Spheniscus demersus""","""Sphenisciformes""",874575
"""2021-10""","""Morus capensis""","""Pelecaniformes""",50700
"""2021-10""","""Phalacrocorax lucidus""","""Pelecaniformes""",7943
"""2021-10""","""Alopochen aegyptiaca""","""Anseriformes""",4225
"""2021-10""","""Phasianus colchicus""","""Galliformes""",3380
"""2021-10""","""Accipiter gentilis""","""Accipitriformes""",3042
"""2021-10""","""Haliaeetus albicilla""","""Accipitriformes""",2873
"""2021-10""","""Strix uralensis""","""Strigiformes""",1014
"""2021-11""","""Phalacrocorax capensis""","""Pelecaniformes""",6565143
"""2021-11""","""Sterna hirundo""","""Charadriiformes""",3718
"""2021-11""","""Accipiter gentilis""","""Accipitriformes""",1014
"""2021-11""","""Anser albifrons""","""Anseriformes""",845
"""2021-11""","""Cygnus olor""","""Anseriformes""",845
"""2021-11""","""Larus marinus""","""Charadriiformes""",845
"""2021-11""","""Larus argentatus""","""Charadriiformes""",676
"""2021-12""","""Phalacrocorax capensis""","""Pelecaniformes""",111371
"""2021-12""","""Sterna hirundo""","""Charadriiformes""",6760
"""2021-12""","""Phalacrocorax lucidus""","""Pelecaniformes""",3211
"""2021-12""","""Accipiter gentilis""","""Accipitriformes""",507
"""2021-2""","""Branta leucopsis""","""Anseriformes""",845
"""2021-3""","""Milvus milvus""","""Accipitriformes""",3549
"""2021-3""","""Branta leucopsis""","""Anseriformes""",3042
"""2021-3""","""Anser sp.""","""Anseriformes""",1859
"""2021-3""","""Larus fuscus graellsii""","""Charadriiformes""",845
"""2021-3""","""Uria aalge""","""Charadriiformes""",676
"""2021-4""","""Corvus frugilegus""","""Passeriformes""",10140
"""2021-4""","""Branta leucopsis""","""Anseriformes""",5577
"""2021-4""","""Haliaeetus albicilla""","""Accipitriformes""",507
"""2021-4""","""Ciconia ciconia""","""Ciconiiformes""",169
"""2021-5""","""Phalacrocorax capensis""","""Pelecaniformes""",802074
"""2021-5""","""Spheniscus demersus""","""Sphenisciformes""",637468
"""2021-5""","""Laridae""","""Charadriiformes""",76388
"""2021-5""","""Threskiornis aethiopicus""","""Pelecaniformes""",74698
"""2021-5""","""Branta leucopsis""","""Anseriformes""",54249
"""2021-5""","""Alopochen aegyptiaca""","""Anseriformes""",29744
"""2021-5""","""Haliaeetus albicilla""","""Accipitriformes""",18421
"""2021-5""","""Larus dominicanus""","""Charadriiformes""",12844
"""2021-5""","""Ara ararauna""","""Psittaciformes""",7098
"""2021-5""","""Tyto alba""","""Strigiformes""",7098
"""2021-5""","""Plectropterus gambensis""","""Anseriformes""",7098
"""2021-5""","""Pterodroma macroptera""","""Procellariiformes""",6422
"""2021-5""","""Haematopus bachmani""","""Charadriiformes""",6422
"""2021-5""","""Chroicocephalus cirrocephalus""","""Charadriiformes""",6422
"""2021-5""","""Sterna hirundo""","""Charadriiformes""",1014
"""2021-5""","""Circus aeruginosus""","""Accipitriformes""",507
"""2021-5""","""Larus argentatus""","""Charadriiformes""",169
"""2021-6""","""Larus dominicanus""","""Charadriiformes""",110188
"""2021-6""","""Phalacrocorax capensis""","""Pelecaniformes""",76895
"""2021-6""","""Pelecanus crispus""","""Pelecaniformes""",52728
"""2021-6""","""Cygnus atratus""","""Anseriformes""",41574
"""2021-6""","""Laridae""","""Charadriiformes""",35490
"""2021-6""","""Threskiornis aethiopicus""","""Pelecaniformes""",25688
"""2021-6""","""Larus argentatus""","""Charadriiformes""",6760
"""2021-6""","""Anas platyrhynchos""","""Anseriformes""",6253
"""2021-6""","""Grus paradisea""","""Gruiformes""",6084
"""2021-6""","""Thalasseus sandvicensis""","""Charadriiformes""",6084
"""2021-6""","""Stercorarius lonnbergi""","""Charadriiformes""",5915
"""2021-6""","""Phalacrocorax carbo""","""Pelecaniformes""",4563
"""2021-6""","""Branta leucopsis""","""Anseriformes""",4225
"""2021-6""","""Haliaeetus albicilla""","""Accipitriformes""",4056
"""2021-6""","""Cygnus olor""","""Anseriformes""",169
"""2021-7""","""Larus argentatus""","""Charadriiformes""",6591
"""2021-7""","""Stercorarius skua""","""Charadriiformes""",2873
"""2021-7""","""Pelecanus crispus""","""Pelecaniformes""",1183
"""2021-8""","""Cygnus olor""","""Anseriformes""",8788
"""2021-8""","""Bostrychia hagedash""","""Pelecaniformes""",5408
"""2021-8""","""Mergus merganser""","""Anseriformes""",3042
"""2021-8""","""Accipiter gentilis""","""Accipitriformes""",3042
"""2021-8""","""Larus canus""","""Charadriiformes""",2873
