t.name,count
"""Aves""",63788
"""Chroicocephalus ridibundus""",6196
"""Cygnus olor""",3936
"""Branta canadensis""",1751
"""Vulpes vulpes""",1385
"""Anser anser""",1184
"""Larus argentatus""",992
"""Phalacrocorax capensis""",781
"""Branta leucopsis""",755
"""Anas platyrhynchos""",625
"""Laridae""",559
"""Grus monacha""",527
"""Sterna hirundo""",503
"""Anser brachyrhynchus""",500
"""Accipiter nisus""",487
"""Morus bassanus""",459
"""Mephitis mephitis""",414
"""Phasianus colchicus""",397
"""Larus dominicanus""",382
"""Spheniscus demersus""",323
"""Corvus macrorhynchos""",295
"""Phoca vitulina""",277
"""Anas crecca""",276
"""Antigone vipio""",211
"""Uria aalge""",182
"""Sula variegata""",179
"""Haliaeetus albicilla""",168
"""Puma""",166
"""Larus fuscus graellsii""",164
"""Larus michahellis atlantis""",161
"""Strix aluco""",159
"""Columba livia""",158
"""Ciconia ciconia""",153
"""Mareca penelope""",149
"""Falco tinnunculus""",144
"""Alopochen aegyptiaca""",137
"""Phalacrocorax carbo""",127
"""Accipiter gentilis""",121
"""Larus canus""",120
"""Ardea cinerea""",119
"""Chroicocephalus brunnicephalus""",116
"""Threskiornis aethiopicus""",115
"""Phalacrocorax lucidus""",114
"""Thalasseus maximus""",106
"""Thalasseus sandvicensis""",103
"""Milvus milvus""",100
"""Lynx rufus""",98
"""Cygnus atratus""",88
"""Egretta garzetta""",85
"""Chroicocephalus cirrocephalus""",83
"""Larus cachinnans""",70
"""Gallinula chloropus""",67
"""Cygnus melancoryphus""",63
"""Morus capensis""",62
"""Bos taurus""",61
"""Anser sp.""",61
"""Leucophaeus modestus""",57
"""Tyto alba""",57
"""Anser albifrons""",53
"""Didelphis virginiana""",53
"""Corvus corone""",52
"""Felis catus""",50
"""Dendrocopos major""",49
"""Fulmarus glacialis""",49
"""Stercorarius skua""",49
"""Bubo bubo""",48
"""Phoenicopterus roseus""",43
"""Phalacrocorax neglectus""",42
"""Ara ararauna""",42
"""Plectropterus gambensis""",42
"""Podiceps cristatus""",41
"""Ardea alba""",40
"""Canis latrans""",40
"""Alectoris rufa""",39
"""Pandion haliaetus""",39
"""Cygnus columbianus""",39
"""Cathartes aura""",38
"""Pterodroma macroptera""",38
"""Haematopus bachmani""",38
"""Streptopelia decaocto""",36
"""Grus paradisea""",36
"""Larosterna inca""",35
"""Stercorarius lonnbergi""",35
"""Corvus splendens""",33
"""Corvus corax""",33
"""Charadrius hiaticula""",32
"""Bostrychia hagedash""",32
"""Ursus arctos""",29
"""Phalacrocorax brasilianus""",28
"""Sterna hirundinacea""",27
"""Falco sparverius""",27
"""Numenius arquata""",24
"""Haematopus ostralegus""",23
"""Larus marinus""",22
"""Grus japonensis""",22
"""Larus schistisagus""",22
"""Corvus frugilegus""",21
"""Stercorarius chilensis""",20
"""Pekania pennanti""",20
"""Halichoerus grypus""",19
"""Pelecanus crispus""",18
"""Mergus merganser""",18
"""Tachybaptus ruficollis""",17
"""Fringilla coelebs""",17
"""Aix galericulata""",16
"""Thalasseus elegans""",15
"""Leucophaeus pipixcan""",14
"""Anas acuta""",14
"""Panthera pardus orientalis""",14
"""Strix uralensis""",13
"""Platalea minor""",11
"""Ciconia boyciana""",11
"""Buteo lagopus""",10
"""Milvus migrans""",10
"""Martes americana""",10
"""Neogale vison""",10
"""Sula nebouxii""",9
"""Coscoroba coscoroba""",9
"""Megascops choliba""",8
"""Haliaeetus pelagicus""",8
"""Pica pica""",7
"""Coragyps atratus""",7
"""Phalacrocorax gaimardi""",7
"""Calidris alba""",7
"""Rynchops niger""",7
"""Tringa flavipes""",7
"""Aythya marila""",7
"""Buteogallus urubitinga""",6
"""Rupornis magnirostris""",5
"""Canis lupus familiaris""",5
"""Enicognathus ferrugineus""",5
"""Netta rufina""",5
"""Ichthyaetus ichthyaetus""",5
"""Garrulus glandarius""",5
"""Caracara plancus""",4
"""Rissa tridactyla""",4
"""Coloeus monedula""",4
"""Passer montanus""",4
"""Sternula albifrons""",4
"""Chroicocephalus genei""",4
"""Sterna paradisaea""",4
"""Chroicocephalus maculipennis""",3
"""Chlidonias hybrida""",3
"""Calidris alpina""",3
"""Passer domesticus""",3
"""Chloephaga picta""",3
"""Anser caerulescens caerulescens""",3
"""Quiscalus mexicanus""",3
"""Circus cyaneus""",3
"""Lontra canadensis""",3
"""Circus aeruginosus""",3
"""Nasua nasua""",2
"""Enicognathus leptorhynchus""",2
"""Caracara""",2
"""Sterna dougallii""",2
"""Phoenicopterus chilensis""",2
"""Spatula discors""",2
"""Falco rusticolus""",2
"""Ichthyaetus melanocephalus""",2
"""Nyctereutes procyonoides""",2
"""Tyto longimembris""",2
"""Harpactes erythrocephalus""",2
"""Oncorhynchus mykiss""",2
"""Somateria mollissima""",1
"""Sula leucogaster""",1
"""Martes martes""",1
"""Gelochelidon nilotica""",1
"""Ursus maritimus""",1
"""Spatula clypeata""",1
"""Caprimulgus fossii""",1
"""Dendrocygna viduata""",1
"""Anser indicus""",1
