country,iso3,hostSpecies,pathogenSpecies,reportCount
"""Afghanistan""","""AFG""","""Aves""","""unidentified influenza virus""",5
"""Afghanistan""","""AFG""","""Aves""","""H5N1 subtype""",4
"""Afghanistan""","""AFG""","""Bos taurus""","""Lumpy skin disease virus""",1
"""Albania""","""ALB""","""Aves""","""unidentified influenza virus""",8
"""Albania""","""ALB""","""Aves""","""H5N1 subtype""",4
"""Albania""","""ALB""","""Bos taurus""","""Bluetongue virus""",3
"""Albania""","""ALB""","""Ovis aries""","""Bluetongue virus""",3
"""Albania""","""ALB""","""Equidae""","""Lyssavirus rabies""",2
"""Albania""","""ALB""","""Pelecanus crispus""","""H5N1 subtype""",2
"""Algeria""","""DZA""","""Ovis aries""","""Bluetongue virus""",37
"""Algeria""","""DZA""","""Bos taurus""","""Bluetongue virus""",32
"""Algeria""","""DZA""","""Ovis aries""","""Orbivirus""",30
"""Algeria""","""DZA""","""Capra hircus""","""Bluetongue virus""",29
"""Algeria""","""DZA""","""Ovis aries""","""Peste des petits ruminants virus""",10
"""Algeria""","""DZA""","""Bos taurus""","""Orbivirus""",9
"""Algeria""","""DZA""","""Bos taurus""","""Foot-and-mouth disease virus""",7
"""Algeria""","""DZA""","""Ovis aries""","""Foot-and-mouth disease virus""",6
"""Algeria""","""DZA""","""Capra hircus""","""Peste des petits ruminants virus""",6
"""Algeria""","""DZA""","""Aves""","""unidentified influenza virus""",5
"""Algeria""","""DZA""","""Capra hircus""","""Foot-and-mouth disease virus""",4
"""Algeria""","""DZA""","""Aves""","""H5N1 subtype""",2
"""Algeria""","""DZA""","""Equidae""","""West Nile virus""",1
"""Angola""","""AGO""","""Bos taurus""","""Equine infectious anemia virus""",5
"""Angola""","""AGO""","""Bos taurus""","""Foot-and-mouth disease virus""",4
"""Angola""","""AGO""","""Sus scrofa""","""African swine fever virus""",1
"""Argentina""","""ARG""","""Homo sapiens""","""Influenza B virus""",268
"""Argentina""","""ARG""","""Homo sapiens""","""Influenza A virus""",238
"""Argentina""","""ARG""","""Homo sapiens""","""H1N1 subtype""",223
"""Argentina""","""ARG""","""Aves""","""unidentified influenza virus""",47
"""Argentina""","""ARG""","""Sus scrofa""","""African swine fever virus""",23
"""Argentina""","""ARG""","""Oryctolagus cuniculus""","""Rabbit hemorrhagic disease virus""",15
"""Argentina""","""ARG""","""Chloephaga melanoptera""","""unidentified influenza virus""",14
"""Argentina""","""ARG""","""Sylvilagus audubonii""","""Rabbit hemorrhagic disease virus""",13
"""Argentina""","""ARG""","""Cygnus melancoryphus""","""unidentified influenza virus""",12
"""Argentina""","""ARG""","""Apoidea""","""Aethina tumida""",12
"""Argentina""","""ARG""","""Aves""","""Pigeon paramyxovirus 1""",11
"""Argentina""","""ARG""","""Bos taurus""","""Foot-and-mouth disease virus""",9
"""Argentina""","""ARG""","""Panthera tigris""","""Severe acute respiratory syndrome coronavirus 2""",9
"""Argentina""","""ARG""","""Apoidea""","""Paenibacillus larvae""",8
"""Argentina""","""ARG""","""Sus scrofa""","""Influenza A virus""",7
"""Argentina""","""ARG""","""Equidae""","""Equine infectious anemia virus""",6
"""Argentina""","""ARG""","""Aves""","""H5N1 subtype""",5
"""Argentina""","""ARG""","""Sus scrofa""","""Foot-and-mouth disease virus""",4
"""Argentina""","""ARG""","""Canis lupus familiaris""","""Lyssavirus rabies""",3
"""Argentina""","""ARG""","""Equidae""","""Alphavirus""",3
"""Argentina""","""ARG""","""Capra hircus""","""Coxiella burnetii""",3
"""Argentina""","""ARG""","""Equidae""","""West Nile virus""",3
"""Argentina""","""ARG""","""Aves""","""Bluetongue virus""",3
"""Argentina""","""ARG""","""Aves""","""Foot-and-mouth disease virus""",2
"""Argentina""","""ARG""","""Bos taurus""","""Orbivirus""",2
"""Argentina""","""ARG""","""Ovis aries""","""Schmallenberg virus""",2
"""Argentina""","""ARG""","""Aves""","""Aphanomyces invadans""",2
"""Argentina""","""ARG""","""Aves""","""Classical swine fever virus""",2
"""Argentina""","""ARG""","""Aves""","""African horse sickness virus""",2
"""Argentina""","""ARG""","""Tilapia""","""Tilapia lake virus""",1
"""Argentina""","""ARG""","""Felis catus""","""Severe acute respiratory syndrome coronavirus 2""",1
"""Argentina""","""ARG""","""Canis lupus familiaris""","""Severe acute respiratory syndrome coronavirus 2""",1
"""Argentina""","""ARG""","""Aves""","""Severe acute respiratory syndrome coronavirus 2""",1
"""Argentina""","""ARG""","""Aves""","""West Nile virus""",1
"""Armenia""","""ARM""","""Canis lupus familiaris""","""Lyssavirus rabies""",12
"""Armenia""","""ARM""","""Sus scrofa""","""African swine fever virus""",10
"""Armenia""","""ARM""","""Canis lupus familiaris""","""prion""",8
"""Armenia""","""ARM""","""Bos taurus""","""Bacillus anthracis""",7
"""Armenia""","""ARM""","""Canis lupus familiaris""","""Lumpy skin disease virus""",3
"""Armenia""","""ARM""","""Apoidea""","""Melissococcus plutonius""",1
"""Armenia""","""ARM""","""Canis lupus familiaris""","""African swine fever virus""",1
"""Australia""","""AUS""","""Aves""","""unidentified influenza virus""",41
"""Australia""","""AUS""","""Accipiter nisus""","""H5N1 subtype""",38
"""Australia""","""AUS""","""Cygnus olor""","""H5N1 subtype""",32
"""Australia""","""AUS""","""Falco tinnunculus""","""H5N1 subtype""",30
"""Australia""","""AUS""","""Chroicocephalus ridibundus""","""H5N1 subtype""",29
"""Australia""","""AUS""","""Canis lupus familiaris""","""Severe acute respiratory syndrome coronavirus 2""",23
"""Australia""","""AUS""","""Bos taurus""","""Rift Valley fever virus""",20
"""Australia""","""AUS""","""Apoidea""","""Infectious hematopoietic necrosis virus""",17
