iso3,date,species,flua,fluCases
"""CRI""","""2013-03-23""","""Aves""","""Influenza A virus""",12528
"""CRI""","""2013-06-14""","""Aves""","""Influenza A virus""",32272
"""CRI""","""2013-09-12""","""Aves""","""Influenza A virus""",1660
"""CRI""","""2013-08-29""","""Aves""","""Influenza A virus""",17692
"""CRI""","""2013-12-13""","""Aves""","""Influenza A virus""",5340
"""CZE""","""2009-02-24""","""Aves""","""Influenza A virus""",36
"""USA""","""2009-03-31""","""Aves""","""Influenza A virus""",0
"""USA""","""2009-07-26""","""Aves""","""Influenza A virus""",0
"""USA""","""2011-06-23""","""Aves""","""Influenza A virus""",0
"""CHN""","""2013-04-04""","""Aves""","""Influenza A virus""",1686
"""CHN""","""2013-12-18""","""Aves""","""Influenza A virus""",36
"""CHN""","""2013-05-20""","""Aves""","""Influenza A virus""",20
"""CHN""","""2013-05-09""","""Aves""","""Influenza A virus""",22
"""CHN""","""2014-01-16""","""Aves""","""Influenza A virus""",16
"""CHN""","""2014-01-11""","""Aves""","""Influenza A virus""",32
"""CHN""","""2014-02-15""","""Aves""","""Influenza A virus""",24
"""CHN""","""2014-01-17""","""Aves""","""Influenza A virus""",56
"""CHN""","""2014-01-22""","""Aves""","""Influenza A virus""",14
"""CHN""","""2014-01-27""","""Aves""","""Influenza A virus""",42
"""CHN""","""2014-01-23""","""Aves""","""Influenza A virus""",14
"""CHN""","""2014-01-28""","""Aves""","""Influenza A virus""",28
"""CHN""","""2014-03-14""","""Aves""","""Influenza A virus""",32
"""CHN""","""2014-03-08""","""Aves""","""Influenza A virus""",16
"""CHN""","""2014-02-23""","""Aves""","""Influenza A virus""",30
"""CHN""","""2014-02-19""","""Aves""","""Influenza A virus""",30
"""CHN""","""2014-06-03""","""Aves""","""Influenza A virus""",8
"""CHN""","""2014-04-25""","""Aves""","""Influenza A virus""",24
"""CHN""","""2014-04-22""","""Aves""","""Influenza A virus""",6
"""MMR""","""2006-03-31""","""Aves""","""Influenza A virus""",8
"""FIN""","""2023-06-11""","""Sterna hirundo""","""Influenza A virus""",4
"""FIN""","""2023-06-25""","""Sterna hirundo""","""Influenza A virus""",2
"""FIN""","""2023-06-25""","""Chroicocephalus ridibundus""","""Influenza A virus""",2
"""FIN""","""2023-06-13""","""Chroicocephalus ridibundus""","""Influenza A virus""",40
"""RUS""","""2023-06-06""","""Aves""","""Influenza A virus""",581424
"""LUX""","""2023-05-24""","""Chroicocephalus ridibundus""","""Influenza A virus""",2
"""CHL""","""2023-06-02""","""Aves""","""Influenza A virus""",1338
"""CHL""","""2023-05-31""","""Aves""","""Influenza A virus""",4014
"""PRY""","""2023-05-05""","""Aves""","""Influenza A virus""",0
"""PRY""","""2023-05-30""","""Aves""","""Influenza A virus""",296
"""PRY""","""2023-05-17""","""Aves""","""Influenza A virus""",234
"""PRY""","""2023-05-15""","""Aves""","""Influenza A virus""",164
"""PRY""","""2023-05-11""","""Aves""","""Influenza A virus""",0
"""USA""","""2023-05-15""","""Bos taurus""","""Influenza A virus""",4
"""RUS""","""2023-05-11""","""Aves""","""Influenza A virus""",19820
"""ISL""","""2023-03-23""","""Anas platyrhynchos""","""Influenza A virus""",2
"""EST""","""2023-06-25""","""Sterna hirundo""","""Influenza A virus""",2
"""EST""","""2023-07-05""","""Larus canus""","""Influenza A virus""",2
"""EST""","""2023-05-15""","""Chroicocephalus ridibundus""","""Influenza A virus""",6
"""EST""","""2023-06-21""","""Phalacrocorax carbo""","""Influenza A virus""",8
"""EST""","""2023-06-17""","""Phalacrocorax carbo""","""Influenza A virus""",4
"""EST""","""2023-05-09""","""Chroicocephalus ridibundus""","""Influenza A virus""",8
"""SVN""","""2023-05-30""","""Sterna hirundo""","""Influenza A virus""",130
"""SVN""","""2023-05-23""","""Sterna hirundo""","""Influenza A virus""",12
"""SVN""","""2023-05-31""","""Sterna hirundo""","""Influenza A virus""",4
"""SVN""","""2023-05-09""","""Chroicocephalus ridibundus""","""Influenza A virus""",18
"""SVN""","""2023-05-15""","""Chroicocephalus ridibundus""","""Influenza A virus""",1014
"""BRA""","""2023-06-22""","""Aves""","""Influenza A virus""",16
"""BRA""","""2023-06-27""","""Chroicocephalus maculipennis""","""Influenza A virus""",6
"""BRA""","""2023-07-02""","""Thalasseus maximus""","""Influenza A virus""",4
"""BRA""","""2023-07-09""","""Thalasseus maximus""","""Influenza A virus""",4
"""BRA""","""2023-06-04""","""Thalasseus maximus""","""Influenza A virus""",40
"""BRA""","""2023-07-12""","""Aves""","""Influenza A virus""",304
"""BRA""","""2023-06-15""","""Thalasseus maximus""","""Influenza A virus""",8
"""BRA""","""2023-06-14""","""Thalasseus maximus""","""Influenza A virus""",8
"""BRA""","""2023-06-16""","""Thalasseus maximus""","""Influenza A virus""",28
"""BRA""","""2023-06-21""","""Thalasseus maximus""","""Influenza A virus""",8
"""BRA""","""2023-06-20""","""Thalasseus maximus""","""Influenza A virus""",8
"""BRA""","""2023-06-22""","""Thalasseus maximus""","""Influenza A virus""",8
"""BRA""","""2023-06-24""","""Thalasseus maximus""","""Influenza A virus""",24
"""BRA""","""2023-06-20""","""Caracara plancus""","""Influenza A virus""",16
"""BRA""","""2023-06-02""","""Thalasseus maximus""","""Influenza A virus""",12
"""BRA""","""2023-06-01""","""Buteogallus urubitinga""","""Influenza A virus""",12
"""BRA""","""2023-06-02""","""Sterna hirundinacea""","""Influenza A virus""",12
"""BRA""","""2023-06-07""","""Thalasseus maximus""","""Influenza A virus""",10
"""BRA""","""2023-06-08""","""Sterna hirundinacea""","""Influenza A virus""",10
"""BRA""","""2023-06-08""","""Thalasseus maximus""","""Influenza A virus""",10
"""BRA""","""2023-06-11""","""Thalasseus maximus""","""Influenza A virus""",10
"""BRA""","""2023-06-10""","""Thalasseus maximus""","""Influenza A virus""",10
"""BRA""","""2023-06-12""","""Thalasseus maximus""","""Influenza A virus""",10
"""BRA""","""2023-06-08""","""Rupornis magnirostris""","""Influenza A virus""",10
"""BRA""","""2023-05-15""","""Thalasseus maximus""","""Influenza A virus""",18
"""BRA""","""2023-05-24""","""Sterna hirundo""","""Influenza A virus""",16
"""BRA""","""2023-05-16""","""Megascops choliba""","""Influenza A virus""",16
"""BRA""","""2023-05-24""","""Cygnus melancoryphus""","""Influenza A virus""",1616
"""BRA""","""2023-05-27""","""Phalacrocorax brasilianus""","""Influenza A virus""",14
"""BRA""","""2023-05-31""","""Chroicocephalus cirrocephalus""","""Influenza A virus""",14
"""BRA""","""2023-06-01""","""Thalasseus maximus""","""Influenza A virus""",14
"""BRA""","""2023-05-09""","""Sula leucogaster""","""Influenza A virus""",2
"""ITA""","""2023-04-18""","""Canis lupus familiaris""","""Influenza A virus""",20
"""CZE""","""2023-04-30""","""Aves""","""Influenza A virus""",15680
"""CZE""","""2023-05-04""","""Aves""","""Influenza A virus""",264
"""DEU""","""2023-02-28""","""Vulpes vulpes""","""Influenza A virus""",16
"""DEU""","""2022-04-01""","""Vulpes vulpes""","""Influenza A virus""",4
"""DEU""","""2023-03-01""","""Halichoerus grypus""","""Influenza A virus""",4
"""DEU""","""2022-04-06""","""Vulpes vulpes""","""Influenza A virus""",4
"""DEU""","""2022-09-22""","""Nasua nasua""","""Influenza A virus""",12
"""DEU""","""2023-04-13""","""Vulpes vulpes""","""Influenza A virus""",2
"""DEU""","""2023-06-01""","""Vulpes vulpes""","""Influenza A virus""",2
"""DEU""","""2023-05-31""","""Martes martes""","""Influenza A virus""",2
"""DEU""","""2023-04-12""","""Vulpes vulpes""","""Influenza A virus""",2
"""DEU""","""2023-05-10""","""Vulpes vulpes""","""Influenza A virus""",2
"""CHL""","""2023-04-06""","""Aves""","""Influenza A virus""",2240000
"""DNK""","""2023-04-24""","""Aves""","""Influenza A virus""",0
"""NOR""","""2023-06-12""","""Larus argentatus""","""Influenza A virus""",2
"""NOR""","""2023-06-08""","""Larus marinus""","""Influenza A virus""",2
"""NOR""","""2023-06-07""","""Rissa tridactyla""","""Influenza A virus""",80
"""NOR""","""2023-04-17""","""Aves""","""Influenza A virus""",20
"""JPN""","""2023-02-20""","""Vulpes vulpes""","""Influenza A virus""",2
"""JPN""","""2023-04-12""","""Vulpes vulpes""","""Influenza A virus""",4
"""NOR""","""2023-03-28""","""Aves""","""Influenza A virus""",8
"""LTU""","""2023-06-14""","""Chroicocephalus ridibundus""","""Influenza A virus""",20
"""LTU""","""2023-06-19""","""Chroicocephalus ridibundus""","""Influenza A virus""",8
"""LTU""","""2023-06-20""","""Chroicocephalus ridibundus""","""Influenza A virus""",20
"""LTU""","""2023-06-15""","""Chroicocephalus ridibundus""","""Influenza A virus""",4
"""LTU""","""2023-06-21""","""Chroicocephalus ridibundus""","""Influenza A virus""",4
"""LTU""","""2023-06-22""","""Chroicocephalus ridibundus""","""Influenza A virus""",4
"""LTU""","""2023-07-03""","""Chroicocephalus ridibundus""","""Influenza A virus""",4
"""LTU""","""2023-05-26""","""Chroicocephalus ridibundus""","""Influenza A virus""",10
"""LTU""","""2023-05-31""","""Chroicocephalus ridibundus""","""Influenza A virus""",124
"""LTU""","""2023-05-30""","""Chroicocephalus ridibundus""","""Influenza A virus""",62
"""LTU""","""2023-06-06""","""Chroicocephalus ridibundus""","""Influenza A virus""",24
"""LTU""","""2023-06-08""","""Chroicocephalus ridibundus""","""Influenza A virus""",6
"""LTU""","""2023-06-14""","""Sterna hirundo""","""Influenza A virus""",18
