iso3,species,flua,fluCases
"""FIN""","""Sterna hirundo""","""Influenza A virus""",6
"""FIN""","""Chroicocephalus ridibundus""","""Influenza A virus""",42
"""RUS""","""Aves""","""Influenza A virus""",2142482
"""LUX""","""Chroicocephalus ridibundus""","""Influenza A virus""",2
"""CHL""","""Aves""","""Influenza A virus""",7076910
"""PRY""","""Aves""","""Influenza A virus""",694
"""USA""","""Bos taurus""","""Influenza A virus""",4
"""ISL""","""Anas platyrhynchos""","""Influenza A virus""",2
"""EST""","""Sterna hirundo""","""Influenza A virus""",2
"""EST""","""Larus canus""","""Influenza A virus""",2
"""EST""","""Chroicocephalus ridibundus""","""Influenza A virus""",14
"""EST""","""Phalacrocorax carbo""","""Influenza A virus""",12
"""SVN""","""Sterna hirundo""","""Influenza A virus""",146
"""SVN""","""Chroicocephalus ridibundus""","""Influenza A virus""",1032
"""BRA""","""Aves""","""Influenza A virus""",320
"""BRA""","""Chroicocephalus maculipennis""","""Influenza A virus""",6
"""BRA""","""Thalasseus maximus""","""Influenza A virus""",234
"""BRA""","""Caracara plancus""","""Influenza A virus""",16
"""BRA""","""Buteogallus urubitinga""","""Influenza A virus""",12
"""BRA""","""Sterna hirundinacea""","""Influenza A virus""",22
"""BRA""","""Rupornis magnirostris""","""Influenza A virus""",10
"""BRA""","""Sterna hirundo""","""Influenza A virus""",16
"""BRA""","""Megascops choliba""","""Influenza A virus""",16
"""BRA""","""Cygnus melancoryphus""","""Influenza A virus""",1616
"""BRA""","""Phalacrocorax brasilianus""","""Influenza A virus""",14
"""BRA""","""Chroicocephalus cirrocephalus""","""Influenza A virus""",14
"""BRA""","""Sula leucogaster""","""Influenza A virus""",2
"""ITA""","""Canis lupus familiaris""","""Influenza A virus""",20
"""CZE""","""Aves""","""Influenza A virus""",57526
"""DEU""","""Vulpes vulpes""","""Influenza A virus""",32
"""DEU""","""Halichoerus grypus""","""Influenza A virus""",4
"""DEU""","""Nasua nasua""","""Influenza A virus""",12
"""DEU""","""Martes martes""","""Influenza A virus""",2
"""DNK""","""Aves""","""Influenza A virus""",0
"""NOR""","""Larus argentatus""","""Influenza A virus""",2
"""NOR""","""Larus marinus""","""Influenza A virus""",2
"""NOR""","""Rissa tridactyla""","""Influenza A virus""",80
"""NOR""","""Aves""","""Influenza A virus""",90524
"""JPN""","""Vulpes vulpes""","""Influenza A virus""",12
"""LTU""","""Chroicocephalus ridibundus""","""Influenza A virus""",870
"""LTU""","""Sterna hirundo""","""Influenza A virus""",18
"""LTU""","""Chroicocephalus brunnicephalus""","""Influenza A virus""",1252
"""DEU""","""Aves""","""Influenza A virus""",342242
"""GMB""","""Thalasseus maximus""","""Influenza A virus""",672
"""SWE""","""Larus canus""","""Influenza A virus""",4
"""SWE""","""Chroicocephalus ridibundus""","""Influenza A virus""",262
"""SWE""","""Uria aalge""","""Influenza A virus""",8
"""SWE""","""Larus argentatus""","""Influenza A virus""",8
"""SWE""","""Larus fuscus graellsii""","""Influenza A virus""",26
"""SWE""","""Thalasseus sandvicensis""","""Influenza A virus""",8
"""SWE""","""Bubo bubo""","""Influenza A virus""",40
"""SWE""","""Pica pica""","""Influenza A virus""",14
"""SWE""","""Haematopus ostralegus""","""Influenza A virus""",36
"""SWE""","""Ciconia ciconia""","""Influenza A virus""",22
"""SWE""","""Anser anser""","""Influenza A virus""",36
"""SWE""","""Cygnus olor""","""Influenza A virus""",50
"""SWE""","""Branta leucopsis""","""Influenza A virus""",44
"""BGR""","""Aves""","""Influenza A virus""",5048
"""BTN""","""Aves""","""Influenza A virus""",320
"""ITA""","""Aves""","""Influenza A virus""",5036804
"""IND""","""Aves""","""Influenza A virus""",109286
"""EST""","""Aves""","""Influenza A virus""",48
"""FRA""","""Vulpes vulpes""","""Influenza A virus""",2
"""BRA""","""Bos taurus""","""Influenza A virus""",4
"""TWN""","""Gelochelidon nilotica""","""Influenza A virus""",2
"""TWN""","""Platalea minor""","""Influenza A virus""",2
"""TWN""","""Chlidonias hybrida""","""Influenza A virus""",40
"""TWN""","""Aves""","""Influenza A virus""",2549228
"""BOL""","""Aves""","""Influenza A virus""",1604984
"""CUB""","""Aves""","""Influenza A virus""",0
"""SVK""","""Aves""","""Influenza A virus""",384
"""NPL""","""Aves""","""Influenza A virus""",515918
"""TUR""","""Aves""","""Influenza A virus""",4033182
"""NLD""","""Bos taurus""","""Influenza A virus""",2
"""ECU""","""Sula nebouxii""","""Influenza A virus""",12
"""ECU""","""Chroicocephalus ridibundus""","""Influenza A virus""",8
"""ROU""","""Aves""","""Influenza A virus""",1119248
"""SVK""","""Cygnus olor""","""Influenza A virus""",30
"""POL""","""Aves""","""Influenza A virus""",7687198
"""PAN""","""Aves""","""Influenza A virus""",356
"""ESP""","""Aves""","""Influenza A virus""",49600
"""HUN""","""Aves""","""Influenza A virus""",5570264
"""ISR""","""Spatula clypeata""","""Influenza A virus""",2
"""ISR""","""Anas platyrhynchos""","""Influenza A virus""",4
"""ISR""","""Calidris alpina""","""Influenza A virus""",6
"""CHL""","""Passer domesticus""","""Influenza A virus""",2
"""CHL""","""Cygnus melancoryphus""","""Influenza A virus""",80
"""CHL""","""Enicognathus leptorhynchus""","""Influenza A virus""",32
"""CHL""","""Leucophaeus modestus""","""Influenza A virus""",156
"""CHL""","""Sula variegata""","""Influenza A virus""",794
"""CHL""","""Larus dominicanus""","""Influenza A virus""",240
"""CHL""","""Laridae""","""Influenza A virus""",104
"""CHL""","""Sterna hirundinacea""","""Influenza A virus""",32
"""CHL""","""Phalacrocorax carbo""","""Influenza A virus""",220
"""CHL""","""Cathartes aura""","""Influenza A virus""",76
"""CHL""","""Coragyps atratus""","""Influenza A virus""",14
"""CHL""","""Phalacrocorax brasilianus""","""Influenza A virus""",42
"""CHL""","""Stercorarius chilensis""","""Influenza A virus""",40
"""CHL""","""Larosterna inca""","""Influenza A virus""",112
"""CHL""","""Leucophaeus pipixcan""","""Influenza A virus""",28
"""CHL""","""Enicognathus ferrugineus""","""Influenza A virus""",10
"""CHL""","""Netta rufina""","""Influenza A virus""",50
"""CHL""","""Coscoroba coscoroba""","""Influenza A virus""",58
"""CHL""","""Caracara""","""Influenza A virus""",4
"""CHL""","""Chloephaga picta""","""Influenza A virus""",12
"""CHL""","""Phalacrocorax gaimardi""","""Influenza A virus""",14
"""CHL""","""Calidris alba""","""Influenza A virus""",14
