lat,long,location,country,species,totalCases
null,null,null,null,null,0
39.77921,-86.27082,"point({srid:4326, x:-86.27082, y:39.77921})","""US""","""Sus scrofa""",0
23.04961,121.17822,"point({srid:4326, x:121.17822, y:23.04961})","""TW""","""Sus scrofa""",160
14.59497,101.12525,"point({srid:4326, x:101.12525, y:14.59497})","""TH""","""Sus scrofa""",34
56.02427,47.34804,"point({srid:4326, x:47.34804, y:56.02427})","""RU""","""Sus scrofa""",45
43.43473,21.22875,"point({srid:4326, x:21.22875, y:43.43473})","""RS""","""Sus scrofa""",20
63.67819,11.1899,"point({srid:4326, x:11.1899, y:63.67819})","""NO""","""Sus scrofa""",2
63.86111,11.31169,"point({srid:4326, x:11.31169, y:63.86111})","""NO""","""Sus scrofa""",10
63.87104,11.15474,"point({srid:4326, x:11.15474, y:63.87104})","""NO""","""Sus scrofa""",9
63.69316,11.11699,"point({srid:4326, x:11.11699, y:63.69316})","""NO""","""Sus scrofa""",20
63.83002,11.48554,"point({srid:4326, x:11.48554, y:63.83002})","""NO""","""Sus scrofa""",20
60.10105,11.36962,"point({srid:4326, x:11.36962, y:60.10105})","""NO""","""Sus scrofa""",1
59.2354,11.10275,"point({srid:4326, x:11.10275, y:59.2354})","""NO""","""Sus scrofa""",1
63.8042,11.54149,"point({srid:4326, x:11.54149, y:63.8042})","""NO""","""Sus scrofa""",16
58.70851,5.66718,"point({srid:4326, x:5.66718, y:58.70851})","""NO""","""Sus scrofa""",11
63.81705,11.49792,"point({srid:4326, x:11.49792, y:63.81705})","""NO""","""Sus scrofa""",5
58.68938,5.75667,"point({srid:4326, x:5.75667, y:58.68938})","""NO""","""Sus scrofa""",4
63.73928,9.80912,"point({srid:4326, x:9.80912, y:63.73928})","""NO""","""Sus scrofa""",6
60.80257,11.20368,"point({srid:4326, x:11.20368, y:60.80257})","""NO""","""Sus scrofa""",9
63.61455,10.94047,"point({srid:4326, x:10.94047, y:63.61455})","""NO""","""Sus scrofa""",7
60.10336,11.38945,"point({srid:4326, x:11.38945, y:60.10336})","""NO""","""Sus scrofa""",4
63.7088,11.17575,"point({srid:4326, x:11.17575, y:63.7088})","""NO""","""Sus scrofa""",1
63.59819,10.9504,"point({srid:4326, x:10.9504, y:63.59819})","""NO""","""Sus scrofa""",1
63.68311,11.17111,"point({srid:4326, x:11.17111, y:63.68311})","""NO""","""Sus scrofa""",22
63.67047,11.07404,"point({srid:4326, x:11.07404, y:63.67047})","""NO""","""Sus scrofa""",11
63.68568,11.16948,"point({srid:4326, x:11.16948, y:63.68568})","""NO""","""Sus scrofa""",13
63.69309,11.19656,"point({srid:4326, x:11.19656, y:63.69309})","""NO""","""Sus scrofa""",15
59.75892,10.35167,"point({srid:4326, x:10.35167, y:59.75892})","""NO""","""Sus scrofa""",10
58.8907,5.73405,"point({srid:4326, x:5.73405, y:58.8907})","""NO""","""Sus scrofa""",18
58.74871,5.63587,"point({srid:4326, x:5.63587, y:58.74871})","""NO""","""Sus scrofa""",4
63.1956,11.0568,"point({srid:4326, x:11.0568, y:63.1956})","""NO""","""Sus scrofa""",9
63.6185,10.80039,"point({srid:4326, x:10.80039, y:63.6185})","""NO""","""Sus scrofa""",10
63.71011,11.2203,"point({srid:4326, x:11.2203, y:63.71011})","""NO""","""Sus scrofa""",3
63.69907,11.21909,"point({srid:4326, x:11.21909, y:63.69907})","""NO""","""Sus scrofa""",9
63.71651,11.49812,"point({srid:4326, x:11.49812, y:63.71651})","""NO""","""Sus scrofa""",1
63.77804,11.58222,"point({srid:4326, x:11.58222, y:63.77804})","""NO""","""Sus scrofa""",6
63.62748,10.78599,"point({srid:4326, x:10.78599, y:63.62748})","""NO""","""Sus scrofa""",20
63.58866,10.99729,"point({srid:4326, x:10.99729, y:63.58866})","""NO""","""Sus scrofa""",1
20.60028,-100.11833,"point({srid:4326, x:-100.11833, y:20.60028})","""MX""","""Sus scrofa""",2
37.07605,127.287,"point({srid:4326, x:127.287, y:37.07605})","""KR""","""Sus scrofa""",18
37.07583,127.28889,"point({srid:4326, x:127.28889, y:37.07583})","""KR""","""Sus scrofa""",18
37.52806,126.51417,"point({srid:4326, x:126.51417, y:37.52806})","""KR""","""Sus scrofa""",20
35.39711,126.57661,"point({srid:4326, x:126.57661, y:35.39711})","""KR""","""Sus scrofa""",56
35.04056,128.21833,"point({srid:4326, x:128.21833, y:35.04056})","""KR""","""Sus scrofa""",17
36.10952,128.33856,"point({srid:4326, x:128.33856, y:36.10952})","""KR""","""Sus scrofa""",17
35.21667,126.46667,"point({srid:4326, x:126.46667, y:35.21667})","""KR""","""Sus scrofa""",17
35.54077,129.01253,"point({srid:4326, x:129.01253, y:35.54077})","""KR""","""Sus scrofa""",17
36.05,128.45,"point({srid:4326, x:128.45, y:36.05})","""KR""","""Sus scrofa""",17
35.58658,128.00214,"point({srid:4326, x:128.00214, y:35.58658})","""KR""","""Sus scrofa""",17
37.76123,126.8895,"point({srid:4326, x:126.8895, y:37.76123})","""KR""","""Sus scrofa""",17
36.03248,128.00189,"point({srid:4326, x:128.00189, y:36.03248})","""KR""","""Sus scrofa""",17
36.08284,128.34927,"point({srid:4326, x:128.34927, y:36.08284})","""KR""","""Sus scrofa""",17
37.91738,126.82993,"point({srid:4326, x:126.82993, y:37.91738})","""KR""","""Sus scrofa""",17
35.52278,129.00861,"point({srid:4326, x:129.00861, y:35.52278})","""KR""","""Sus scrofa""",17
35.50452,128.47543,"point({srid:4326, x:128.47543, y:35.50452})","""KR""","""Sus scrofa""",17
35.55965,128.54441,"point({srid:4326, x:128.54441, y:35.55965})","""KR""","""Sus scrofa""",17
33.42405,126.31466,"point({srid:4326, x:126.31466, y:33.42405})","""KR""","""Sus scrofa""",3
34.92194,128.15583,"point({srid:4326, x:128.15583, y:34.92194})","""KR""","""Sus scrofa""",17
34.54197,127.34296,"point({srid:4326, x:127.34296, y:34.54197})","""KR""","""Sus scrofa""",17
38.91444,139.83639,"point({srid:4326, x:139.83639, y:38.91444})","""JP""","""Sus scrofa""",164
34.68631,135.51968,"point({srid:4326, x:135.51968, y:34.68631})","""JP""","""Sus scrofa""",10
38.11667,13.33333,"point({srid:4326, x:13.33333, y:38.11667})","""IT""","""Sus scrofa""",9
45.52796,8.97615,"point({srid:4326, x:8.97615, y:45.52796})","""IT""","""Sus scrofa""",375
65.42047,-18.15783,"point({srid:4326, x:-18.15783, y:65.42047})","""IS""","""Sus scrofa""",9
64.02268,-22.14616,"point({srid:4326, x:-22.14616, y:64.02268})","""IS""","""Sus scrofa""",10
53.98889,-7.4275,"point({srid:4326, x:-7.4275, y:53.98889})","""IE""","""Sus scrofa""",65
52.10944,-8.18222,"point({srid:4326, x:-8.18222, y:52.10944})","""IE""","""Sus scrofa""",40
0.96667,103.91667,"point({srid:4326, x:103.91667, y:0.96667})","""ID""","""Sus scrofa""",0
52.80518,1.09243,"point({srid:4326, x:1.09243, y:52.80518})","""GB""","""Sus scrofa""",1124
54.70699,-7.59336,"point({srid:4326, x:-7.59336, y:54.70699})","""GB""","""Sus scrofa""",0
52.68333,0.93333,"point({srid:4326, x:0.93333, y:52.68333})","""GB""","""Sus scrofa""",58
54.14861,-6.35,"point({srid:4326, x:-6.35, y:54.14861})","""GB""","""Sus scrofa""",0
54.65,-6.61667,"point({srid:4326, x:-6.61667, y:54.65})","""GB""","""Sus scrofa""",1950
54.8087,-6.51918,"point({srid:4326, x:-6.51918, y:54.8087})","""GB""","""Sus scrofa""",4
54.46667,-7.06667,"point({srid:4326, x:-7.06667, y:54.46667})","""GB""","""Sus scrofa""",4500
62.77456,22.52452,"point({srid:4326, x:22.52452, y:62.77456})","""FI""","""Sus scrofa""",150
62.28885,21.4353,"point({srid:4326, x:21.4353, y:62.28885})","""FI""","""Sus scrofa""",800
55.60038,11.76397,"point({srid:4326, x:11.76397, y:55.60038})","""DK""","""Sus scrofa""",950
